step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,system_cars_present,system_accumulated_waiting_time (100),system_accumulated_mean_waiting_time (100),system_accumulated_waiting_time (delta),system_accumulated_mean_waiting_time (delta),agents_total_stopped,agents_total_accumulated_waiting_time (100),agents_total_accumulated_waiting_time (delta),agents_mean_speed,agents_mean_waiting_time (100),agents_mean_waiting_time (delta),agents_cars_present,Col8_1_stopped,Col8_1_accumulated_waiting_time,Col8_1_average_speed,Col8_2_stopped,Col8_2_accumulated_waiting_time,Col8_2_average_speed,Col8_3_stopped,Col8_3_accumulated_waiting_time,Col8_3_average_speed,Col8_4_stopped,Col8_4_accumulated_waiting_time,Col8_4_average_speed,Col8_5_stopped,Col8_5_accumulated_waiting_time,Col8_5_average_speed,Col8_6_stopped,Col8_6_accumulated_waiting_time,Col8_6_average_speed,Col8_7_stopped,Col8_7_accumulated_waiting_time,Col8_7_average_speed,Col8_8_stopped,Col8_8_accumulated_waiting_time,Col8_8_average_speed
8.0,1,1.0,0.1428571428571428,6.935427637650408,7,1.0,0.1428571428571428,1.0,0.1428571428571428,0,0.0,0.0,9.58373626219538,0.0,0.0,4,0,0.0,1.0,0,0.0,0.9747362870124042,0,0.0,0.5613217849164936,0,0.0,0.9730829268395702,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
16.0,1,1.0,0.0714285714285714,9.118018483899032,14,2.0,0.1428571428571428,1.0,0.0714285714285714,1,2.0,2.0,9.38447227265393,0.25,0.25,8,0,0.0,1.0,1,1.0,0.4058697878285949,0,0.0,0.6975508425041043,0,1.0,0.960403044182212,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
24.0,1,9.0,0.45,9.16150062770202,20,10.0,0.5,8.0,0.4,1,9.0,7.0,8.98056879566582,0.8181818181818182,0.8181818181818182,11,0,0.0,0.224224072790711,1,9.0,0.3522828982796708,0,0.0,0.7467422251582096,0,0.0,0.9735303623088798,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
32.0,0,0.0,0.0,9.66739181046597,25,13.0,0.52,3.0,0.12,0,3.0,0.0,9.835492771696067,0.2,0.2,15,0,3.0,0.6439156379566533,0,0.0,0.6145858998597399,0,0.0,0.809179637605357,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9037559527243272,0,0.0,1.0
40.0,2,5.0,0.1515151515151515,9.446864684316488,33,18.0,0.5454545454545454,5.0,0.1515151515151515,2,8.0,5.0,9.213024200606348,0.3636363636363636,0.3636363636363636,22,0,3.0,0.7471284450081382,2,5.0,0.6592137843000689,0,0.0,0.8080450468212775,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
48.0,2,3.0,0.081081081081081,8.598195252422268,37,27.0,0.7297297297297297,9.0,0.2432432432432432,2,6.0,0.0,7.5998875705136895,0.3,0.3,20,0,0.0,0.6052180052715719,2,6.0,0.5908202435164415,0,0.0,0.6937300905475312,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
56.0,5,16.0,0.3902439024390244,8.369436011035276,41,35.0,0.8536585365853658,8.0,0.1951219512195122,4,26.0,20.0,7.854623020542712,1.04,1.04,25,1,10.0,0.5247552418704882,3,13.0,0.5686361094906468,0,3.0,0.9500014118588378,0,0.0,0.946629756780575,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
64.0,4,11.0,0.25,8.055117101181619,44,66.0,1.5,31.0,0.7045454545454546,4,32.0,6.0,7.497106679035816,1.0666666666666669,1.0666666666666669,30,0,4.0,0.8786752508449146,3,23.0,0.5733650634116184,1,5.0,0.4810719779045,0,0.0,0.882729089251734,0,0.0,1.0,0,0.0,0.8577628549365244,0,0.0,1.0,0,0.0,1.0
72.0,13,71.0,1.5106382978723405,6.339741012418133,47,134.0,2.851063829787234,68.0,1.446808510638298,12,81.0,49.0,4.247257292142075,2.892857142857143,2.892857142857143,28,0,4.0,0.640859360922466,6,50.0,0.3509078545667585,0,3.0,0.6423715666657263,3,10.0,0.2647641021483699,0,0.0,1.0,3,14.0,0.0049344546116954,0,0.0,1.0,0,0.0,1.0
80.0,3,18.0,0.3829787234042553,7.908245633953203,47,181.0,3.851063829787234,47.0,1.0,3,57.0,0.0,6.933539374483127,2.28,2.28,25,2,20.0,0.5517058672145282,0,11.0,0.7919818815218229,1,10.0,0.5275027642438004,0,2.0,0.38801152967227,0,0.0,1.0,0,14.0,0.6010511287969177,0,0.0,1.0,0,0.0,1.0
