step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,system_cars_present,system_accumulated_waiting_time (100),system_accumulated_mean_waiting_time (100),system_accumulated_waiting_time (delta),system_accumulated_mean_waiting_time (delta),agents_total_stopped,agents_total_accumulated_waiting_time (100),agents_total_accumulated_waiting_time (delta),agents_mean_speed,agents_mean_waiting_time (100),agents_mean_waiting_time (delta),agents_cars_present,Col8_1_stopped,Col8_1_accumulated_waiting_time,Col8_1_average_speed,Col8_2_stopped,Col8_2_accumulated_waiting_time,Col8_2_average_speed,Col8_3_stopped,Col8_3_accumulated_waiting_time,Col8_3_average_speed,Col8_4_stopped,Col8_4_accumulated_waiting_time,Col8_4_average_speed,Col8_5_stopped,Col8_5_accumulated_waiting_time,Col8_5_average_speed,Col8_6_stopped,Col8_6_accumulated_waiting_time,Col8_6_average_speed,Col8_7_stopped,Col8_7_accumulated_waiting_time,Col8_7_average_speed,Col8_8_stopped,Col8_8_accumulated_waiting_time,Col8_8_average_speed
8.0,1.0,1.0,0.1428571428571428,6.935427637650408,7.0,1.0,0.1428571428571428,1.0,0.1428571428571428,0.0,0.0,0.0,9.58373626219538,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.9747362870124042,0.0,0.0,0.5613217849164936,0.0,0.0,0.9730829268395702,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
16.0,1.0,3.0,0.2142857142857142,8.394132728675547,14.0,4.0,0.2857142857142857,3.0,0.2142857142857142,1.0,4.0,4.0,8.868949899445472,0.4,0.4,10.0,0.0,0.0,0.7561700835978863,0.0,0.0,0.8062056269030679,0.0,0.0,0.6975508425041043,1.0,4.0,0.333659754375158,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
24.0,0.0,0.0,0.0,8.513140860224713,20.0,11.0,0.55,7.0,0.35,0.0,2.0,0.0,8.537592743682264,0.1428571428571428,0.1428571428571428,14.0,0.0,0.0,0.5829723183660007,0.0,0.0,0.6805801720514635,0.0,0.0,0.7262880127585689,0.0,2.0,0.2525436441693368,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
32.0,1.0,3.0,0.12,8.664641828574847,25.0,15.0,0.6,4.0,0.16,1.0,3.0,1.0,8.944780027747818,0.1875,0.1875,16.0,1.0,3.0,0.5017542113299795,0.0,0.0,0.5614921008010101,0.0,0.0,0.7652455609923097,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.9037559527243272,0.0,0.0,1.0
40.0,5.0,13.0,0.3823529411764705,8.304100768195244,34.0,31.0,0.9117647058823528,16.0,0.4705882352941176,5.0,13.0,10.0,7.599040445232409,0.5416666666666666,0.5416666666666666,24.0,0.0,0.0,0.9130925463611428,2.0,2.0,0.6509634181206587,2.0,6.0,0.5063048513348674,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,5.0,8.08614303070768e-06,0.0,0.0,1.0
48.0,7.0,23.0,0.5897435897435898,7.346902606862605,39.0,68.0,1.7435897435897436,37.0,0.9487179487179488,7.0,38.0,25.0,5.981626203756493,1.4615384615384617,1.4615384615384617,26.0,2.0,5.0,0.4892204252790605,4.0,19.0,0.5108958417153385,1.0,14.0,0.4229934206088582,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
56.0,6.0,51.0,1.2439024390243902,7.838456675216157,41.0,104.0,2.5365853658536586,36.0,0.8780487804878049,5.0,55.0,17.0,6.926695902753889,2.2916666666666665,2.2916666666666665,24.0,0.0,0.0,0.7918521898189376,5.0,54.0,0.36698143547559,0.0,1.0,0.6308448656936306,0.0,0.0,0.946421237543218,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
64.0,11.0,118.0,2.565217391304348,6.572721076125479,46.0,172.0,3.739130434782609,68.0,1.4782608695652173,11.0,122.0,67.0,5.159453414749021,4.066666666666666,4.066666666666666,30.0,1.0,4.0,0.5754844214212773,8.0,111.0,0.3941343047448847,2.0,7.0,0.1692254065284465,0.0,0.0,0.8469093806287599,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
72.0,11.0,72.0,1.469387755102041,5.481258622531032,49.0,268.0,5.469387755102041,96.0,1.959183673469388,10.0,158.0,36.0,3.859703934307538,5.266666666666667,5.266666666666667,30.0,0.0,0.0,0.6568333156805399,6.0,127.0,0.2679556131953961,1.0,18.0,0.1451085357870405,3.0,10.0,0.2288321944140992,0.0,0.0,1.0,0.0,3.0,0.8588236623526928,0.0,0.0,1.0,0.0,0.0,1.0
80.0,8.0,63.0,1.26,7.433957133050552,50.0,322.0,6.44,54.0,1.08,8.0,110.0,0.0,4.985611468756937,4.4,4.4,25.0,0.0,0.0,1.0,3.0,85.0,0.5597295950231541,0.0,3.0,0.7904715641234644,1.0,5.0,0.3827100514880418,0.0,0.0,1.0,4.0,17.0,0.1981139228394111,0.0,0.0,1.0,0.0,0.0,1.0
