step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,system_cars_present,system_accumulated_waiting_time (100),system_accumulated_mean_waiting_time (100),system_accumulated_waiting_time (delta),system_accumulated_mean_waiting_time (delta),agents_total_stopped,agents_total_accumulated_waiting_time (100),agents_total_accumulated_waiting_time (delta),agents_mean_speed,agents_mean_waiting_time (100),agents_mean_waiting_time (delta),agents_cars_present,Col8_1_stopped,Col8_1_accumulated_waiting_time,Col8_1_average_speed,Col8_2_stopped,Col8_2_accumulated_waiting_time,Col8_2_average_speed,Col8_3_stopped,Col8_3_accumulated_waiting_time,Col8_3_average_speed,Col8_4_stopped,Col8_4_accumulated_waiting_time,Col8_4_average_speed,Col8_5_stopped,Col8_5_accumulated_waiting_time,Col8_5_average_speed,Col8_6_stopped,Col8_6_accumulated_waiting_time,Col8_6_average_speed,Col8_7_stopped,Col8_7_accumulated_waiting_time,Col8_7_average_speed,Col8_8_stopped,Col8_8_accumulated_waiting_time,Col8_8_average_speed
8.0,1,1.0,0.1428571428571428,6.935427637650408,7.0,1.0,0.1428571428571428,1.0,0.1428571428571428,0,0.0,0.0,9.58373626219538,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.9747362870124042,0.0,0.0,0.5613217849164936,0.0,0.0,0.9730829268395702,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
16.0,1,3.0,0.2142857142857142,8.284117628126944,14.0,4.0,0.2857142857142857,3.0,0.2142857142857142,1,4.0,4.0,8.714928758677427,0.4,0.4,10.0,0.0,0.0,0.6673908485509094,0.0,0.0,0.8062056269030679,0.0,0.0,0.6975508425041043,1.0,4.0,0.333659754375158,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
24.0,0,0.0,0.0,8.552140860224714,20.0,11.0,0.55,7.0,0.35,0,2.0,0.0,8.59330702939655,0.1428571428571428,0.1428571428571428,14.0,0.0,0.0,0.5829723183660007,0.0,0.0,0.6805801720514635,0.0,0.0,0.7336603251845109,0.0,2.0,0.2525436441693368,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
32.0,1,2.0,0.08,9.036521132581244,25.0,13.0,0.52,2.0,0.08,1,2.0,0.0,9.132507332331878,0.1333333333333333,0.1333333333333333,15.0,1.0,2.0,0.5022581301647838,0.0,0.0,0.5614921008010101,0.0,0.0,0.8136829376685097,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.9037559527243272,0.0,0.0,1.0
40.0,4,9.0,0.2647058823529412,8.679786102870432,34.0,25.0,0.7352941176470589,12.0,0.3529411764705882,4,9.0,7.0,8.151046538338571,0.375,0.375,24.0,0.0,0.0,0.9130925463611428,2.0,2.0,0.6783249665828388,1.0,2.0,0.6013762335281341,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,5.0,8.08614303070768e-06,0.0,0.0,1.0
48.0,5,16.0,0.4324324324324324,8.080950562428706,37.0,46.0,1.2432432432432432,21.0,0.5675675675675675,5,20.0,11.0,6.827697656162194,0.8695652173913043,0.8695652173913043,23.0,0.0,0.0,0.9649102220766876,4.0,16.0,0.5140869345740516,1.0,4.0,0.4854317924211536,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
56.0,7,15.0,0.3658536585365853,6.5777489368280575,41.0,77.0,1.8780487804878048,31.0,0.7560975609756098,6,34.0,14.0,5.551359089833329,1.2592592592592593,1.2592592592592593,27.0,0.0,0.0,0.7824501717343212,2.0,19.0,0.3976506567098467,4.0,15.0,0.3328039817761578,0.0,0.0,0.946421237543218,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
64.0,7,40.0,0.851063829787234,7.766706744113518,47.0,137.0,2.9148936170212765,60.0,1.2765957446808511,7,63.0,29.0,5.646383508499224,2.625,2.625,24.0,0.0,0.0,0.5635218950255699,4.0,30.0,0.5057741068088093,3.0,33.0,0.3061010371500495,0.0,0.0,0.8469093806287599,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
72.0,3,7.0,0.1489361702127659,7.927253626775259,47.0,141.0,3.0,4.0,0.0851063829787234,3,37.0,0.0,6.348001911986017,1.608695652173913,1.608695652173913,23.0,0.0,2.0,0.8145356752413828,2.0,5.0,0.4389371515133305,1.0,24.0,0.3110112691126631,0.0,3.0,0.8659549143190987,0.0,0.0,1.0,0.0,3.0,0.900182843594711,0.0,0.0,1.0,0.0,0.0,1.0
80.0,10,47.0,0.9591836734693876,7.5289462444804895,49.0,188.0,3.836734693877551,47.0,0.9591836734693876,10,84.0,47.0,5.854142075816446,2.896551724137931,2.896551724137931,29.0,1.0,14.0,0.7553568291494811,1.0,6.0,0.6061735653910266,5.0,52.0,0.2285236768401054,1.0,7.0,0.5430648137986741,0.0,0.0,1.0,2.0,5.0,0.2503323972619412,0.0,0.0,1.0,0.0,0.0,1.0
