step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,system_cars_present,system_accumulated_waiting_time (100),system_accumulated_mean_waiting_time (100),system_accumulated_waiting_time (delta),system_accumulated_mean_waiting_time (delta),agents_total_stopped,agents_total_accumulated_waiting_time (100),agents_total_accumulated_waiting_time (delta),agents_mean_speed,agents_mean_waiting_time (100),agents_mean_waiting_time (delta),agents_cars_present,Col8_1_stopped,Col8_1_accumulated_waiting_time,Col8_1_average_speed,Col8_2_stopped,Col8_2_accumulated_waiting_time,Col8_2_average_speed,Col8_3_stopped,Col8_3_accumulated_waiting_time,Col8_3_average_speed,Col8_4_stopped,Col8_4_accumulated_waiting_time,Col8_4_average_speed,Col8_5_stopped,Col8_5_accumulated_waiting_time,Col8_5_average_speed,Col8_6_stopped,Col8_6_accumulated_waiting_time,Col8_6_average_speed,Col8_7_stopped,Col8_7_accumulated_waiting_time,Col8_7_average_speed,Col8_8_stopped,Col8_8_accumulated_waiting_time,Col8_8_average_speed
8.0,0,0.0,0.0,6.202186520258175,7,0.0,0.0,0.0,0.0,0,0.0,0.0,8.169286530780454,0.0,0.0,4,0,0.0,1.0,0,0.0,0.8455064562697998,0,0.0,0.5431145102985162,0,0.0,0.9323800683522012,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
16.0,1,0.0,0.0,8.346766766198199,14,0.0,0.0,0.0,0.0,1,0.0,0.0,8.568797185264394,0.0,0.0,8,0,0.0,1.0,0,0.0,0.8140521389073456,1,0.0,0.5810758435151601,0,0.0,0.9342969227915386,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
24.0,1,0.0,0.0,9.136069985796013,20,0.0,0.0,0.0,0.0,1,0.0,0.0,9.669431364922657,0.0,0.0,13,0,0.0,0.6644691763234605,0,0.0,0.6686888207091667,1,0.0,0.7528391117098143,0,0.0,0.8076043297919026,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
32.0,1,5.0,0.2,8.233980759542192,25,5.0,0.2,5.0,0.2,1,5.0,5.0,8.234190446933024,0.2941176470588235,0.2941176470588235,17,0,0.0,0.7608955320778011,1,5.0,0.4877828874043163,0,0.0,0.7364290568866318,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.1654877356762882,0,0.0,1.0
40.0,3,14.0,0.4117647058823529,8.49026426901984,34,16.0,0.4705882352941176,11.0,0.3235294117647059,3,14.0,9.0,7.989464544264177,0.6363636363636364,0.6363636363636364,22,1,1.0,0.5221659716808058,2,13.0,0.6346564439901599,0,0.0,0.7799179271321882,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
48.0,2,4.0,0.1,8.781450962517875,40,30.0,0.75,14.0,0.35,2,7.0,0.0,8.150497506969504,0.3043478260869565,0.3043478260869565,23,0,0.0,0.7617710145926725,2,7.0,0.5457442634444256,0,0.0,0.7505654093456138,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
56.0,3,5.0,0.119047619047619,8.505177611926726,42,47.0,1.119047619047619,17.0,0.4047619047619047,2,13.0,6.0,8.232760964362836,0.5416666666666666,0.5416666666666666,24,0,0.0,0.9479389347307392,2,13.0,0.5497561744969655,0,0.0,0.8643073143319002,0,0.0,0.9111524827883728,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
64.0,5,13.0,0.2888888888888888,8.363476775772993,45,49.0,1.0888888888888888,2.0,0.0444444444444444,5,23.0,10.0,7.730006743662148,0.8846153846153846,0.8846153846153846,26,1,4.0,0.6113795151388404,4,19.0,0.5648997235820896,0,0.0,0.9406792993981388,0,0.0,0.9153302587735888,0,0.0,1.0,0,0.0,0.946533244711004,0,0.0,1.0,0,0.0,1.0
72.0,3,8.0,0.1739130434782608,7.935311794491494,46,69.0,1.5,20.0,0.4347826086956521,2,31.0,8.0,7.392585418453301,1.2916666666666667,1.2916666666666667,24,0,7.0,0.943428774295136,2,24.0,0.4631828735653074,0,0.0,0.9745249582959672,0,0.0,0.8606308607633083,0,0.0,1.0,0,0.0,0.8868873607562419,0,0.0,1.0,0,0.0,1.0
80.0,6,41.0,0.8541666666666666,8.64741186171471,48,99.0,2.0625,30.0,0.625,6,52.0,21.0,6.74784693042394,2.1666666666666665,2.1666666666666665,24,2,16.0,0.3580724768619592,4,36.0,0.5750726931682868,0,0.0,0.7041861308255185,0,0.0,0.870394645764252,0,0.0,1.0,0,0.0,0.7587678407214283,0,0.0,0.9452230443016356,0,0.0,0.9427639303528208
