step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,system_cars_present,system_accumulated_waiting_time (100),system_accumulated_mean_waiting_time (100),system_accumulated_waiting_time (delta),system_accumulated_mean_waiting_time (delta),agents_total_stopped,agents_total_accumulated_waiting_time (100),agents_total_accumulated_waiting_time (delta),agents_mean_speed,agents_mean_waiting_time (100),agents_mean_waiting_time (delta),agents_cars_present,Col8_1_stopped,Col8_1_accumulated_waiting_time,Col8_1_average_speed,Col8_2_stopped,Col8_2_accumulated_waiting_time,Col8_2_average_speed,Col8_3_stopped,Col8_3_accumulated_waiting_time,Col8_3_average_speed,Col8_4_stopped,Col8_4_accumulated_waiting_time,Col8_4_average_speed,Col8_5_stopped,Col8_5_accumulated_waiting_time,Col8_5_average_speed,Col8_6_stopped,Col8_6_accumulated_waiting_time,Col8_6_average_speed,Col8_7_stopped,Col8_7_accumulated_waiting_time,Col8_7_average_speed,Col8_8_stopped,Col8_8_accumulated_waiting_time,Col8_8_average_speed
8.0,0,0.0,0.0,5.9429436475052375,7,0.0,0.0,0.0,0.0,0,0.0,0.0,7.67196022393458,0.0,0.0,4,0,0.0,1.0,0,0.0,0.8404999143556742,0,0.0,0.5366589512910324,0,0.0,0.9379602798123996,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
16.0,0,0.0,0.0,8.575209001160903,14,0.0,0.0,0.0,0.0,0,0.0,0.0,8.96556451876874,0.0,0.0,8,0,0.0,1.0,0,0.0,0.7931361705756426,0,0.0,0.6418128570184216,0,0.0,0.9298936381803092,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
24.0,1,0.0,0.0,8.779914612806763,20,0.0,0.0,0.0,0.0,1,0.0,0.0,9.004585988678464,0.0,0.0,13,0,0.0,0.6625801026913155,0,0.0,0.3707162035339412,1,0.0,0.7294341180667642,0,0.0,0.9164183835777088,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
32.0,0,0.0,0.0,9.481212265299751,25,2.0,0.08,2.0,0.08,0,0.0,0.0,9.937382716864924,0.0,0.0,17,0,0.0,0.7208296345043788,0,0.0,0.5482497372852874,0,0.0,0.7914021387439328,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9268363901532108,0,0.0,1.0
40.0,3,6.0,0.1764705882352941,8.476495028831968,34,8.0,0.2352941176470588,6.0,0.1764705882352941,3,6.0,6.0,8.362419700537991,0.2727272727272727,0.2727272727272727,22,1,2.0,0.502044980839517,2,4.0,0.6263360435852008,0,0.0,0.8051614616387802,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
48.0,2,4.0,0.1025641025641025,8.517584888384556,39,19.0,0.4871794871794871,11.0,0.282051282051282,2,7.0,1.0,7.826754996262727,0.35,0.35,20,0,0.0,0.6008175213434476,2,7.0,0.567749796777863,0,0.0,0.752139438746056,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
56.0,5,15.0,0.3488372093023256,8.286150005376157,43,39.0,0.9069767441860463,20.0,0.4651162790697674,4,26.0,19.0,6.951583970865591,1.181818181818182,1.181818181818182,22,1,10.0,0.5573760561597414,3,13.0,0.527796282947176,0,3.0,0.9001177374324301,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
64.0,2,9.0,0.2045454545454545,8.526053237156214,44,66.0,1.5,27.0,0.6136363636363636,2,33.0,7.0,8.496574548765553,1.1785714285714286,1.1785714285714286,28,0,5.0,0.8670522585204367,2,25.0,0.564915413775618,0,3.0,0.8927956729909245,0,0.0,0.904571617524684,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
72.0,9,50.0,1.0869565217391304,6.788611268338348,46,107.0,2.3260869565217392,41.0,0.8913043478260869,8,61.0,28.0,5.551723395044724,2.3461538461538463,2.3461538461538463,26,1,6.0,0.5565308078021511,6,48.0,0.37924929374591,0,3.0,0.930703270098844,1,4.0,0.626136491574385,0,0.0,1.0,0,0.0,0.7892252908489248,0,0.0,1.0,0,0.0,1.0
80.0,0,0.0,0.0,9.086530970457304,48,123.0,2.5625,16.0,0.3333333333333333,0,17.0,0.0,8.735668579528133,0.7727272727272727,0.7727272727272727,22,0,6.0,0.8515750379864051,0,8.0,0.7489513178786428,0,3.0,0.7883089541738737,0,0.0,0.8341732903136916,0,0.0,1.0,0,0.0,0.5158392049900228,0,0.0,1.0,0,0.0,1.0
