step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,system_cars_present,system_accumulated_waiting_time (100),system_accumulated_mean_waiting_time (100),system_accumulated_waiting_time (delta),system_accumulated_mean_waiting_time (delta),agents_total_stopped,agents_total_accumulated_waiting_time (100),agents_total_accumulated_waiting_time (delta),agents_mean_speed,agents_mean_waiting_time (100),agents_mean_waiting_time (delta),agents_cars_present,Col8_1_stopped,Col8_1_accumulated_waiting_time,Col8_1_average_speed,Col8_2_stopped,Col8_2_accumulated_waiting_time,Col8_2_average_speed,Col8_3_stopped,Col8_3_accumulated_waiting_time,Col8_3_average_speed,Col8_4_stopped,Col8_4_accumulated_waiting_time,Col8_4_average_speed,Col8_5_stopped,Col8_5_accumulated_waiting_time,Col8_5_average_speed,Col8_6_stopped,Col8_6_accumulated_waiting_time,Col8_6_average_speed,Col8_7_stopped,Col8_7_accumulated_waiting_time,Col8_7_average_speed,Col8_8_stopped,Col8_8_accumulated_waiting_time,Col8_8_average_speed
8.0,1,0.0,0.0,6.566828490410501,7,0.0,0.0,0.0,0.0,0,0.0,0.0,9.327654240081264,0.0,0.0,4,0,0.0,1.0,0,0.0,0.9800721710001622,0,0.0,0.5329697413225608,0,0.0,0.9448496987444726,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
16.0,0,0.0,0.0,9.352906825286237,14,0.0,0.0,0.0,0.0,0,0.0,0.0,10.673366680091188,0.0,0.0,8,0,0.0,1.0,0,0.0,0.8994773712365679,0,0.0,0.7226292976703113,0,0.0,0.951619482097726,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
24.0,0,0.0,0.0,9.316627887770672,20,0.0,0.0,0.0,0.0,0,0.0,0.0,9.564004471960615,0.0,0.0,13,0,0.0,0.594539265573856,0,0.0,0.4427973396402844,0,0.0,0.7434626200096522,0,0.0,0.9370293393841388,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
32.0,1,7.0,0.28,9.473334756852651,25,7.0,0.28,7.0,0.28,1,7.0,7.0,9.429423448379248,0.4117647058823529,0.4117647058823529,17,0,0.0,0.7309689301341676,1,7.0,0.4683327600145924,0,0.0,0.820537219985485,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.905883725780102,0,0.0,1.0
40.0,3,6.0,0.1764705882352941,8.692683551352943,34,16.0,0.4705882352941176,9.0,0.2647058823529412,3,6.0,0.0,8.120205522648776,0.2857142857142857,0.2857142857142857,21,1,2.0,0.6884272131610946,2,4.0,0.6488393354819106,0,0.0,0.7741167649291214,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
48.0,3,4.0,0.1081081081081081,8.448578564164134,37,27.0,0.7297297297297297,11.0,0.2972972972972973,3,7.0,1.0,8.133962567387899,0.35,0.35,20,0,0.0,0.6904788489146837,2,7.0,0.626456950826299,1,0.0,0.8050448076413761,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
56.0,4,21.0,0.5121951219512195,8.499795544806103,41,34.0,0.8292682926829268,7.0,0.1707317073170731,3,27.0,20.0,7.911159275495175,1.2272727272727273,1.2272727272727273,22,0,0.0,0.8468422686029957,3,24.0,0.5644352485131593,0,3.0,0.8471614205822657,0,0.0,0.974547570569868,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
64.0,1,3.0,0.0681818181818181,8.63429940010536,44,56.0,1.2727272727272727,22.0,0.5,1,21.0,0.0,8.021550039583314,0.9130434782608696,0.9130434782608696,23,0,6.0,0.7727699026081987,1,12.0,0.6040989741217583,0,3.0,0.7941757363402111,0,0.0,0.8773016802148828,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
72.0,4,11.0,0.2558139534883721,7.745741989155327,43,68.0,1.5813953488372092,12.0,0.2790697674418604,3,31.0,10.0,7.008865333594775,1.4761904761904765,1.4761904761904765,21,0,13.0,0.934298298604623,3,15.0,0.508565128594837,0,3.0,0.9144099801439852,0,0.0,0.6743815240773992,0,0.0,1.0,0,0.0,0.7994082307961332,0,0.0,1.0,0,0.0,1.0
80.0,1,5.0,0.1063829787234042,8.9702983871889,47,93.0,1.9787234042553192,25.0,0.5319148936170213,1,26.0,0.0,8.267740699676985,1.1304347826086956,1.1304347826086956,23,0,7.0,0.8760489533371749,1,15.0,0.7045971373095506,0,3.0,0.7309385965554311,0,1.0,0.8168517597577559,0,0.0,1.0,0,0.0,0.8005426798579593,0,0.0,1.0,0,0.0,1.0
88.0,6,21.0,0.4565217391304347,8.509719096768213,46,113.0,2.4565217391304346,20.0,0.4347826086956521,5,44.0,18.0,7.089919027111082,2.095238095238096,2.095238095238096,21,1,14.0,0.5824716297409813,2,21.0,0.5742775518143872,0,3.0,0.7505509312060573,1,1.0,0.485903225887387,0,0.0,0.8629093970865703,1,5.0,8.926366348271683e-06,0,0.0,0.9194055446593328,0,0.0,1.0
96.0,0,0.0,0.0,9.487815490219566,43,134.0,3.116279069767442,21.0,0.4883720930232558,0,10.0,0.0,10.127838690162084,0.7692307692307693,0.7692307692307693,13,0,7.0,0.7786499046320041,0,0.0,0.8817733012974116,0,3.0,0.9623996664452312,0,0.0,0.6951595948732531,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9511219802733364,0,0.0,1.0
104.0,1,0.0,0.0,9.577765969863714,40,116.0,2.9,0.0,0.0,0,9.0,0.0,9.18260852915377,0.75,0.75,12,0,6.0,0.9006665683205735,0,0.0,0.8919274090136312,0,3.0,0.8278456928009309,0,0.0,0.9240480408330362,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
112.0,1,1.0,0.0263157894736842,9.003569177529123,38,91.0,2.3947368421052637,0.0,0.0,1,10.0,1.0,7.62267853003605,0.625,0.625,16,0,6.0,0.8836051920813961,1,1.0,0.7290582683633843,0,3.0,0.5924511394717208,0,0.0,0.3656002280014516,0,0.0,1.0,0,0.0,0.9172566266570504,0,0.0,0.6736549793874499,0,0.0,1.0
120.0,0,0.0,0.0,9.695164404801094,40,83.0,2.075,0.0,0.0,0,1.0,0.0,9.197166108185543,0.0625,0.0625,16,0,0.0,0.8986132363718746,0,1.0,0.8954063085366207,0,0.0,0.9153194390745238,0,0.0,0.7382299904374637,0,0.0,1.0,0,0.0,0.9416841337115316,0,0.0,1.0,0,0.0,1.0
128.0,1,1.0,0.025,9.841290775493544,40,65.0,1.625,0.0,0.0,1,4.0,3.0,9.607780400020374,0.2105263157894736,0.2105263157894736,19,0,0.0,0.9390934293580014,0,0.0,0.8058968143718265,0,0.0,0.7175417731821595,1,1.0,0.457900599127268,0,3.0,0.8980644700011621,0,0.0,0.984584123421352,0,0.0,0.6474452367686391,0,0.0,1.0
136.0,1,3.0,0.0714285714285714,10.30822308137813,42,73.0,1.738095238095238,8.0,0.1904761904761904,1,6.0,2.0,9.76890960799371,0.2857142857142857,0.2857142857142857,21,0,0.0,0.8984694988261449,0,0.0,0.7864263860017147,0,0.0,0.9412602420173728,1,6.0,0.4947946973711293,0,0.0,1.0,0,0.0,1.0,0,0.0,0.7039273962435311,0,0.0,1.0
144.0,3,10.0,0.2564102564102564,9.9142738879958,39,61.0,1.564102564102564,0.0,0.0,2,14.0,8.0,9.650858991046608,0.8235294117647058,0.8235294117647058,17,0,0.0,0.9209119629207324,2,10.0,0.429773869768037,0,1.0,0.9764145741739556,0,3.0,0.700106447016619,0,0.0,1.0,0,0.0,1.0,0,0.0,0.984758321634272,0,0.0,1.0
160.0,3,19.0,0.5277777777777778,9.496761883419364,36,85.0,2.361111111111111,16.0,0.4444444444444444,3,26.0,14.0,8.08523399002999,1.8571428571428568,1.8571428571428568,14,2,23.0,0.6366981629001214,0,0.0,0.8282415304022083,0,0.0,0.8817267124830671,0,0.0,1.0,1,3.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
168.0,2,32.0,1.032258064516129,9.577253400136442,31,87.0,2.806451612903226,2.0,0.064516129032258,2,36.0,10.0,8.58080616308498,2.769230769230769,2.769230769230769,13,2,33.0,0.4141783107591542,0,0.0,0.9285851835078592,0,3.0,0.9087341730274248,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9664884543040596,0,0.0,0.9069370572052552,0,0.0,1.0
176.0,2,5.0,0.1666666666666666,9.123355998968258,30,90.0,3.0,3.0,0.1,1,10.0,0.0,9.555056176625127,0.7692307692307693,0.7692307692307693,13,1,6.0,0.6351266913786021,0,0.0,0.6768025614611798,0,1.0,0.9153170370249222,0,0.0,1.0,0,0.0,1.0,0,3.0,0.933144200854964,0,0.0,1.0,0,0.0,0.9447184824000948
184.0,2,0.0,0.0,9.59888352218413,31,77.0,2.4838709677419355,0.0,0.0,1,0.0,0.0,8.925779559238576,0.0,0.0,14,1,0.0,0.626812606584434,0,0.0,0.7471647817090955,0,0.0,0.9275825374013492,0,0.0,0.6747204361046485,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9681136759403818,0,0.0,0.9302423246477488
192.0,2,12.0,0.3870967741935484,9.61344739054144,31,44.0,1.4193548387096775,0.0,0.0,2,12.0,12.0,7.776225851653126,1.0,1.0,12,0,0.0,0.8818421417530895,1,6.0,0.5456085897562625,0,0.0,0.7076938872105819,1,6.0,0.0,0,0.0,1.0,0,0.0,0.874233834218566,0,0.0,1.0,0,0.0,0.989974620613867
200.0,1,3.0,0.1111111111111111,9.966537545901222,27,47.0,1.7407407407407407,3.0,0.1111111111111111,1,3.0,0.0,9.218858840196942,0.2727272727272727,0.2727272727272727,11,0,0.0,0.6578817327852478,1,3.0,0.4284422434746628,0,0.0,0.953414481952354,0,0.0,1.0,0,0.0,1.0,0,0.0,0.8765375381271103,0,0.0,1.0,0,0.0,0.919950443184844
208.0,0,0.0,0.0,9.061662463184756,24,31.0,1.2916666666666667,0.0,0.0,0,3.0,0.0,9.214889894151243,0.3,0.3,10,0,3.0,0.7699527532486757,0,0.0,0.3167663274244597,0,0.0,0.7514620153486007,0,0.0,0.626629282775407,0,0.0,1.0,0,0.0,0.9387374624484888,0,0.0,1.0,0,0.0,0.9876686580756526
216.0,2,4.0,0.1428571428571428,7.925778438008914,28,27.0,0.9642857142857144,0.0,0.0,1,7.0,4.0,8.26062162886542,0.5833333333333334,0.5833333333333334,12,0,3.0,0.9624929107611426,0,0.0,0.6417792956466687,1,4.0,2.1874323250660405e-05,0,0.0,0.6228532971409569,0,0.0,0.4953289012153447,0,0.0,1.0,0,0.0,0.6365953382810537,0,0.0,1.0
224.0,2,6.0,0.2,8.164046803901915,30,35.0,1.1666666666666667,8.0,0.2666666666666666,2,12.0,5.0,7.466468762212132,1.3333333333333333,1.3333333333333333,9,1,5.0,0.5947758502766557,0,3.0,0.8865516575119717,0,0.0,1.0,1,4.0,3.5821877429373504e-05,0,0.0,1.0,0,0.0,1.0,0,0.0,0.0930803813440753,0,0.0,1.0
232.0,2,11.0,0.3793103448275862,7.742714933827011,29,47.0,1.6206896551724137,12.0,0.4137931034482758,2,17.0,5.0,6.238317936848666,2.4285714285714284,2.4285714285714284,7,1,13.0,0.4811773887377946,1,4.0,0.4302332976985018,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.7238542668471204,0,0.0,1.0
240.0,1,6.0,0.2307692307692307,9.02982391848536,26,60.0,2.3076923076923075,13.0,0.5,1,13.0,0.0,8.865823181421886,1.8571428571428568,1.8571428571428568,7,0,0.0,0.9930738030229797,0,3.0,0.9847721207541518,0,3.0,0.9451518338962248,0,0.0,0.995931786772075,0,0.0,1.0,0,1.0,0.9821795977272074,1,6.0,0.0,0,0.0,1.0
