step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,system_cars_present,system_accumulated_waiting_time (100),system_accumulated_mean_waiting_time (100),system_accumulated_waiting_time (delta),system_accumulated_mean_waiting_time (delta),agents_total_stopped,agents_total_accumulated_waiting_time (100),agents_total_accumulated_waiting_time (delta),agents_mean_speed,agents_mean_waiting_time (100),agents_mean_waiting_time (delta),agents_cars_present,Ing7_1_stopped,Ing7_1_accumulated_waiting_time,Ing7_1_average_speed,Ing7_2_stopped,Ing7_2_accumulated_waiting_time,Ing7_2_average_speed,Ing7_3_stopped,Ing7_3_accumulated_waiting_time,Ing7_3_average_speed,Ing7_4_stopped,Ing7_4_accumulated_waiting_time,Ing7_4_average_speed,Ing7_5_stopped,Ing7_5_accumulated_waiting_time,Ing7_5_average_speed,Ing7_6_stopped,Ing7_6_accumulated_waiting_time,Ing7_6_average_speed,Ing7_7_stopped,Ing7_7_accumulated_waiting_time,Ing7_7_average_speed
8.0,0.0,0.0,0.0,7.790490076702793,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.577262651920319,0.0,0.0,1.0,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.1830945994601297,0.0,0.0,1.0
16.0,3.0,2.0,0.1333333333333333,4.941586989235318,15,2.0,0.1333333333333333,2.0,0.1333333333333333,1.0,2.0,2.0,7.84456830850273,0.5,0.5,4.0,0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0006441555081676,0.0,0.0,1.0,0.0,0.0,0.6432496943295225,0.0,0.0,0.8240232973990487,0.0,0.0,1.0
24.0,4.0,1.0,0.0416666666666666,7.0801868766425615,24,11.0,0.4583333333333333,9.0,0.375,1.0,1.0,0.0,9.634542814871503,0.25,0.25,4.0,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.6028643656213731,0.0,0.0,0.9858967455883738,0.0,0.0,1.0
32.0,6.0,17.0,0.5151515151515151,6.309407145953427,33,34.0,1.0303030303030305,23.0,0.696969696969697,1.0,10.0,9.0,7.264895025722132,1.6666666666666667,1.6666666666666667,6.0,0,0.0,1.0,0.0,0.0,1.0,1.0,4.0,2.753568520645682e-05,0.0,0.0,1.0,0.0,3.0,0.7459887092208559,0.0,3.0,0.5474018951663461,0.0,0.0,1.0
40.0,7.0,14.0,0.3333333333333333,6.121492090528671,42,75.0,1.7857142857142858,41.0,0.9761904761904762,4.0,23.0,13.0,6.132653220185746,1.4375,1.4375,16.0,0,0.0,1.0,0.0,4.0,0.6031572097991365,0.0,0.0,1.0,0.0,0.0,0.2883376883223557,2.0,8.0,0.3457257312550593,2.0,11.0,0.4696599396031824,0.0,0.0,0.6855587738635465
48.0,13.0,37.0,0.7551020408163265,6.078647639584881,49,149.0,3.0408163265306123,74.0,1.510204081632653,4.0,40.0,17.0,6.5113210906494166,3.333333333333333,3.333333333333333,12.0,0,3.0,0.8819319716979762,1.0,5.0,0.3106925867331522,1.0,7.0,7.722115622499046e-06,0.0,1.0,0.9303085762127228,1.0,4.0,0.4841569170088005,1.0,20.0,0.4873353478990435,0.0,0.0,1.0
56.0,4.0,14.0,0.2592592592592592,8.708255967472663,54,213.0,3.9444444444444446,64.0,1.1851851851851851,3.0,82.0,42.0,9.189940196651005,4.1,4.1,20.0,0,0.0,1.0,0.0,9.0,0.9144488085600132,0.0,0.0,1.0,1.0,5.0,0.4769559643717795,0.0,28.0,0.845304040739253,2.0,40.0,0.4583573233637749,0.0,0.0,1.0
64.0,14.0,45.0,0.75,6.874958007820582,60,234.0,3.9,21.0,0.35,7.0,88.0,6.0,6.703477377356129,4.0,4.0,22.0,0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,0.9512232168277512,1.0,1.0,0.4038291776386427,0.0,3.0,0.8893210517747184,5.0,81.0,0.3792549563395221,1.0,0.0,0.0
72.0,18.0,104.0,1.5757575757575757,6.194992010464855,66,355.0,5.378787878787879,121.0,1.8333333333333333,4.0,40.0,0.0,5.913222709288281,1.6666666666666667,1.6666666666666667,24.0,2,5.0,0.0185701546361584,0.0,3.0,0.9886091857529808,2.0,7.0,0.0020739062630867,0.0,0.0,0.4389819633538235,0.0,5.0,0.5378288882995124,0.0,20.0,0.4999443288206328,0.0,0.0,0.8063472461529972
80.0,7.0,44.0,0.6376811594202898,7.1702294768125885,69,460.0,6.666666666666667,105.0,1.5217391304347827,3.0,28.0,0.0,5.76064230248266,1.3333333333333333,1.3333333333333333,21.0,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,1.883065981863442e-05,0.0,15.0,0.8236351394216834,0.0,1.0,0.301403910005006,2.0,10.0,0.2954620233963921
88.0,11.0,36.0,0.5373134328358209,6.693403284765688,67,463.0,6.91044776119403,3.0,0.044776119402985,4.0,59.0,31.0,4.867038033917236,2.185185185185185,2.185185185185185,27.0,1,3.0,0.0155838453057164,0.0,0.0,0.964239872473792,0.0,1.0,0.5587834479813016,0.0,0.0,0.4976366520556547,0.0,4.0,0.674816315763444,3.0,51.0,0.0828052031563839,0.0,0.0,0.9487901019473216
96.0,10.0,28.0,0.4444444444444444,5.837399815769305,63,519.0,8.238095238095237,56.0,0.8888888888888888,7.0,70.0,11.0,2.6674065030188894,3.5,3.5,20.0,0,0.0,1.0,1.0,3.0,0.4669680333613657,1.0,3.0,0.3716822132531304,0.0,0.0,1.0,2.0,6.0,0.3203002159606049,3.0,58.0,0.0969231136878507,0.0,0.0,1.0
104.0,6.0,18.0,0.3050847457627119,7.52883909529845,59,495.0,8.389830508474576,0.0,0.0,3.0,106.0,36.0,4.228792773779939,5.888888888888889,5.888888888888889,18.0,0,0.0,0.3987066947927467,0.0,0.0,0.9845970261994668,1.0,4.0,0.0,0.0,0.0,1.0,0.0,3.0,0.9698747569965612,2.0,99.0,0.1418268734871385,0.0,0.0,1.0
112.0,12.0,62.0,1.148148148148148,5.657657918888216,54,432.0,8.0,0.0,0.0,5.0,195.0,89.0,4.231370644353635,9.285714285714286,9.285714285714286,21.0,0,0.0,1.0,0.0,5.0,0.6204724291469598,0.0,0.0,1.0,0.0,0.0,1.0,1.0,4.0,0.4799298601983157,4.0,186.0,0.2136230877512736,0.0,0.0,1.0
120.0,4.0,8.0,0.135593220338983,6.713668538558497,59,457.0,7.745762711864407,25.0,0.423728813559322,2.0,132.0,0.0,4.954793753622107,7.333333333333333,7.333333333333333,18.0,0,0.0,0.5596203056710786,0.0,1.0,0.9359180328168464,0.0,0.0,1.0,0.0,0.0,1.0,2.0,14.0,0.3709543943904524,0.0,117.0,0.3155131399371658,0.0,0.0,1.0
128.0,7.0,40.0,0.625,7.683551977802098,64,429.0,6.703125,0.0,0.0,4.0,116.0,0.0,7.211933669243052,3.8666666666666663,3.8666666666666663,30.0,1,6.0,0.4457427375475188,0.0,10.0,0.9363579549363176,0.0,0.0,1.0,1.0,2.0,0.2953245850779442,0.0,32.0,0.7342347814052308,2.0,66.0,0.3277377840281092,0.0,0.0,1.0
136.0,15.0,114.0,1.6764705882352942,6.096062172322038,68,509.0,7.485294117647059,80.0,1.1764705882352942,12.0,114.0,0.0,4.025443557011705,3.0,3.0,38.0,0,0.0,0.1658170068419583,2.0,17.0,0.240054301888982,0.0,3.0,0.6407747375605624,0.0,1.0,0.3015280992982025,1.0,20.0,0.4407787069264804,9.0,73.0,0.1053401890611408,0.0,0.0,1.0
144.0,19.0,111.0,1.4415584415584417,5.543842590258904,77,628.0,8.155844155844155,119.0,1.5454545454545454,15.0,201.0,87.0,1.7076263531174332,5.583333333333333,5.583333333333333,36.0,0,0.0,1.0,1.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0359612664779243,2.0,33.0,0.185052055889347,12.0,161.0,0.078007255796304,0.0,0.0,1.0
152.0,15.0,113.0,1.4125,6.862897801893847,80,680.0,8.5,52.0,0.65,12.0,224.0,23.0,2.93841174638282,7.0,7.0,32.0,1,1.0,0.5008497724019919,0.0,0.0,0.7360303871128426,0.0,0.0,1.0,0.0,0.0,0.1552227138280041,4.0,59.0,0.1897454590521871,7.0,164.0,0.1390113234395696,0.0,0.0,0.4888977000058566
160.0,16.0,72.0,0.8674698795180723,6.339399438135434,83,668.0,8.048192771084338,0.0,0.0,13.0,259.0,35.0,3.763185974079081,7.0,7.0,37.0,1,5.0,0.0012097218204622,1.0,11.0,0.4689253182218034,1.0,4.0,0.4881929632606713,1.0,7.0,0.0,1.0,47.0,0.4030374307906629,7.0,183.0,0.1168692885949452,1.0,2.0,1.4750775957743871e-05
168.0,19.0,114.0,1.4615384615384617,6.796578406711171,78,690.0,8.846153846153847,22.0,0.282051282051282,18.0,296.0,37.0,3.681450893174784,6.883720930232558,6.883720930232558,43.0,0,0.0,0.9392931060894022,4.0,30.0,0.1022347128792664,1.0,5.0,0.2624869951620122,0.0,0.0,0.6299930131704189,4.0,40.0,0.2805603193609255,9.0,221.0,0.2489801768456453,0.0,0.0,1.0
