step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,system_cars_present,system_accumulated_waiting_time (100),system_accumulated_mean_waiting_time (100),system_accumulated_waiting_time (delta),system_accumulated_mean_waiting_time (delta),agents_total_stopped,agents_total_accumulated_waiting_time (100),agents_total_accumulated_waiting_time (delta),agents_mean_speed,agents_mean_waiting_time (100),agents_mean_waiting_time (delta),agents_cars_present,Ing7_1_stopped,Ing7_1_accumulated_waiting_time,Ing7_1_average_speed,Ing7_2_stopped,Ing7_2_accumulated_waiting_time,Ing7_2_average_speed,Ing7_3_stopped,Ing7_3_accumulated_waiting_time,Ing7_3_average_speed,Ing7_4_stopped,Ing7_4_accumulated_waiting_time,Ing7_4_average_speed,Ing7_5_stopped,Ing7_5_accumulated_waiting_time,Ing7_5_average_speed,Ing7_6_stopped,Ing7_6_accumulated_waiting_time,Ing7_6_average_speed,Ing7_7_stopped,Ing7_7_accumulated_waiting_time,Ing7_7_average_speed
8.0,0,0.0,0.0,7.790490076702793,6,0.0,0.0,0.0,0.0,0,0.0,0.0,2.577262651920319,0.0,0.0,1,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.1830945994601297,0,0.0,1.0
16.0,3,1.0,0.0666666666666666,6.290668474552773,15,1.0,0.0666666666666666,1.0,0.0666666666666666,1,1.0,1.0,7.4485840357715745,0.3333333333333333,0.3333333333333333,3,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,1,1.0,0.5500632846568814,0,0.0,1.0
24.0,4,13.0,0.5652173913043478,7.832689597918898,23,13.0,0.5652173913043478,12.0,0.5217391304347826,2,13.0,12.0,7.638059105003205,2.1666666666666665,2.1666666666666665,6,0,0.0,1.0,0,0.0,1.0,1,4.0,6.994735379561483e-05,0,0.0,1.0,0,0.0,0.9409736488001648,1,9.0,0.5762632487981016,0,0.0,1.0
32.0,2,20.0,0.625,8.253989724570634,32,28.0,0.875,15.0,0.46875,1,17.0,4.0,8.785245646736488,1.5454545454545454,1.5454545454545454,11,0,0.0,1.0,0,0.0,0.9491898357214948,0,0.0,0.3810427076431318,0,0.0,1.0,0,0.0,0.7704214457045776,1,17.0,0.5381017041973963,0,0.0,1.0
40.0,4,5.0,0.1162790697674418,7.88956029639411,43,40.0,0.9302325581395348,12.0,0.2790697674418604,0,3.0,0.0,7.574710966270601,0.15,0.15,20,0,0.0,1.0,0,0.0,0.2954884004085064,0,0.0,1.0,0,0.0,0.4411416353964431,0,3.0,0.7286827258671098,0,0.0,0.4865782443163258,0,0.0,0.7837615361430152
48.0,5,8.0,0.1632653061224489,8.077787563204637,49,72.0,1.469387755102041,32.0,0.6530612244897959,3,18.0,15.0,8.423119705627116,1.0,1.0,18,0,3.0,0.8379196218299783,0,4.0,0.988316602684466,0,0.0,1.0,1,1.0,0.4754107948257475,0,3.0,0.7946282264150043,1,5.0,0.5325100576412939,1,2.0,0.0001176619118752
56.0,9,22.0,0.44,7.722148654926844,50,112.0,2.24,40.0,0.8,5,37.0,19.0,6.788601083398249,1.681818181818182,1.681818181818182,22,1,1.0,0.0028767481580197,0,0.0,0.8894186671850096,0,0.0,1.0,1,3.0,0.5691792650242268,0,13.0,0.8161508835479644,3,20.0,0.2919459187111839,0,0.0,1.0
64.0,12,67.0,1.2181818181818185,6.967691912172034,55,155.0,2.8181818181818183,43.0,0.7818181818181819,4,36.0,0.0,7.033026897260826,1.7142857142857142,1.7142857142857142,21,0,0.0,1.0,1,5.0,0.0,0,2.0,0.9183118810666184,2,10.0,0.2084294265959376,0,6.0,0.8058077575899029,0,13.0,0.461402328613837,1,0.0,0.0
72.0,17,136.0,2.125,6.8105942985418135,64,252.0,3.9375,97.0,1.515625,6,21.0,0.0,6.23092632225263,1.0,1.0,21,2,2.0,0.0310076783503867,0,0.0,1.0,1,1.0,0.0067049304120003,0,0.0,0.6629497748327832,2,8.0,0.5746177528596395,1,10.0,0.5259423728982012,0,0.0,0.8059899067700027
80.0,13,66.0,1.064516129032258,7.078882580703715,62,335.0,5.403225806451613,83.0,1.3387096774193548,7,46.0,25.0,4.41687266090385,3.066666666666667,3.066666666666667,15,0,0.0,1.0,0,0.0,1.0,1,9.0,0.4890205460548251,1,2.0,0.4855818535672602,0,1.0,0.4337348981388538,3,26.0,0.3138241578569157,2,8.0,0.0002509198430276
88.0,12,56.0,0.9824561403508772,7.194359203547463,57,360.0,6.315789473684211,25.0,0.4385964912280701,5,67.0,21.0,6.1696554603216605,4.1875,4.1875,16,1,3.0,1.9027349677275704e-05,0,0.0,1.0,1,5.0,0.2060676468653068,0,0.0,1.0,1,5.0,0.3784983238687037,2,54.0,0.6081095769903732,0,0.0,1.0
96.0,13,56.0,1.018181818181818,6.628860973270466,55,445.0,8.090909090909092,85.0,1.5454545454545454,8,128.0,61.0,5.451166253627863,6.7368421052631575,6.7368421052631575,19,0,0.0,1.0,1,3.0,4.293197855980183e-05,1,4.0,0.0,0,0.0,1.0,4,78.0,0.4400584248935006,2,34.0,0.2220102143093548,0,9.0,0.8976746535472125
104.0,3,6.0,0.1176470588235294,8.387638688972443,51,444.0,8.705882352941176,0.0,0.0,0,66.0,0.0,8.111370279212272,4.714285714285714,4.714285714285714,14,0,0.0,1.0,0,3.0,0.9367707169869042,0,0.0,1.0,0,0.0,0.6356999940399004,0,24.0,0.6301507457880237,0,36.0,0.4044342732930473,0,3.0,0.7522073725218281
112.0,11,55.0,1.0377358490566038,8.398344645343053,53,472.0,8.90566037735849,28.0,0.5283018867924528,5,140.0,74.0,8.382460980243305,6.363636363636363,6.363636363636363,22,0,0.0,1.0,0,5.0,0.9613167424976024,1,8.0,7.095466642957885e-05,1,5.0,0.0,1,72.0,0.6684387876262612,2,50.0,0.5779730635572272,0,0.0,1.0
120.0,10,68.0,1.1929824561403508,6.563827056375598,57,500.0,8.771929824561404,28.0,0.4912280701754385,5,140.0,0.0,5.544396864033503,5.185185185185185,5.185185185185185,27,0,0.0,0.761173507448661,0,11.0,0.4140449779369257,0,0.0,1.0,0,0.0,1.0,1,85.0,0.4874868506134699,4,44.0,0.1837979593615888,0,0.0,1.0
128.0,9,41.0,0.6507936507936508,6.41995574845779,63,518.0,8.222222222222221,18.0,0.2857142857142857,9,215.0,75.0,3.535071132284795,6.323529411764706,6.323529411764706,34,0,0.0,0.8999955013586807,0,0.0,0.6306547543834066,0,3.0,0.9328818827312448,1,3.0,0.3155955265260852,1,111.0,0.1935058585361705,7,98.0,0.0906448754913609,0,0.0,1.0
136.0,7,40.0,0.625,7.039920650592487,64,453.0,7.078125,0.0,0.0,6,168.0,0.0,4.367733619315704,5.090909090909091,5.090909090909091,33,1,1.0,0.2808795147832002,1,9.0,0.5380137222607617,0,0.0,0.4404876414036519,0,1.0,0.6612230326025659,0,57.0,0.2539256783128273,4,100.0,0.1995861271608231,0,0.0,1.0
144.0,14,44.0,0.6376811594202898,6.360709044646392,69,424.0,6.144927536231884,0.0,0.0,9,126.0,0.0,3.0664921699037686,4.846153846153846,4.846153846153846,26,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,3,14.0,0.0001227477483925,2,49.0,0.1414157703431678,4,63.0,0.30763817681293,0,0.0,1.0
152.0,13,112.0,1.5135135135135136,7.022923321276877,74,440.0,5.945945945945946,16.0,0.2162162162162162,12,170.0,44.0,2.8282012556311305,5.483870967741935,5.483870967741935,31,0,0.0,0.964295659341728,0,0.0,0.7691148492521717,0,0.0,1.0,2,27.0,0.0030595243886432,3,60.0,0.2421654524359836,7,83.0,0.1025495457290244,0,0.0,0.4631598130090572
160.0,16,183.0,2.3766233766233764,7.118504580374562,77,445.0,5.779220779220779,5.0,0.0649350649350649,10,178.0,8.0,4.529131249898207,6.592592592592593,6.592592592592593,27,0,0.0,1.0,1,5.0,0.5047990741613458,0,0.0,0.939853312328399,0,0.0,1.0,3,64.0,0.341123684935075,6,109.0,0.1018930984614946,0,0.0,1.0
168.0,17,228.0,3.4029850746268657,6.708553187796894,67,475.0,7.08955223880597,30.0,0.4477611940298507,14,225.0,47.0,2.8636285973885367,8.333333333333334,8.333333333333334,27,1,1.0,0.6368094686443727,2,6.0,0.0510107177541296,3,14.0,0.0020561968785598,1,1.0,0.1949097366761133,1,43.0,0.2218784577127554,6,160.0,0.1706949472113346,0,0.0,1.0
176.0,7,35.0,0.5833333333333334,7.534918902834911,60,488.0,8.133333333333333,13.0,0.2166666666666666,6,174.0,0.0,4.98347031960395,7.565217391304348,7.565217391304348,23,2,5.0,0.2895990457781212,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,33.0,0.3572100777587212,4,136.0,0.4060978569455402,0,0.0,0.1103285149350209
184.0,8,42.0,0.75,8.68723462297831,56,490.0,8.75,2.0,0.0357142857142857,8,116.0,0.0,6.021606016428113,4.142857142857143,4.142857142857143,28,2,7.0,0.0174012946439662,0,0.0,1.0,0,9.0,0.9278883589731598,0,4.0,0.530813631319201,1,17.0,0.6943067120687606,5,79.0,0.2791284220767037,0,0.0,0.4409963899955693
192.0,11,66.0,1.1785714285714286,8.28148985566102,56,576.0,10.285714285714286,86.0,1.5357142857142858,9,131.0,15.0,6.537406273465916,5.24,5.24,25,3,30.0,0.0,0,14.0,0.9695359981267926,0,5.0,0.9333228816062474,1,8.0,0.4973742179771035,0,0.0,0.7451751991269525,5,71.0,0.0566862541870569,0,3.0,0.7800804977555158
200.0,4,30.0,0.5357142857142857,9.40202278255326,56,571.0,10.196428571428571,0.0,0.0,2,70.0,0.0,6.2113803715443785,5.0,5.0,14,0,0.0,0.0092170714068882,0,4.0,0.8618215543458857,0,3.0,0.7557848527013084,1,3.0,0.0003269982101226,0,2.0,0.995858766540502,1,55.0,0.273028027289537,0,3.0,0.550807530913577
208.0,9,46.0,0.8679245283018868,8.842229018185598,53,406.0,7.660377358490566,0.0,0.0,5,82.0,12.0,7.13216783542573,4.315789473684211,4.315789473684211,19,1,1.0,0.2477278102399033,0,7.0,0.9329500487677704,1,14.0,0.7841403879915675,0,0.0,0.7706751442253637,0,3.0,0.5778193715729056,2,47.0,0.028033200235465,1,10.0,0.0
216.0,7,40.0,0.7547169811320755,8.387837763467328,53,453.0,8.547169811320755,47.0,0.8867924528301887,4,56.0,0.0,7.034742145754765,3.111111111111111,3.111111111111111,18,0,0.0,1.0,0,0.0,0.7401179068061051,2,19.0,0.4010566202990854,2,4.0,0.0033244395619054,0,3.0,0.9095049978399736,0,30.0,0.460459418632634,0,0.0,1.0
224.0,10,49.0,0.9074074074074074,7.76684840379289,54,424.0,7.851851851851852,0.0,0.0,7,48.0,0.0,2.6804535921906223,3.2,3.2,15,0,0.0,0.657996922632636,2,12.0,9.452050086543742e-06,3,29.0,0.0919942385222487,1,1.0,0.0945037916746195,1,3.0,0.0050454403274209,0,3.0,0.4411172359338189,0,0.0,1.0
232.0,16,108.0,2.076923076923077,6.8507386560824886,52,437.0,8.403846153846153,13.0,0.25,15,135.0,87.0,3.625237150792768,5.0,5.0,27,3,8.0,0.0092530522305196,0,0.0,0.6326857368676317,2,39.0,0.483946405239285,3,18.0,0.0017838349947523,4,57.0,0.2588481224843953,3,13.0,0.2029571014677585,0,0.0,0.9866341183928312
240.0,10,102.0,2.125,6.995215891353202,48,460.0,9.583333333333334,23.0,0.4791666666666667,7,97.0,0.0,4.54528766265641,6.466666666666667,6.466666666666667,15,0,0.0,1.0,1,21.0,0.6295652554944948,1,28.0,0.0,0,0.0,1.0,0,0.0,0.4050097375845828,5,48.0,0.2442523997791518,0,0.0,1.0
248.0,6,32.0,0.6037735849056604,8.346227370512896,53,493.0,9.30188679245283,33.0,0.6226415094339622,4,73.0,0.0,5.789750654729955,3.65,3.65,20,0,0.0,0.5508477954413312,1,32.0,0.2471197324190421,0,0.0,1.0,0,0.0,1.0,3,23.0,0.3484607022340865,0,18.0,0.5421201292096605,0,0.0,1.0
256.0,4,25.0,0.5,8.422299296360427,50,415.0,8.3,0.0,0.0,3,44.0,0.0,7.212872894603633,2.588235294117647,2.588235294117647,17,0,0.0,0.7476838934079102,0,9.0,0.4992929329091258,0,0.0,1.0,0,0.0,1.0,0,6.0,0.523528259952543,3,22.0,0.2485120058449332,0,7.0,0.915645375881019
264.0,5,11.0,0.22,8.38316828493513,50,389.0,7.78,0.0,0.0,5,40.0,0.0,5.913991721051488,2.3529411764705883,2.3529411764705883,17,3,6.0,0.3084848614447363,0,0.0,1.0,0,0.0,1.0,0,0.0,0.0289911603336127,0,3.0,0.2960919878644358,1,25.0,0.5684816803043488,1,6.0,0.4803372072583632
272.0,11,54.0,1.125,7.499917892448459,48,386.0,8.041666666666666,0.0,0.0,9,69.0,29.0,4.308894933696399,3.631578947368421,3.631578947368421,19,5,37.0,0.1499764978217796,0,0.0,0.6317409458841852,1,5.0,0.0,0,0.0,1.0,0,4.0,0.8726655240913315,2,20.0,0.1004749717973474,1,3.0,0.6389736033683285
