step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,system_cars_present,system_accumulated_waiting_time (100),system_accumulated_mean_waiting_time (100),system_accumulated_waiting_time (delta),system_accumulated_mean_waiting_time (delta),agents_total_stopped,agents_total_accumulated_waiting_time (100),agents_total_accumulated_waiting_time (delta),agents_mean_speed,agents_mean_waiting_time (100),agents_mean_waiting_time (delta),agents_cars_present,Ing7_1_stopped,Ing7_1_accumulated_waiting_time,Ing7_1_average_speed,Ing7_2_stopped,Ing7_2_accumulated_waiting_time,Ing7_2_average_speed,Ing7_3_stopped,Ing7_3_accumulated_waiting_time,Ing7_3_average_speed,Ing7_4_stopped,Ing7_4_accumulated_waiting_time,Ing7_4_average_speed,Ing7_5_stopped,Ing7_5_accumulated_waiting_time,Ing7_5_average_speed,Ing7_6_stopped,Ing7_6_accumulated_waiting_time,Ing7_6_average_speed,Ing7_7_stopped,Ing7_7_accumulated_waiting_time,Ing7_7_average_speed
8.0,0,0.0,0.0,7.790490076702793,6,0.0,0.0,0.0,0.0,0,0.0,0.0,2.577262651920319,0.0,0.0,1,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.1830945994601297,0,0.0,1.0
16.0,4,3.0,0.2,5.654672063131803,15,3.0,0.2,3.0,0.2,2,3.0,3.0,5.588494568332624,0.75,0.75,4,0,0.0,1.0,0,0.0,1.0,1,2.0,0.0006441555081676,0,0.0,1.0,0,0.0,1.0,1,1.0,0.5500632846568814,0,0.0,1.0
24.0,3,9.0,0.391304347826087,7.783660676498297,23,15.0,0.6521739130434783,12.0,0.5217391304347826,1,9.0,6.0,8.761257177545449,1.8,1.8,5,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.8639305164398176,1,9.0,0.557768106331578,0,0.0,1.0
32.0,5,10.0,0.3225806451612903,7.738513696200795,31,28.0,0.9032258064516128,13.0,0.4193548387096774,4,12.0,3.0,6.7750344796542885,1.0909090909090908,1.0909090909090908,11,0,0.0,1.0,0,0.0,1.0,1,4.0,0.0,0,0.0,1.0,0,3.0,0.8726944551808297,3,5.0,0.3939921329406274,0,0.0,1.0
40.0,4,5.0,0.119047619047619,8.072045945090972,42,50.0,1.1904761904761905,22.0,0.5238095238095238,2,10.0,0.0,8.09048460404902,0.5263157894736842,0.5263157894736842,19,0,0.0,1.0,0,4.0,0.8652654098525113,0,0.0,1.0,0,0.0,0.9633497917284978,2,6.0,0.4184840789298253,0,0.0,0.5616362201554361,0,0.0,0.6855587738635465
48.0,12,33.0,0.66,7.172062986660734,50,95.0,1.9,45.0,0.9,6,42.0,32.0,7.584582317527188,1.5,1.5,28,1,7.0,0.3388542561230498,1,5.0,0.481627223826544,1,5.0,4.177417583478883e-05,1,1.0,0.3590634943282735,0,13.0,0.7944585732778773,2,11.0,0.5641806778838281,0,0.0,0.3895750502329125
56.0,4,36.0,0.6666666666666666,7.604159677877885,54,158.0,2.925925925925926,63.0,1.1666666666666667,3,53.0,11.0,7.284185941364877,2.12,2.12,25,0,0.0,0.6296050819855904,0,8.0,0.679745433930597,0,0.0,0.976935284523799,0,3.0,0.7205828397539966,0,7.0,0.6367280388004302,3,35.0,0.3061151843625491,0,0.0,1.0
64.0,9,26.0,0.4406779661016949,6.887927225008282,59,178.0,3.016949152542373,20.0,0.3389830508474576,7,55.0,2.0,2.9097841159711177,2.1153846153846154,2.1153846153846154,26,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,1,7.0,0.0064411167847768,3,18.0,0.1938569598587289,2,30.0,0.2918143754880095,1,0.0,0.3497641695440455
72.0,6,12.0,0.1904761904761904,7.473335003711293,63,227.0,3.6031746031746033,49.0,0.7777777777777778,2,58.0,3.0,6.193847919958614,2.761904761904762,2.761904761904762,21,0,0.0,1.0,0,3.0,0.7741063695093037,1,5.0,0.4665581452966952,0,0.0,1.0,0,19.0,0.4789953182733495,1,31.0,0.2838876343754061,0,0.0,0.7627152174597476
80.0,17,78.0,1.1470588235294117,6.468726268555698,68,295.0,4.338235294117647,68.0,1.0,11,91.0,33.0,4.959269400405341,2.935483870967742,2.935483870967742,31,2,6.0,0.0002572408584827,0,0.0,1.0,1,10.0,0.4637035733553073,0,7.0,0.4272388382968765,3,30.0,0.3987457391451333,5,38.0,0.3176744208349946,0,0.0,0.9500980661604226
88.0,18,147.0,2.227272727272727,5.121534056272275,66,404.0,6.121212121212121,109.0,1.6515151515151516,8,87.0,0.0,3.4796713751024333,3.107142857142857,3.107142857142857,28,0,0.0,1.0,0,0.0,0.9787555491722958,1,4.0,0.1836529840061899,0,0.0,0.3451532742724786,0,19.0,0.3935201234096904,5,57.0,0.1400661411936486,2,7.0,0.0001976585467501
96.0,17,135.0,2.076923076923077,5.892144031419383,65,517.0,7.953846153846154,113.0,1.7384615384615385,12,130.0,43.0,2.7488896973868178,5.909090909090909,5.909090909090909,22,0,0.0,1.0,0,0.0,0.3917073025011002,1,4.0,0.0,2,13.0,0.1204226073542031,4,30.0,0.0013505329232852,5,83.0,0.2715938696890051,0,0.0,1.0
104.0,4,41.0,0.6949152542372882,7.577438400214285,59,507.0,8.59322033898305,0.0,0.0,3,94.0,0.0,5.270948164785566,6.266666666666667,6.266666666666667,15,0,0.0,1.0,0,3.0,0.9295488923992714,0,3.0,0.6908942467622088,2,22.0,0.0,0,4.0,0.6295634724586219,1,62.0,0.328862728861117,0,0.0,1.0
112.0,16,95.0,1.7924528301886793,5.691014273710084,53,498.0,9.39622641509434,0.0,0.0,12,213.0,119.0,3.394680231193397,8.52,8.52,25,0,0.0,1.0,1,12.0,0.558418618575214,1,7.0,0.0,2,38.0,0.0,1,13.0,0.6039945839253275,6,130.0,0.0635738809222808,1,13.0,0.0
120.0,14,117.0,2.207547169811321,5.156393600845342,53,548.0,10.339622641509434,50.0,0.9433962264150944,8,237.0,24.0,4.699613254767352,11.285714285714286,11.285714285714286,21,0,0.0,0.7968075802446731,0,8.0,0.7395435419501126,0,0.0,0.969737122785778,0,0.0,1.0,0,3.0,0.7585618344018465,7,205.0,0.1717595276727972,1,21.0,0.0
128.0,8,34.0,0.5573770491803278,7.325089852289144,61,618.0,10.131147540983608,70.0,1.147540983606557,3,110.0,0.0,6.452096891508873,5.789473684210527,5.789473684210527,19,0,0.0,0.9048580024869022,0,4.0,0.940224637178872,0,0.0,0.7313084201214637,1,2.0,0.2735123961748097,2,10.0,0.0227847184855741,0,94.0,0.4080516206284347,0,0.0,1.0
136.0,19,107.0,1.621212121212121,5.992293578385026,66,699.0,10.590909090909092,81.0,1.2272727272727273,14,133.0,23.0,4.676105653000307,3.6944444444444446,3.6944444444444446,36,3,11.0,0.1296958834385471,2,10.0,0.2594432638696141,0,0.0,0.6076013084664349,4,28.0,0.0599496321075598,2,30.0,0.6424034053117735,3,54.0,0.2699722596229778,0,0.0,1.0
144.0,20,125.0,1.6891891891891893,5.021002896370322,74,792.0,10.702702702702704,93.0,1.2567567567567568,15,266.0,133.0,3.6911271052594343,6.333333333333333,6.333333333333333,42,0,2.0,0.3194015220953687,0,8.0,0.1809454780385692,1,5.0,0.0,7,79.0,0.1208165481269642,1,49.0,0.3441318027328728,6,123.0,0.2716726557948344,0,0.0,1.0
152.0,22,169.0,2.1948051948051948,6.019150777710801,77,867.0,11.25974025974026,75.0,0.974025974025974,19,270.0,4.0,2.3125523677005404,7.297297297297297,7.297297297297297,37,4,14.0,0.0089382111385189,1,11.0,0.3754331075161952,0,0.0,1.0,1,40.0,0.1884077828427712,3,32.0,0.1117522281224038,10,173.0,0.1725022593910756,0,0.0,0.4994492424374759
160.0,21,171.0,2.1645569620253164,5.888053719323816,79,887.0,11.227848101265822,20.0,0.2531645569620253,19,294.0,24.0,1.5685946934044774,9.1875,9.1875,32,1,9.0,0.0,2,7.0,0.1280466823812703,1,4.0,1.3004250353261193e-05,4,57.0,0.0002359182231313,4,53.0,0.1726385192747619,6,162.0,0.11820706490028,1,2.0,0.0001394417177178
168.0,18,126.0,1.6153846153846154,6.532269504131153,78,975.0,12.5,88.0,1.1282051282051282,17,404.0,110.0,3.994346842833702,10.35897435897436,10.35897435897436,39,1,1.0,0.4210754676965427,0,23.0,0.5774779570123763,1,13.0,0.4628101261418366,6,94.0,0.000927117830647,3,62.0,0.3179615255209494,5,201.0,0.2932877713199397,1,10.0,0.0
176.0,10,73.0,0.9864864864864864,7.269057980209831,74,1034.0,13.972972972972974,59.0,0.7972972972972973,10,288.0,0.0,5.311552081235731,6.697674418604652,6.697674418604652,43,1,3.0,0.5291566820309385,3,20.0,0.0388318849417415,0,10.0,0.8173851610463514,0,22.0,0.2399237721016938,1,59.0,0.3774048676240438,5,174.0,0.3653247733457725,0,0.0,0.1004143052229508
184.0,10,93.0,1.3676470588235294,8.121217798928434,68,1006.0,14.794117647058824,0.0,0.0,10,247.0,0.0,3.663605954322047,8.821428571428571,8.821428571428571,28,2,11.0,0.2590485365734126,0,14.0,0.2416829673179791,0,0.0,0.5985120757617478,0,0.0,0.8691143182335112,2,49.0,0.4044530858129521,6,173.0,0.0361825635071987,0,0.0,0.1369112240986754
192.0,5,51.0,0.8225806451612904,8.634100545079395,62,841.0,13.564516129032258,0.0,0.0,3,149.0,0.0,5.503093422480809,7.842105263157895,7.842105263157895,19,0,0.0,1.0,0,4.0,0.4176111371951752,0,3.0,0.9260056829811878,0,0.0,1.0,1,44.0,0.2767830983808782,1,88.0,0.3076718139903819,1,10.0,0.366280136410248
200.0,8,86.0,1.3870967741935485,9.024584343726795,62,797.0,12.85483870967742,0.0,0.0,4,113.0,0.0,7.886692114821493,5.65,5.65,20,0,0.0,0.3983882671071912,0,7.0,0.937369199704723,0,4.0,0.6678285324045318,0,3.0,0.1767802071889313,1,59.0,0.7540152848145718,3,37.0,0.2426618711655745,0,3.0,0.599424354261299
208.0,10,102.0,1.7,8.893926769346502,60,712.0,11.866666666666667,0.0,0.0,7,148.0,35.0,5.326145334519095,8.705882352941176,8.705882352941176,17,1,7.0,0.0,2,14.0,0.255836292088996,1,17.0,0.6991179795636436,0,0.0,1.0,1,60.0,0.5966758197672457,2,50.0,0.0812509257474704,0,0.0,1.0
216.0,12,124.0,2.431372549019608,7.594893653623244,51,555.0,10.882352941176473,0.0,0.0,11,170.0,22.0,4.636722470568701,7.727272727272727,7.727272727272727,22,1,1.0,0.0101350496820345,2,15.0,0.4531219540746443,2,31.0,0.5053799892881932,3,5.0,0.0021394767825598,1,68.0,0.4756553695206424,2,50.0,0.0,0,0.0,1.0
224.0,11,114.0,2.28,7.451776316881174,50,484.0,9.68,0.0,0.0,7,123.0,0.0,5.383740844498752,6.473684210526316,6.473684210526316,19,0,0.0,0.9615606646188632,2,35.0,0.4304711390438643,1,18.0,0.1944304042631551,0,0.0,1.0,1,3.0,0.435206528380692,3,67.0,0.2973795668075507,0,0.0,1.0
232.0,9,109.0,2.0961538461538463,8.37382169112941,52,539.0,10.365384615384617,55.0,1.0576923076923077,6,119.0,0.0,4.830882421637045,7.933333333333334,7.933333333333334,15,0,0.0,1.0,0,12.0,0.7033411993384567,1,16.0,0.0,0,0.0,1.0,0,0.0,1.0,5,91.0,0.2987073192207413,0,0.0,1.0
240.0,6,36.0,0.7058823529411765,8.108001598590908,51,569.0,11.15686274509804,30.0,0.5882352941176471,2,42.0,0.0,5.298475207387965,3.230769230769231,3.230769230769231,13,0,0.0,1.0,1,9.0,0.4837944091287546,0,0.0,1.0,0,0.0,1.0,0,3.0,0.7870174018802718,1,30.0,0.2719979527612983,0,0.0,1.0
248.0,6,12.0,0.2307692307692307,8.267451732260465,52,539.0,10.365384615384617,0.0,0.0,5,82.0,40.0,5.9137286174783,4.1,4.1,20,0,0.0,1.0,2,6.0,0.0165398958061328,0,6.0,0.975839159372914,0,0.0,1.0,0,36.0,0.5987759438913665,3,28.0,0.1045808677671159,0,6.0,0.9494468450267424
256.0,5,22.0,0.4313725490196078,9.160101187422384,51,538.0,10.549019607843135,0.0,0.0,5,93.0,11.0,6.46671302759752,5.166666666666667,5.166666666666667,18,0,0.0,0.6753710921969535,0,3.0,0.9549434667539654,0,3.0,0.9380580416470494,0,0.0,1.0,4,57.0,0.1844002546919101,1,27.0,0.1226558382562319,0,3.0,0.9995740217617304
264.0,6,26.0,0.5098039215686274,8.396114928357676,51,478.0,9.372549019607844,0.0,0.0,6,71.0,0.0,4.731338227196007,4.4375,4.4375,16,3,16.0,0.3598309526733859,0,0.0,1.0,0,0.0,1.0,0,0.0,0.0308327787041282,0,23.0,0.6045446717913678,3,32.0,0.1386420419237305,0,0.0,1.0
272.0,4,11.0,0.2291666666666666,8.875740195271021,48,381.0,7.9375,0.0,0.0,2,50.0,0.0,8.774393140276404,2.272727272727273,2.272727272727273,22,1,1.0,0.4211419520133599,0,0.0,0.6883761930036995,1,15.0,0.7101207712478297,0,0.0,0.0130255970387552,0,3.0,0.8610942678239477,0,31.0,0.6387939986769312,0,0.0,0.8215648679620052
280.0,9,40.0,0.851063829787234,7.942783430596159,47,422.0,8.97872340425532,41.0,0.8723404255319149,8,77.0,27.0,5.891479923015094,3.5,3.5,22,2,15.0,0.1231015181947777,0,0.0,0.5976569445687899,1,13.0,0.2706699897355619,1,7.0,0.0,0,7.0,0.9486958246491156,3,30.0,0.3594491601837269,1,5.0,0.4933966205447325
288.0,10,84.0,1.75,7.899926804208562,48,442.0,9.208333333333334,20.0,0.4166666666666667,9,105.0,28.0,4.6364399239114045,5.25,5.25,20,3,36.0,0.1463927171665905,1,5.0,0.0,0,6.0,0.3806545642729679,1,15.0,0.4169992634502688,0,3.0,0.8112961535818337,3,27.0,0.3097112387969519,1,13.0,0.0
296.0,13,75.0,1.5,7.751412673433071,50,468.0,9.36,26.0,0.52,11,90.0,0.0,6.028423348660092,4.285714285714286,4.285714285714286,21,2,12.0,0.3296531419436065,0,0.0,1.0,2,11.0,0.6394577091657713,2,8.0,0.0003166448569208,0,7.0,0.7567496568151995,5,52.0,3.621498959528243e-05,0,0.0,1.0
304.0,12,120.0,2.4,6.54997750390211,50,501.0,10.02,33.0,0.66,11,150.0,60.0,2.883802998730056,6.521739130434782,6.521739130434782,23,1,10.0,0.4745763427805668,0,0.0,0.6213155381725205,3,33.0,0.2018465121453724,1,4.0,0.0415892769675407,1,8.0,0.258825419666959,5,95.0,0.1170752243330137,0,0.0,1.0
312.0,13,193.0,3.641509433962264,7.3230149809064065,53,562.0,10.60377358490566,61.0,1.150943396226415,12,218.0,68.0,3.114005655740889,9.478260869565217,9.478260869565217,23,1,18.0,0.6503672662471204,2,8.0,0.005711368866253,0,22.0,0.3014171151921951,2,16.0,0.0,1,16.0,0.4801600265261145,6,138.0,0.0755010937730716,0,0.0,1.0
320.0,12,230.0,4.791666666666667,7.246116299751816,48,562.0,11.708333333333334,0.0,0.0,12,250.0,32.0,3.513420374913486,11.904761904761903,11.904761904761903,21,2,29.0,0.2388719088445946,0,2.0,0.3223420596499073,2,23.0,2.1725758595241805e-05,1,8.0,0.195245382453264,1,2.0,0.5529372405536365,6,186.0,0.2109415795494459,0,0.0,0.5954581207567676
328.0,14,257.0,5.840909090909091,6.954361114817576,44,572.0,13.0,10.0,0.2272727272727272,12,273.0,23.0,2.18079399255358,14.36842105263158,14.36842105263158,19,1,2.0,0.1073487992692703,2,10.0,2.722530375140022e-05,0,0.0,1.0,3,21.0,0.0005089193696667,0,3.0,0.5299211636641773,6,237.0,0.0791278541675484,0,0.0,0.905537981102151
336.0,8,291.0,6.767441860465116,7.148988870296404,43,611.0,14.209302325581396,39.0,0.9069767441860463,8,308.0,35.0,3.303233360329166,23.692307692307693,23.692307692307693,13,0,1.0,0.0324729114469198,0,0.0,1.0,0,3.0,0.93487007130527,0,3.0,0.2765032129273373,1,8.0,0.0,7,293.0,0.1939206514699659,0,0.0,1.0
344.0,11,354.0,7.695652173913044,7.138003048572818,46,671.0,14.58695652173913,60.0,1.3043478260869563,11,377.0,69.0,3.9356530182318976,17.136363636363637,17.136363636363637,22,0,0.0,0.93194673247585,1,4.0,0.005602190072448,1,5.0,0.4824440371151502,1,13.0,0.0495888247071269,0,0.0,1.0,8,355.0,0.1864538270816947,0,0.0,1.0
352.0,10,176.0,3.591836734693877,7.675504885221153,49,612.0,12.489795918367347,0.0,0.0,9,301.0,0.0,4.37435047265703,15.05,15.05,20,1,4.0,0.6212660169057506,0,0.0,1.0,2,18.0,0.0,0,0.0,1.0,0,0.0,0.9599561018622618,6,279.0,0.1719756275592202,0,0.0,1.0
360.0,8,41.0,0.803921568627451,8.066981223450622,51,508.0,9.96078431372549,0.0,0.0,7,50.0,0.0,5.968303021585189,2.9411764705882355,2.9411764705882355,17,3,18.0,0.2392360503922883,0,0.0,0.955670693893619,0,0.0,1.0,0,0.0,1.0,0,3.0,0.93692222346265,4,26.0,0.2075886754404816,0,3.0,0.840927194326423
368.0,2,6.0,0.1224489795918367,8.023406785270712,49,507.0,10.346938775510203,0.0,0.0,2,61.0,11.0,7.241683613396438,2.652173913043478,2.652173913043478,23,1,14.0,0.0791886667676256,0,0.0,0.4285239952631492,0,8.0,0.9348816384523204,0,0.0,1.0,0,6.0,0.7618288796679015,1,22.0,0.2968043169400928,0,11.0,0.9301111328774856
376.0,5,20.0,0.4347826086956521,8.933375312135453,46,341.0,7.413043478260869,0.0,0.0,4,39.0,0.0,9.075012298861711,1.95,1.95,20,0,0.0,1.0,0,0.0,0.4353159650803936,0,5.0,0.8466838083589334,0,0.0,1.0,0,7.0,0.8438538338191572,2,14.0,0.5722788884145367,2,13.0,0.0013350136395577
384.0,5,20.0,0.3773584905660377,8.062481539609223,53,316.0,5.962264150943396,0.0,0.0,2,20.0,0.0,8.096644382001122,1.3333333333333333,1.3333333333333333,15,0,0.0,1.0,0,5.0,0.9155599022718732,0,0.0,1.0,0,3.0,0.9379361104806728,1,8.0,0.353980401751431,1,4.0,0.6152828085533036,0,0.0,0.89102052154247
392.0,7,57.0,1.0555555555555556,8.906035983540189,54,285.0,5.277777777777778,0.0,0.0,4,44.0,24.0,7.468226774134517,2.095238095238096,2.095238095238096,21,0,0.0,1.0,0,0.0,1.0,0,6.0,0.9112875408675468,0,0.0,0.4927243914240538,1,16.0,0.4709057731854474,3,19.0,0.1784625138101464,0,3.0,0.7650087260506967
400.0,9,68.0,1.36,7.355879442251426,50,316.0,6.32,31.0,0.62,5,62.0,18.0,6.95490485813826,2.8181818181818183,2.8181818181818183,22,0,0.0,1.0,0,0.0,0.9587673650474706,0,2.0,0.7831727717146387,3,11.0,0.0003894058589843,1,27.0,0.5724930334387962,1,22.0,0.1303804651590229,0,0.0,0.5506101607273547
408.0,12,59.0,1.3409090909090908,6.9320567912075255,44,346.0,7.863636363636363,30.0,0.6818181818181818,11,95.0,33.0,5.340265118909646,3.5185185185185186,3.5185185185185186,27,0,0.0,0.9523900777698596,2,5.0,0.2113105730183128,1,3.0,0.4504147169101151,3,35.0,0.0,2,36.0,0.5727236958315605,0,4.0,0.5213975065847994,3,12.0,0.0004891533253682
416.0,6,22.0,0.5,7.390744834886475,44,373.0,8.477272727272727,27.0,0.6136363636363636,5,69.0,0.0,5.844648144944955,4.3125,4.3125,16,2,7.0,0.0004066780660688,1,6.0,0.0,0,7.0,0.4482456055865747,0,3.0,0.2980918425562976,2,43.0,0.5497166377052369,0,3.0,0.819014707554388,0,0.0,1.0
424.0,5,7.0,0.1590909090909091,7.694254990544991,44,360.0,8.181818181818182,0.0,0.0,3,41.0,0.0,5.251736096421486,2.9285714285714284,2.9285714285714284,14,0,0.0,1.0,0,0.0,0.9691344539620188,0,0.0,1.0,0,0.0,0.3700353369082655,3,34.0,0.1729790853923136,0,7.0,0.8596220587286445,0,0.0,0.953775569712929
432.0,9,44.0,0.9565217391304348,7.258363915549107,46,384.0,8.347826086956522,24.0,0.5217391304347826,8,112.0,71.0,3.9355211718091,5.090909090909091,5.090909090909091,22,1,7.0,0.4472916759856611,0,0.0,0.0894899425196973,0,3.0,0.9520896922183748,1,10.0,0.5746504157288181,5,87.0,0.0490586827293393,0,0.0,1.0,1,5.0,0.4665175204833083
