step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,system_cars_present,system_accumulated_waiting_time (100),system_accumulated_mean_waiting_time (100),system_accumulated_waiting_time (delta),system_accumulated_mean_waiting_time (delta),agents_total_stopped,agents_total_accumulated_waiting_time (100),agents_total_accumulated_waiting_time (delta),agents_mean_speed,agents_mean_waiting_time (100),agents_mean_waiting_time (delta),agents_cars_present,Ing7_1_stopped,Ing7_1_accumulated_waiting_time,Ing7_1_average_speed,Ing7_2_stopped,Ing7_2_accumulated_waiting_time,Ing7_2_average_speed,Ing7_3_stopped,Ing7_3_accumulated_waiting_time,Ing7_3_average_speed,Ing7_4_stopped,Ing7_4_accumulated_waiting_time,Ing7_4_average_speed,Ing7_5_stopped,Ing7_5_accumulated_waiting_time,Ing7_5_average_speed,Ing7_6_stopped,Ing7_6_accumulated_waiting_time,Ing7_6_average_speed,Ing7_7_stopped,Ing7_7_accumulated_waiting_time,Ing7_7_average_speed
8.0,0,0.0,0.0,7.790490076702793,6,0.0,0.0,0.0,0.0,0,0.0,0.0,2.577262651920319,0.0,0.0,1,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.1830945994601297,0,0.0,1.0
16.0,4,3.0,0.2,5.654672063131803,15,3.0,0.2,3.0,0.2,2,3.0,3.0,5.588494568332624,0.75,0.75,4,0,0.0,1.0,0,0.0,1.0,1,2.0,0.0006441555081676,0,0.0,1.0,0,0.0,1.0,1,1.0,0.5500632846568814,0,0.0,1.0
24.0,6,25.0,1.0869565217391304,6.501240217896758,23,25.0,1.0869565217391304,22.0,0.9565217391304348,3,20.0,17.0,6.196505199059391,3.333333333333333,3.333333333333333,6,0,0.0,1.0,0,0.0,1.0,1,10.0,0.0,0,0.0,1.0,1,1.0,0.47340365922259,1,9.0,0.5929739698904974,0,0.0,1.0
32.0,8,51.0,1.6451612903225807,4.797119766980961,31,70.0,2.2580645161290325,45.0,1.4516129032258065,4,35.0,15.0,5.069827690063873,3.888888888888889,3.888888888888889,9,0,0.0,1.0,0,0.0,1.0,1,18.0,0.0,0,0.0,1.0,0,6.0,0.7450917132920392,3,11.0,0.2013767873915906,0,0.0,1.0
40.0,9,64.0,1.5238095238095235,5.810569022074465,42,145.0,3.452380952380953,75.0,1.7857142857142858,3,35.0,0.0,7.294707641267523,2.5,2.5,14,0,0.0,1.0,0,0.0,0.2584149185309933,0,0.0,1.0,0,0.0,0.9308041593136298,0,3.0,0.7380313641551234,3,32.0,0.4465483264251057,0,0.0,0.6855587738635465
48.0,11,25.0,0.4901960784313725,5.774559782760302,51,216.0,4.235294117647059,71.0,1.392156862745098,5,35.0,0.0,5.7444598688411945,2.0588235294117645,2.0588235294117645,17,0,4.0,0.844737966242589,0,0.0,1.0,1,14.0,1.513004369371604e-05,0,0.0,0.4366710212969785,2,10.0,0.4585336069257609,1,4.0,0.5314743110531901,1,3.0,5.474445067535305e-05
56.0,8,29.0,0.5471698113207547,7.243653636616191,53,276.0,5.2075471698113205,60.0,1.1320754716981132,2,69.0,34.0,8.708191570651026,4.0588235294117645,4.0588235294117645,17,0,0.0,1.0,0,20.0,0.8489349042636962,0,0.0,1.0,0,1.0,0.6404098399823153,0,13.0,0.8937180292127075,2,34.0,0.4513162142951631,0,1.0,0.4755018611024323
64.0,10,47.0,0.7966101694915254,7.106287001126472,59,354.0,6.0,78.0,1.3220338983050848,8,131.0,62.0,6.798876390913635,5.24,5.24,25,0,0.0,1.0,0,3.0,0.945890313616798,1,19.0,0.6330109718281217,1,1.0,0.3570900855959121,0,3.0,0.8896212349613192,5,105.0,0.3763190730285077,1,0.0,0.3620699718810692
72.0,22,128.0,1.9692307692307691,5.476346438063285,65,444.0,6.830769230769231,90.0,1.3846153846153846,15,226.0,95.0,3.9115326270495183,7.533333333333333,7.533333333333333,30,0,0.0,1.0,0,18.0,0.6803911661038554,2,6.0,0.0014303041172165,2,13.0,3.197293592071862e-05,2,9.0,0.3057343725741179,9,180.0,0.2450257084771366,0,0.0,0.7771765137048993
80.0,24,213.0,3.0869565217391304,5.483578817302307,69,599.0,8.681159420289855,155.0,2.246376811594203,19,296.0,70.0,1.809909941106515,11.384615384615383,11.384615384615383,26,1,1.0,0.2182932515872525,0,0.0,1.0,0,0.0,0.9731705883871355,0,0.0,1.0,0,0.0,0.351920035638158,17,293.0,0.0786945952895411,1,2.0,0.0005451107894044
88.0,14,64.0,0.9142857142857144,6.317624330108759,70,728.0,10.4,129.0,1.8428571428571427,6,172.0,0.0,5.476302650724449,6.615384615384615,6.615384615384615,26,0,0.0,1.0,0,3.0,0.9449415654822654,0,0.0,0.3041597479536844,0,0.0,1.0,1,11.0,0.528214238359645,5,158.0,0.2208284102453235,0,0.0,1.0
96.0,15,54.0,0.7714285714285715,6.029179423996398,70,822.0,11.742857142857142,94.0,1.3428571428571427,9,258.0,86.0,4.616138523681047,8.0625,8.0625,32,2,7.0,0.0001643035932398,1,5.0,0.4929587173645479,1,8.0,0.0,0,0.0,1.0,0,21.0,0.6885691497582216,5,211.0,0.1233776285679055,0,6.0,0.9147930904302752
104.0,19,59.0,0.8676470588235294,4.522791942025595,68,874.0,12.852941176470589,52.0,0.7647058823529411,9,210.0,0.0,3.113688575627965,7.5,7.5,28,0,0.0,1.0,1,7.0,0.3328706596260979,0,7.0,0.2350361423438237,0,6.0,0.3556995263170913,2,17.0,0.4737557958349516,4,162.0,0.085055441492055,2,11.0,0.0001999067587793
112.0,12,49.0,0.7,6.204118822338476,70,961.0,13.728571428571428,87.0,1.2428571428571429,5,219.0,9.0,4.580237522328497,8.11111111111111,8.11111111111111,27,1,1.0,0.0036021930840274,1,12.0,0.4959791867223025,0,0.0,1.0,1,3.0,0.1838283784215721,0,10.0,0.8383633442635513,2,193.0,0.1578854707730281,0,0.0,1.0
120.0,18,72.0,0.9863013698630136,5.099625300150567,73,901.0,12.342465753424657,0.0,0.0,9,277.0,58.0,3.932094737749984,8.935483870967742,8.935483870967742,31,1,9.0,0.3346426231322748,1,34.0,0.7602950770289162,0,0.0,1.0,0,0.0,1.0,1,25.0,0.5293999458845923,6,209.0,0.0490509573855191,0,0.0,1.0
128.0,15,123.0,1.5974025974025974,5.966735863704765,77,885.0,11.493506493506494,0.0,0.0,3,214.0,0.0,3.487843413383282,7.379310344827586,7.379310344827586,29,0,0.0,1.0,1,28.0,0.6445130076273591,0,0.0,1.0,1,2.0,0.2639557848908029,1,33.0,0.2521200254466806,0,151.0,0.1857405613012905,0,0.0,1.0
136.0,28,247.0,3.25,5.141803399194002,76,860.0,11.31578947368421,0.0,0.0,16,223.0,9.0,3.0939458962727286,5.575,5.575,40,1,1.0,0.1712306592880149,2,4.0,0.0241851982427742,0,0.0,0.4287020772891801,6,31.0,0.0003914537970674,4,44.0,0.4109865774178189,3,143.0,0.2059048990496909,0,0.0,1.0
144.0,29,292.0,3.5180722891566263,4.679698606434653,83,1023.0,12.325301204819278,163.0,1.963855421686747,13,245.0,22.0,3.4040404315020423,6.621621621621622,6.621621621621622,37,5,23.0,0.1525944428611594,0,3.0,0.3315910094580066,1,6.0,0.0,0,18.0,0.1947230499608787,1,37.0,0.5518784341492038,6,158.0,0.1605618196650179,0,0.0,1.0
152.0,15,80.0,0.963855421686747,6.398038987019311,83,996.0,12.0,0.0,0.0,12,227.0,0.0,3.0920236515009183,7.09375,7.09375,32,0,0.0,0.0110433568733199,1,8.0,0.3483736093051536,0,3.0,0.9647551472494992,0,0.0,1.0,4,61.0,0.2716952624782338,7,155.0,0.1425270522823409,0,0.0,0.4683474639755959
160.0,17,127.0,1.443181818181818,6.387103213554869,88,937.0,10.647727272727272,0.0,0.0,12,230.0,3.0,2.774173787846886,7.666666666666667,7.666666666666667,30,1,15.0,0.2864493010396908,3,25.0,5.702256810351391e-05,1,4.0,0.0001912726253802,0,0.0,0.9712579832155268,1,24.0,0.2456899739629281,5,160.0,0.196319166523532,1,2.0,0.0002312247626303
168.0,18,146.0,1.697674418604651,6.857024939420423,86,989.0,11.5,52.0,0.6046511627906976,12,468.0,238.0,5.619983846908255,10.4,10.4,45,1,16.0,0.4910305433684929,1,24.0,0.4996449443995641,0,7.0,0.8898350080414017,0,0.0,0.3099232577701498,3,201.0,0.5784988694932457,7,220.0,0.1928652306868397,0,0.0,1.0
176.0,11,148.0,1.85,6.726232127357579,80,955.0,11.9375,0.0,0.0,11,523.0,55.0,4.092439670353716,12.452380952380953,12.452380952380953,42,0,0.0,0.5777072995320498,1,30.0,0.1546319134859201,0,0.0,0.9708323520245968,0,3.0,0.6675262741310277,1,226.0,0.4310527942751999,9,264.0,0.1764555354441612,0,0.0,0.1510742233355023
184.0,17,71.0,0.9466666666666668,6.448116757755598,75,1003.0,13.373333333333331,48.0,0.64,17,435.0,0.0,2.557303992701528,10.875,10.875,40,2,9.0,0.0001659678826685,1,15.0,0.4131272089319576,2,4.0,0.0002660110782608,0,0.0,0.9688898269437364,2,112.0,0.2763434886282877,10,295.0,0.091256381987162,0,0.0,0.1947458595633217
192.0,15,60.0,0.8333333333333334,6.9781253356978015,72,987.0,13.708333333333334,0.0,0.0,14,443.0,8.0,3.211407107378199,13.029411764705882,13.029411764705882,34,1,11.0,0.0,2,25.0,0.4817275121548152,0,3.0,0.9910377137086176,0,3.0,0.1381219237269675,2,84.0,0.4204992658057365,8,309.0,0.0871874323980041,1,8.0,0.0
200.0,17,97.0,1.3661971830985915,6.258042006272496,71,984.0,13.859154929577464,0.0,0.0,15,401.0,0.0,3.444531445522208,11.13888888888889,11.13888888888889,36,0,0.0,1.0,2,39.0,0.2754256550550532,2,16.0,0.640097018752406,2,13.0,0.1150136536617045,0,17.0,0.4181100986624574,9,316.0,0.0688966747773987,0,0.0,0.6532878381801551
208.0,11,83.0,1.2028985507246377,7.145148754178939,69,874.0,12.666666666666666,0.0,0.0,8,316.0,0.0,3.890998348002341,10.533333333333331,10.533333333333331,30,2,3.0,0.0712269564476506,0,6.0,0.9367789381271252,1,18.0,0.6058135842157245,0,0.0,1.0,0,1.0,0.3880611876537422,4,282.0,0.0714150853690094,1,6.0,0.0
216.0,16,169.0,2.6,7.395374440527079,65,816.0,12.553846153846154,0.0,0.0,14,351.0,35.0,3.903409059482073,11.7,11.7,30,4,31.0,3.2047059356355985e-05,3,12.0,0.4651056411823719,1,33.0,0.4948450598124075,2,5.0,0.0015171539786197,0,0.0,0.9483939934551672,4,270.0,0.1964353879709073,0,0.0,1.0
224.0,9,80.0,1.3333333333333333,7.151090105807897,60,729.0,12.15,0.0,0.0,7,238.0,0.0,5.299854915907246,9.153846153846152,9.153846153846152,26,0,0.0,1.0,1,5.0,0.7347472614761751,3,53.0,0.2647426755942632,0,0.0,1.0,0,3.0,0.7472647422001774,3,177.0,0.3059514384041859,0,0.0,1.0
232.0,13,42.0,0.6666666666666666,7.44519757321083,63,779.0,12.365079365079366,50.0,0.7936507936507936,13,265.0,27.0,3.2883808391309404,8.833333333333334,8.833333333333334,30,0,0.0,1.0,1,14.0,0.3417673254154161,3,63.0,0.0361135377239746,0,3.0,0.0726856114845469,0,7.0,0.6418025248536846,9,178.0,0.1761319607646648,0,0.0,1.0
240.0,10,34.0,0.5573770491803278,6.357036679828809,61,784.0,12.852459016393444,5.0,0.081967213114754,8,166.0,0.0,3.35150533695109,6.148148148148148,6.148148148148148,27,2,9.0,0.0122072210592813,0,0.0,1.0,1,27.0,0.3645045396287651,0,0.0,0.7246979036365546,0,3.0,0.4667358921188693,5,127.0,0.1470670245536498,0,0.0,1.0
248.0,19,84.0,1.3770491803278688,6.190681653155289,61,796.0,13.049180327868852,12.0,0.1967213114754098,16,183.0,17.0,3.1910693224448656,5.903225806451613,5.903225806451613,31,4,36.0,4.947701434662743e-05,0,3.0,0.650633547479043,1,6.0,7.906204657239882e-05,2,8.0,5.684081710165054e-05,2,14.0,0.4412544337240341,7,106.0,0.0853834225268984,0,10.0,0.8981874031562801
256.0,10,90.0,1.5254237288135593,7.326436852574532,59,781.0,13.23728813559322,0.0,0.0,8,151.0,0.0,4.766907498929183,6.291666666666667,6.291666666666667,24,0,10.0,0.6117240977630841,1,10.0,0.4500309212900437,0,0.0,1.0,1,13.0,0.0,0,4.0,0.2062565149525162,5,102.0,0.2822653132132698,1,12.0,0.4020505842575783
264.0,8,54.0,0.8852459016393442,7.9410164209088,61,758.0,12.42622950819672,0.0,0.0,8,141.0,0.0,5.150912889597337,5.423076923076923,5.423076923076923,26,2,9.0,0.3100314490726258,1,25.0,0.622466989741222,0,0.0,0.9343986570973892,1,21.0,0.0,1,8.0,0.3672996992794626,3,78.0,0.2208482620087115,0,0.0,1.0
272.0,12,92.0,1.6428571428571428,6.635414613118028,56,537.0,9.589285714285714,0.0,0.0,12,181.0,40.0,2.628511787257543,6.464285714285714,6.464285714285714,28,1,5.0,0.1636989255881413,1,23.0,0.2239666853263001,1,4.0,0.4936278976405748,2,35.0,2.9471283233649207e-05,1,20.0,0.6402512165612947,6,94.0,0.0371092921125462,0,0.0,0.8281666875078333
280.0,10,55.0,1.1,6.168442806991602,50,483.0,9.66,0.0,0.0,9,124.0,0.0,2.520755495449486,5.166666666666667,5.166666666666667,24,3,25.0,0.1606411704926935,2,7.0,0.2915526034803362,1,4.0,0.0,0,0.0,1.0,0,3.0,0.5504660516811659,3,85.0,0.1058377363174159,0,0.0,1.0
288.0,10,58.0,1.1153846153846154,7.369090520098672,52,543.0,10.442307692307692,60.0,1.1538461538461535,9,134.0,10.0,4.106418430273345,6.380952380952381,6.380952380952381,21,2,16.0,0.0,3,27.0,0.0006361336876946,1,12.0,0.0452234995659455,0,0.0,1.0,0,8.0,0.8384901125530188,3,71.0,0.252916764719854,0,0.0,1.0
296.0,7,42.0,0.75,7.596983771443449,56,542.0,9.678571428571429,0.0,0.0,5,97.0,0.0,5.684027136661984,4.409090909090909,4.409090909090909,22,2,32.0,0.4511099147902315,0,1.0,0.3023746746409171,0,2.0,0.0462165595444022,0,0.0,0.7766388030759759,0,5.0,0.6722134084106792,3,54.0,0.168311760186489,0,3.0,0.8630595928410285
304.0,17,100.0,1.7857142857142858,7.545592058698033,56,546.0,9.75,4.0,0.0714285714285714,15,140.0,43.0,3.4726643395140964,6.086956521739131,6.086956521739131,23,1,1.0,0.3522213427086985,3,18.0,0.2393689508559113,2,16.0,0.0,2,10.0,0.0145187397664176,1,15.0,0.7097925603668837,6,80.0,0.0007348385913661,0,0.0,1.0
312.0,12,133.0,2.770833333333333,7.389577193685402,48,508.0,10.583333333333334,0.0,0.0,11,195.0,55.0,5.019489795363822,7.8,7.8,25,3,17.0,0.3860889395734678,3,42.0,0.0,2,49.0,0.5911250284001014,1,10.0,0.0,1,16.0,0.4635417951425194,1,61.0,0.1723804325292462,0,0.0,1.0
320.0,8,47.0,0.9591836734693876,7.494012770276595,49,516.0,10.53061224489796,8.0,0.1632653061224489,8,93.0,0.0,3.1081098060247148,4.894736842105263,4.894736842105263,19,1,8.0,0.2669040857075546,1,3.0,0.0254828374640805,2,53.0,0.0256488595130092,0,0.0,1.0,3,13.0,0.1707543103002866,1,16.0,0.4434409413613149,0,0.0,0.6216587267426043
328.0,8,31.0,0.6888888888888889,8.186966483849588,45,408.0,9.066666666666666,0.0,0.0,5,37.0,0.0,4.428587683143756,3.083333333333333,3.083333333333333,12,1,9.0,0.2603423651324278,0,0.0,1.0,0,0.0,0.9191703155902092,1,6.0,0.0607218270462524,0,1.0,0.3128220081349109,2,18.0,0.2394317943606682,1,3.0,8.080581970883073e-05
336.0,5,54.0,1.2857142857142858,8.976396291316332,42,327.0,7.785714285714286,0.0,0.0,4,76.0,39.0,7.585777595729005,5.428571428571429,5.428571428571429,14,1,7.0,0.1166875711830965,0,4.0,0.6570513622405624,0,13.0,0.7352483746884443,0,0.0,1.0,0,0.0,1.0,2,41.0,0.5901286069727192,1,11.0,0.0
344.0,6,19.0,0.4130434782608695,8.014874037143679,46,317.0,6.891304347826087,0.0,0.0,6,34.0,0.0,4.39171539077736,2.2666666666666666,2.2666666666666666,15,0,3.0,0.9002251561198319,1,1.0,0.3085310329212902,2,14.0,0.0431351728723357,1,4.0,3.282259036998073e-05,0,3.0,0.6434343105176357,2,9.0,0.2796505672413026,0,0.0,1.0
352.0,7,49.0,1.065217391304348,8.034086117433306,46,268.0,5.826086956521739,0.0,0.0,7,63.0,29.0,5.3875678739560895,3.3157894736842106,3.3157894736842106,19,2,10.0,0.3414750608667352,0,2.0,0.2122296763169254,0,0.0,1.0,1,12.0,0.270889545813809,0,3.0,0.8784696345271706,4,33.0,0.1025713671253543,0,3.0,0.9853821886670578
360.0,13,129.0,2.58,7.551578487676645,50,332.0,6.64,64.0,1.28,13,149.0,86.0,4.470466502129632,6.208333333333333,6.208333333333333,24,4,31.0,0.2249814616198242,2,25.0,0.1569350592580827,1,3.0,0.4985409575418856,2,25.0,0.0,0,0.0,0.849497877348559,4,65.0,0.0,0,0.0,1.0
368.0,3,16.0,0.32,7.715296457317362,50,351.0,7.02,19.0,0.38,3,47.0,0.0,5.365544338588042,2.611111111111111,2.611111111111111,18,0,27.0,0.1030923542028276,0,4.0,0.7581526062784181,1,9.0,0.0,0,0.0,0.9525868591237042,2,7.0,0.2793407881048896,0,0.0,0.7285302694480356,0,0.0,1.0
376.0,10,44.0,0.9166666666666666,7.12601017331841,48,369.0,7.6875,18.0,0.375,8,92.0,45.0,5.125544145477212,4.0,4.0,23,5,57.0,4.3697621648579366e-05,2,7.0,0.0023956723160559,0,0.0,1.0,1,7.0,0.0184915332383825,0,4.0,0.5130915995059525,0,3.0,0.5326598536195781,0,14.0,0.799197920770666
384.0,12,108.0,2.0,7.128953719306586,54,411.0,7.611111111111111,42.0,0.7777777777777778,9,137.0,45.0,6.952348477893572,5.269230769230769,5.269230769230769,26,5,97.0,0.0,1,18.0,0.292753438474958,0,3.0,0.89485196868497,0,0.0,1.0,3,14.0,0.4284307766446802,0,5.0,0.7801134698640252,0,0.0,1.0
392.0,6,24.0,0.4285714285714285,6.981946629105378,56,347.0,6.196428571428571,0.0,0.0,4,99.0,0.0,5.829402211274948,3.413793103448276,3.413793103448276,29,1,62.0,0.0997564905828211,0,0.0,1.0,0,3.0,0.7177410802290609,0,0.0,0.6629569959124391,1,29.0,0.3497962001128756,2,5.0,0.3797633789145865,0,0.0,1.0
400.0,8,26.0,0.4406779661016949,7.229875168333242,59,365.0,6.186440677966102,18.0,0.3050847457627119,8,51.0,0.0,3.860113726890992,2.217391304347826,2.217391304347826,23,0,0.0,0.0380348575036331,0,0.0,0.9919149399189354,0,0.0,0.5315455976612894,1,4.0,0.0025756649871541,4,35.0,0.2172999722947327,3,12.0,0.134706324701086,0,0.0,1.0
408.0,15,66.0,1.2692307692307692,7.0114055951296494,52,402.0,7.730769230769231,37.0,0.7115384615384616,13,130.0,79.0,4.76926914847287,4.0625,4.0625,32,1,3.0,0.6232366650371127,1,4.0,0.1633727263042221,1,4.0,0.7238296527497224,1,22.0,0.473532633437832,6,67.0,0.1504473637862573,3,21.0,0.0688776321421309,0,9.0,0.8098417370431773
416.0,9,55.0,1.0576923076923077,7.781969408950082,52,473.0,9.096153846153848,71.0,1.3653846153846154,7,100.0,0.0,4.571716624344713,5.882352941176471,5.882352941176471,17,2,6.0,9.382955748388252e-05,0,0.0,0.4488411734343465,2,13.0,0.3171072484794926,0,0.0,1.0,2,67.0,0.3625665304403849,1,11.0,0.0,0,3.0,0.6639437399738131
424.0,14,93.0,1.8979591836734693,7.091598591084025,49,437.0,8.918367346938776,0.0,0.0,11,144.0,44.0,3.52460192251946,7.578947368421052,7.578947368421052,19,2,22.0,0.0,0,0.0,1.0,2,31.0,0.3247253588565531,1,3.0,0.1148486878972319,5,56.0,0.230697704324706,1,28.0,0.3710892002212,0,4.0,0.9078346439692844
