step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,system_cars_present,system_accumulated_waiting_time (100),system_accumulated_mean_waiting_time (100),system_accumulated_waiting_time (delta),system_accumulated_mean_waiting_time (delta),agents_total_stopped,agents_total_accumulated_waiting_time (100),agents_total_accumulated_waiting_time (delta),agents_mean_speed,agents_mean_waiting_time (100),agents_mean_waiting_time (delta),agents_cars_present,Ing7_1_stopped,Ing7_1_accumulated_waiting_time,Ing7_1_average_speed,Ing7_2_stopped,Ing7_2_accumulated_waiting_time,Ing7_2_average_speed,Ing7_3_stopped,Ing7_3_accumulated_waiting_time,Ing7_3_average_speed,Ing7_4_stopped,Ing7_4_accumulated_waiting_time,Ing7_4_average_speed,Ing7_5_stopped,Ing7_5_accumulated_waiting_time,Ing7_5_average_speed,Ing7_6_stopped,Ing7_6_accumulated_waiting_time,Ing7_6_average_speed,Ing7_7_stopped,Ing7_7_accumulated_waiting_time,Ing7_7_average_speed
8.0,0,0.0,0.0,7.790490076702793,6,0.0,0.0,0.0,0.0,0,0.0,0.0,2.577262651920319,0.0,0.0,1,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.1830945994601297,0,0.0,1.0
16.0,3,1.0,0.0666666666666666,6.290668474552773,15,1.0,0.0666666666666666,1.0,0.0666666666666666,1,1.0,1.0,7.4485840357715745,0.3333333333333333,0.3333333333333333,3,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,1,1.0,0.5500632846568814,0,0.0,1.0
24.0,3,9.0,0.391304347826087,8.529180814252044,23,9.0,0.391304347826087,8.0,0.3478260869565217,1,9.0,8.0,9.165499929904865,1.8,1.8,5,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9409736488001648,1,9.0,0.5762632487981016,0,0.0,1.0
32.0,2,20.0,0.625,8.727616902593608,32,20.0,0.625,11.0,0.34375,1,17.0,8.0,8.692544276751672,1.7,1.7,10,0,0.0,1.0,0,0.0,0.9491898357214948,0,0.0,0.0105482263288861,0,0.0,1.0,0,0.0,0.908393652445966,1,17.0,0.5375234949992338,0,0.0,1.0
40.0,8,54.0,1.255813953488372,7.533867012791674,43,55.0,1.2790697674418603,35.0,0.813953488372093,4,37.0,20.0,8.327911710383466,1.761904761904762,1.761904761904762,21,0,0.0,0.8991646206490213,0,0.0,0.6200134732024054,1,8.0,0.0,0,0.0,0.9496694712633502,1,3.0,0.556096957191742,2,26.0,0.5031330907854924,0,0.0,0.7837615361430152
48.0,11,28.0,0.5490196078431373,6.9472902156406,51,120.0,2.3529411764705883,65.0,1.2745098039215683,7,34.0,0.0,5.3203901402618206,1.7894736842105263,1.7894736842105263,19,0,0.0,1.0,3,19.0,0.0,0,0.0,1.0,2,3.0,0.4070827830201137,0,3.0,0.7875493913720447,1,6.0,0.3942519074692817,1,3.0,5.870237965729095e-05
56.0,13,69.0,1.4081632653061225,5.761861771786263,49,191.0,3.8979591836734695,71.0,1.4489795918367347,10,80.0,46.0,5.414540625346354,2.6666666666666665,2.6666666666666665,30,1,1.0,0.2968707537868801,0,0.0,1.0,0,0.0,1.0,7,38.0,0.1028932632811503,0,7.0,0.7288329937572402,2,34.0,0.5096045435243837,0,0.0,1.0
64.0,15,90.0,1.5254237288135593,6.011093575409772,59,299.0,5.067796610169491,108.0,1.8305084745762712,7,69.0,0.0,4.427078742481259,3.45,3.45,20,3,18.0,8.388321449193235e-05,0,11.0,0.93934682626864,0,0.0,1.0,2,28.0,0.1715732663785804,0,2.0,0.8944920833628097,1,10.0,0.2072027783329683,1,0.0,0.0
72.0,23,186.0,2.952380952380953,5.705169600662628,63,420.0,6.666666666666667,121.0,1.9206349206349207,10,96.0,27.0,5.459338123050335,3.692307692307693,3.692307692307693,26,0,0.0,1.0,0,0.0,1.0,1,9.0,0.6100349065588234,5,53.0,0.0595903432702769,1,19.0,0.7302066711367545,3,15.0,0.0612138976284927,0,0.0,0.817477449760545
80.0,16,146.0,2.28125,6.441772909003336,64,528.0,8.25,108.0,1.6875,11,133.0,37.0,3.888319545462598,6.045454545454546,6.045454545454546,22,0,0.0,0.5509224429217363,0,0.0,1.0,1,10.0,0.0,3,57.0,0.0,0,3.0,0.293750389748375,6,58.0,0.3048286047390192,1,5.0,0.4703741954319932
88.0,14,78.0,1.181818181818182,5.87234243112461,66,618.0,9.363636363636363,90.0,1.3636363636363635,7,180.0,47.0,4.765482024478637,7.5,7.5,24,2,8.0,0.0002312686823563,0,0.0,0.9785384805137766,1,18.0,0.4903380989005861,0,3.0,0.6534037848566857,0,0.0,0.6728667584535653,4,151.0,0.2851261571761816,0,0.0,1.0
96.0,10,66.0,1.015384615384615,6.119770424344996,65,704.0,10.830769230769231,86.0,1.323076923076923,3,93.0,0.0,4.553904819676586,4.043478260869565,4.043478260869565,23,0,0.0,1.0,1,3.0,0.0001884008588397,0,4.0,0.5193542568021763,1,9.0,0.0235265838686148,0,1.0,0.6653997565549397,1,73.0,0.3181458508769939,0,3.0,0.912282817582712
104.0,18,89.0,1.435483870967742,5.581633303302652,62,675.0,10.887096774193548,0.0,0.0,7,99.0,6.0,4.909389397053466,4.125,4.125,24,0,0.0,1.0,1,11.0,0.4772602826389337,1,5.0,9.740934394240608e-06,2,6.0,0.000201120315589,0,5.0,0.9734954618173022,3,69.0,0.1861098603735996,0,3.0,0.6492324748640923
112.0,18,70.0,1.09375,5.213698058407917,64,778.0,12.15625,103.0,1.609375,14,168.0,69.0,2.97914770751267,6.0,6.0,28,0,0.0,1.0,1,8.0,0.6061392884511365,0,0.0,1.0,2,22.0,0.0,3,39.0,0.4078176998265153,6,86.0,0.0880457512912616,2,13.0,7.257029931933195e-05
120.0,9,40.0,0.5970149253731343,5.729944035057651,67,733.0,10.940298507462687,0.0,0.0,6,186.0,18.0,3.71499477089456,6.888888888888889,6.888888888888889,27,0,0.0,0.5174473493879062,2,23.0,0.4507015742217403,1,10.0,0.4691214439969564,0,0.0,1.0,0,33.0,0.3586457512075059,3,116.0,0.131373790111168,0,4.0,0.5976595719327195
128.0,6,13.0,0.1884057971014492,6.69091806578163,69,642.0,9.304347826086955,0.0,0.0,5,121.0,0.0,5.16965825711619,4.481481481481482,4.481481481481482,27,2,10.0,0.0005243563492593,0,10.0,0.6969169459198624,0,0.0,0.7966925176967093,1,2.0,0.1507841439930243,2,10.0,0.3014152083765641,0,89.0,0.3978079775921583,0,0.0,1.0
136.0,11,42.0,0.5915492957746479,6.8189037731884445,71,637.0,8.971830985915492,0.0,0.0,10,181.0,60.0,3.426956850571432,6.241379310344827,6.241379310344827,29,2,14.0,0.0007657488091049,2,7.0,0.0109577327483968,0,0.0,0.4490265645586598,0,0.0,0.3994117454510184,0,6.0,0.7057600043529708,6,154.0,0.1632262930095551,0,0.0,1.0
144.0,17,48.0,0.6486486486486487,5.890829359173996,74,537.0,7.256756756756757,0.0,0.0,10,137.0,0.0,4.1410057942022265,4.566666666666666,4.566666666666666,30,3,15.0,0.0993856378638896,0,14.0,0.5712847801872446,1,6.0,0.0,0,0.0,1.0,1,10.0,0.5951369436127413,5,92.0,0.25301093609576,0,0.0,1.0
152.0,15,98.0,1.2564102564102564,7.25038451245031,78,592.0,7.589743589743589,55.0,0.7051282051282052,12,156.0,19.0,4.292443848604188,4.588235294117647,4.588235294117647,34,1,5.0,0.2198906885534223,1,10.0,0.3784747238241543,0,0.0,1.0,1,1.0,0.0025327063130248,1,39.0,0.6142393653314032,8,101.0,0.158351200126695,0,0.0,0.4888977000058566
160.0,14,56.0,0.6363636363636364,7.090739636145147,88,643.0,7.306818181818182,51.0,0.5795454545454546,12,196.0,40.0,4.197680050797877,5.297297297297297,5.297297297297297,37,1,9.0,0.0,0,1.0,0.1806781269919266,1,2.0,0.6299945547001513,0,3.0,0.4347463242236832,1,36.0,0.5350709924064971,8,143.0,0.1447629877718432,1,2.0,0.0002282134981433
168.0,14,92.0,1.069767441860465,6.3972188963425305,86,656.0,7.627906976744186,13.0,0.1511627906976744,13,255.0,59.0,3.3071384403658324,5.543478260869565,5.543478260869565,46,1,17.0,0.6210001695487205,0,14.0,0.6580947070139229,2,8.0,0.3641122267515426,1,3.0,0.1269111266426238,2,32.0,0.3312809630668666,6,171.0,0.0447655845926495,1,10.0,0.0
176.0,14,127.0,1.6075949367088609,6.675290056684888,79,628.0,7.949367088607595,0.0,0.0,13,263.0,8.0,2.6293733793779768,7.305555555555555,7.305555555555555,36,0,0.0,0.5602080038655914,2,7.0,0.0036563613166468,0,2.0,0.3942394418198744,4,24.0,0.1927544295860908,1,33.0,0.2712814655814034,5,179.0,0.1220484306935529,1,18.0,0.0581420505563333
184.0,10,58.0,0.8656716417910447,7.379861009144546,67,608.0,9.07462686567164,0.0,0.0,10,181.0,0.0,3.580146293874245,6.961538461538462,6.961538461538462,26,1,3.0,2.365842885576785e-05,1,1.0,0.0177406497235799,1,10.0,0.6397996945528945,0,0.0,1.0,1,41.0,0.5665278142483263,6,126.0,0.1896298988368879,0,0.0,1.0
192.0,13,116.0,1.870967741935484,7.5379317078307615,62,585.0,9.435483870967742,0.0,0.0,13,258.0,77.0,4.738594182356988,7.371428571428571,7.371428571428571,35,3,14.0,0.0027090210750417,3,28.0,0.55590991833286,2,21.0,0.509911487349615,0,0.0,1.0,1,49.0,0.6893085786559621,4,146.0,0.085087546782702,0,0.0,0.9220342528068552
200.0,7,75.0,1.271186440677966,7.010998539634644,59,525.0,8.898305084745763,0.0,0.0,6,173.0,0.0,3.381521865307073,7.208333333333333,7.208333333333333,24,1,14.0,0.2532672881092944,0,0.0,0.406263733715727,0,3.0,0.6708676327542017,0,0.0,0.2226784892295977,2,12.0,0.0323252132913281,3,144.0,0.1803641258177906,0,0.0,1.0
208.0,12,116.0,1.9661016949152543,8.252842471242989,59,523.0,8.864406779661017,0.0,0.0,10,187.0,14.0,4.006251495069008,10.38888888888889,10.38888888888889,18,0,0.0,0.9560944710162672,0,0.0,1.0,3,13.0,0.2356513642432735,2,18.0,0.0024982597161091,0,3.0,0.3191448877147864,5,153.0,0.3559422629323938,0,0.0,1.0
216.0,8,31.0,0.5535714285714286,7.902933434754398,56,535.0,9.553571428571429,12.0,0.2142857142857142,7,117.0,0.0,5.14789275480823,4.333333333333333,4.333333333333333,27,1,1.0,0.0020758697274778,0,9.0,0.5362498060472519,1,18.0,0.5486950860350506,1,2.0,0.0079680859669304,0,3.0,0.6638975671085334,4,84.0,0.1957912968128006,0,0.0,1.0
224.0,12,78.0,1.368421052631579,7.838870461609808,57,530.0,9.298245614035087,0.0,0.0,10,137.0,20.0,5.18251267530316,5.48,5.48,25,1,9.0,0.0,2,11.0,0.5413154472680692,2,24.0,0.4691202363952672,2,19.0,0.293450175738942,1,12.0,0.503810402054667,2,62.0,0.1677199875161964,0,0.0,0.963882683373855
232.0,7,65.0,1.2264150943396226,8.5755737379353,53,543.0,10.245283018867925,13.0,0.2452830188679245,7,109.0,0.0,6.364299762792142,4.954545454545454,4.954545454545454,22,0,0.0,0.9351552706578244,3,28.0,0.3576244944806541,1,39.0,0.0442760536034408,2,14.0,0.3322064576387961,0,8.0,0.6371517775106262,1,20.0,0.4905636415194842,0,0.0,1.0
240.0,12,75.0,1.4423076923076923,8.457319955918807,52,525.0,10.096153846153848,0.0,0.0,11,117.0,8.0,6.446678708624836,4.68,4.68,25,1,2.0,0.0015592907830311,3,53.0,0.2452005354829206,1,33.0,0.6623440370777153,1,2.0,0.0010004556107778,2,12.0,0.378509289669223,3,13.0,0.5405141010980571,0,2.0,0.9416283908429562
248.0,10,70.0,1.2727272727272727,7.415321100248719,55,547.0,9.945454545454544,22.0,0.4,9,121.0,4.0,1.955289602333241,6.368421052631579,6.368421052631579,19,0,0.0,1.0,1,17.0,0.0703470072719785,3,48.0,1.81379643807545e-05,1,10.0,0.0,0,7.0,0.2116481950318449,4,39.0,0.1365374316830561,0,0.0,0.9039266105094708
256.0,11,107.0,2.2291666666666665,7.684861458485173,48,535.0,11.145833333333334,0.0,0.0,11,192.0,71.0,4.836577200356751,8.0,8.0,24,0,0.0,0.7764799406162548,4,36.0,0.3263627397074667,3,72.0,0.0,1,18.0,0.0,3,27.0,0.1428132617572937,0,39.0,0.5459456156232857,0,0.0,0.4497381164685423
264.0,5,15.0,0.2727272727272727,7.716972286044068,55,577.0,10.49090909090909,42.0,0.7636363636363637,5,57.0,0.0,5.577975222992092,3.3529411764705883,3.3529411764705883,17,0,0.0,0.385081218391909,0,0.0,1.0,0,0.0,0.678964056539826,2,4.0,0.0004453026983194,0,7.0,0.7825706110707924,3,46.0,0.1614862840836153,0,0.0,0.9450035765117496
272.0,8,46.0,0.8846153846153846,8.578653966696901,52,533.0,10.25,0.0,0.0,6,70.0,13.0,5.050775104498696,4.117647058823529,4.117647058823529,17,3,17.0,0.2704854581831776,0,0.0,0.6882163123080174,0,0.0,1.0,2,20.0,0.0,1,7.0,0.3319664456251888,0,26.0,0.4855981836077104,0,0.0,0.4877867278293638
