step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,system_cars_present,system_accumulated_waiting_time (100),system_accumulated_mean_waiting_time (100),system_accumulated_waiting_time (delta),system_accumulated_mean_waiting_time (delta),agents_total_stopped,agents_total_accumulated_waiting_time (100),agents_total_accumulated_waiting_time (delta),agents_mean_speed,agents_mean_waiting_time (100),agents_mean_waiting_time (delta),agents_cars_present,Ing7_1_stopped,Ing7_1_accumulated_waiting_time,Ing7_1_average_speed,Ing7_2_stopped,Ing7_2_accumulated_waiting_time,Ing7_2_average_speed,Ing7_3_stopped,Ing7_3_accumulated_waiting_time,Ing7_3_average_speed,Ing7_4_stopped,Ing7_4_accumulated_waiting_time,Ing7_4_average_speed,Ing7_5_stopped,Ing7_5_accumulated_waiting_time,Ing7_5_average_speed,Ing7_6_stopped,Ing7_6_accumulated_waiting_time,Ing7_6_average_speed,Ing7_7_stopped,Ing7_7_accumulated_waiting_time,Ing7_7_average_speed
8.0,0,0.0,0.0,7.790490076702793,6,0.0,0.0,0.0,0.0,0,0.0,0.0,2.577262651920319,0.0,0.0,1,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.1830945994601297,0,0.0,1.0
16.0,2,0.0,0.0,6.892288138598135,15,0.0,0.0,0.0,0.0,0,0.0,0.0,10.456682355998383,0.0,0.0,3,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.6432496943295225,0,0.0,0.8240232973990487,0,0.0,1.0
24.0,5,11.0,0.4782608695652174,5.782851802988915,23,11.0,0.4782608695652174,11.0,0.4782608695652174,2,7.0,7.0,5.885600628039543,1.0,1.0,7,0,0.0,1.0,0,0.0,1.0,1,4.0,6.994735379561483e-05,0,0.0,1.0,0,0.0,0.9841161778534026,1,3.0,0.3726725078667912,0,0.0,1.0
32.0,1,0.0,0.0,7.957795960777525,32,32.0,1.0,21.0,0.65625,1,6.0,0.0,9.038571474407348,0.75,0.75,8,0,0.0,1.0,0,0.0,0.9491898357214948,0,0.0,0.3598819012797855,0,0.0,1.0,0,3.0,0.8487339517248569,1,3.0,0.6061491926530354,0,0.0,1.0
40.0,7,19.0,0.4418604651162791,8.239971472832428,43,52.0,1.2093023255813953,20.0,0.4651162790697674,3,30.0,24.0,7.984767659666458,1.4285714285714286,1.4285714285714286,21,0,0.0,1.0,1,1.0,0.3374471494812057,1,6.0,0.0,0,0.0,0.9704355119157524,0,6.0,0.8614340332342443,1,17.0,0.5363701577043503,0,0.0,0.7935317042327252
48.0,19,101.0,2.1041666666666665,5.045068015897503,48,137.0,2.8541666666666665,85.0,1.7708333333333333,15,107.0,77.0,3.4627523496664265,3.689655172413793,3.689655172413793,29,0,0.0,1.0,1,13.0,0.636496176647286,1,14.0,0.0,3,8.0,0.18378354149591,1,8.0,0.3190597675677042,8,61.0,0.2396212453671863,1,3.0,3.128689360050338e-05
56.0,3,30.0,0.6122448979591837,7.542254381250866,49,223.0,4.551020408163265,86.0,1.7551020408163265,3,51.0,0.0,6.1453998711302456,3.4,3.4,15,0,0.0,0.8036499142921719,0,0.0,1.0,0,0.0,0.9541435319343275,0,4.0,0.3039241924454302,0,0.0,1.0,3,47.0,0.3717888572289236,0,0.0,1.0
64.0,10,33.0,0.5892857142857143,7.60338474718636,56,265.0,4.732142857142857,42.0,0.75,6,78.0,27.0,6.878054540906358,3.25,3.25,24,0,0.0,0.4201304819467342,0,0.0,1.0,0,0.0,0.944160121571637,2,11.0,0.0019051792564561,0,17.0,0.8824729976974964,3,50.0,0.2719513722448383,1,0.0,0.3821563626129751
72.0,19,136.0,2.2666666666666666,6.391820209894832,60,366.0,6.1,101.0,1.6833333333333331,9,139.0,61.0,5.93275381851575,5.56,5.56,25,2,11.0,0.0169169354020503,0,19.0,0.9477726197500153,0,0.0,1.0,0,0.0,0.9204738709343608,0,7.0,0.6801836248955926,7,102.0,0.1742636673887918,0,0.0,0.7146757424806472
80.0,10,28.0,0.4242424242424242,7.014367414155311,66,467.0,7.075757575757576,101.0,1.5303030303030305,6,83.0,0.0,5.764572262663736,3.772727272727273,3.772727272727273,22,0,0.0,0.9253241827743762,0,0.0,1.0,0,0.0,0.9255554104055224,2,6.0,0.0683119544871281,2,16.0,0.202742585362792,1,56.0,0.5287710009999564,1,5.0,0.4936135834746946
88.0,11,72.0,1.1076923076923078,7.059655846489743,65,489.0,7.523076923076923,22.0,0.3384615384615385,5,110.0,27.0,7.38644269077254,3.928571428571429,3.928571428571429,28,0,0.0,0.6352040096712755,0,0.0,0.9545704192210264,0,0.0,0.3524530421887625,0,0.0,0.1352043228153503,3,50.0,0.5236587005991216,2,57.0,0.5138383295161162,0,3.0,0.969502863421372
96.0,17,97.0,1.4696969696969695,5.837194544263775,66,614.0,9.303030303030305,125.0,1.893939393939394,13,155.0,45.0,2.613603041635066,5.7407407407407405,5.7407407407407405,27,0,0.0,1.0,1,2.0,0.4715285033195189,0,0.0,0.3009628219138636,0,0.0,1.0,7,89.0,0.200596650289229,5,64.0,0.0350643486800384,0,0.0,1.0
104.0,15,159.0,2.7413793103448274,6.60323052303556,58,650.0,11.20689655172414,36.0,0.6206896551724138,14,241.0,86.0,2.017274231301526,10.954545454545457,10.954545454545457,22,0,0.0,1.0,0,3.0,0.955044920559572,0,3.0,0.6249820308732829,0,0.0,1.0,13,172.0,0.0586478483074222,1,63.0,0.1764723062553489,0,0.0,1.0
112.0,9,47.0,0.7704918032786885,7.318897487808477,61,718.0,11.770491803278688,68.0,1.1147540983606556,4,172.0,0.0,6.693796888794731,6.37037037037037,6.37037037037037,27,0,0.0,0.9237999790685388,0,2.0,0.9294579626008012,0,0.0,0.11937752541353,0,0.0,1.0,2,132.0,0.3470856350544378,2,38.0,0.3907527568719081,0,0.0,1.0
120.0,12,100.0,1.5873015873015872,6.188804069008763,63,741.0,11.761904761904765,23.0,0.365079365079365,6,182.0,10.0,5.237716256358157,5.870967741935484,5.870967741935484,31,0,0.0,0.33270978322151,0,0.0,1.0,0,0.0,0.8448576887902285,1,7.0,0.2710162880012507,3,122.0,0.2658379749642451,2,53.0,0.579329106686487,0,0.0,1.0
128.0,21,118.0,1.6164383561643836,5.015077103554899,73,879.0,12.04109589041096,138.0,1.8904109589041096,19,279.0,97.0,2.561038876609873,6.2,6.2,45,1,7.0,0.0333087018242948,0,1.0,0.972053342547085,0,0.0,0.954748457013486,4,26.0,0.0911021613565247,10,201.0,0.0738355379665241,4,44.0,0.2695895211313006,0,0.0,1.0
136.0,27,143.0,1.9589041095890407,3.685728104287012,73,987.0,13.52054794520548,108.0,1.4794520547945205,27,369.0,90.0,1.0654736852163242,7.235294117647059,7.235294117647059,51,6,33.0,0.0028136607798649,2,10.0,0.2524399382559449,0,0.0,0.3900956217316047,5,34.0,0.0647637576722975,7,211.0,0.0904959788036904,7,81.0,0.0323099147387439,0,0.0,1.0
144.0,35,271.0,3.304878048780488,4.11623545280876,82,1129.0,13.768292682926829,142.0,1.7317073170731707,30,493.0,124.0,1.4895660249708491,10.06122448979592,10.06122448979592,49,2,32.0,0.3320582326337789,3,32.0,0.0,1,5.0,5.12559300506554e-05,8,94.0,2.7231723300153184e-06,8,228.0,0.0716813050904013,8,102.0,0.1835540920275117,0,0.0,1.0
