step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,system_cars_present,system_accumulated_waiting_time (100),system_accumulated_mean_waiting_time (100),system_accumulated_waiting_time (delta),system_accumulated_mean_waiting_time (delta),agents_total_stopped,agents_total_accumulated_waiting_time (100),agents_total_accumulated_waiting_time (delta),agents_mean_speed,agents_mean_waiting_time (100),agents_mean_waiting_time (delta),agents_cars_present,Ing7_1_stopped,Ing7_1_accumulated_waiting_time,Ing7_1_average_speed,Ing7_2_stopped,Ing7_2_accumulated_waiting_time,Ing7_2_average_speed,Ing7_3_stopped,Ing7_3_accumulated_waiting_time,Ing7_3_average_speed,Ing7_4_stopped,Ing7_4_accumulated_waiting_time,Ing7_4_average_speed,Ing7_5_stopped,Ing7_5_accumulated_waiting_time,Ing7_5_average_speed,Ing7_6_stopped,Ing7_6_accumulated_waiting_time,Ing7_6_average_speed,Ing7_7_stopped,Ing7_7_accumulated_waiting_time,Ing7_7_average_speed
8.0,0,0.0,0.0,7.790490076702793,6,0.0,0.0,0.0,0.0,0,0.0,0.0,2.577262651920319,0.0,0.0,1,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.1830945994601297,0,0.0,1.0
16.0,3,2.0,0.1333333333333333,4.941586989235318,15,2.0,0.1333333333333333,2.0,0.1333333333333333,1,2.0,2.0,7.84456830850273,0.5,0.5,4,0,0.0,1.0,0,0.0,1.0,1,2.0,0.0006441555081676,0,0.0,1.0,0,0.0,0.6432496943295225,0,0.0,0.8240232973990487,0,0.0,1.0
24.0,9,22.0,0.9166666666666666,4.6267036900779726,24,28.0,1.1666666666666667,26.0,1.0833333333333333,2,4.0,2.0,6.662107736536665,1.0,1.0,4,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,1,1.0,0.472331290212151,1,3.0,0.4727092593351092,0,0.0,1.0
32.0,4,19.0,0.5588235294117647,5.740278575869059,34,75.0,2.2058823529411766,47.0,1.3823529411764706,3,24.0,20.0,3.257094024606288,4.0,4.0,6,0,0.0,1.0,0,0.0,1.0,1,4.0,2.753568520645682e-05,0,0.0,1.0,1,6.0,0.2697449100346092,1,14.0,0.2481812761523192,0,0.0,1.0
40.0,13,74.0,1.6444444444444444,5.179184034580665,45,131.0,2.911111111111111,56.0,1.2444444444444445,4,70.0,46.0,6.370275637125039,3.684210526315789,3.684210526315789,19,0,0.0,1.0,1,5.0,0.5957720228163027,1,12.0,0.0,0,0.0,0.9379829091936096,1,11.0,0.2816137863184962,1,42.0,0.4111702685280156,0,0.0,0.6855587738635465
48.0,14,72.0,1.3846153846153846,5.117098328774473,52,243.0,4.673076923076923,112.0,2.1538461538461537,8,110.0,40.0,4.634299409068688,5.0,5.0,22,1,6.0,0.3188687510051776,1,5.0,0.3211062836688227,0,10.0,0.3057973273718218,0,0.0,0.4065325782447746,0,3.0,0.5791671613130801,5,83.0,0.3480307737092186,1,3.0,5.474445067535305e-05
56.0,13,131.0,2.3392857142857144,6.300793375881511,56,330.0,5.892857142857143,87.0,1.5535714285714286,11,199.0,89.0,3.904286769098153,7.96,7.96,25,0,0.0,1.0,2,20.0,0.0,1,16.0,0.0,0,2.0,0.6029244355064535,1,4.0,0.4734313214011856,6,146.0,0.2680292550960004,1,11.0,0.0
64.0,21,254.0,4.096774193548387,4.828292960716677,62,442.0,7.129032258064516,112.0,1.8064516129032255,18,331.0,132.0,2.372313566236105,9.457142857142856,9.457142857142856,35,0,0.0,1.0,2,52.0,0.3234968508151987,1,27.0,0.6282243959714878,2,8.0,5.420413374881542e-05,3,26.0,0.1478284439940363,8,199.0,0.0574368248888248,2,19.0,0.2500143400870643
72.0,29,386.0,5.676470588235294,4.06034675015633,68,659.0,9.691176470588236,217.0,3.1911764705882355,23,414.0,83.0,1.961663724467663,11.82857142857143,11.82857142857143,35,0,0.0,1.0,0,0.0,0.4375647378096969,2,6.0,0.0013452856518068,2,24.0,0.0812850340083246,7,72.0,0.2056530889057747,11,285.0,0.032690594645939,1,27.0,0.4741083784241194
80.0,35,611.0,8.36986301369863,4.125307382371289,73,899.0,12.315068493150685,240.0,3.287671232876712,28,592.0,178.0,2.041203790025228,16.0,16.0,37,0,0.0,0.9098405640746886,1,5.0,3.199761392587886e-05,2,22.0,0.3279881613327717,3,47.0,0.0,8,119.0,0.0016068165196228,10,355.0,0.2248318452031336,4,44.0,1.2443092333929254e-05
