step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,system_cars_present,system_accumulated_waiting_time (100),system_accumulated_mean_waiting_time (100),system_accumulated_waiting_time (delta),system_accumulated_mean_waiting_time (delta),agents_total_stopped,agents_total_accumulated_waiting_time (100),agents_total_accumulated_waiting_time (delta),agents_mean_speed,agents_mean_waiting_time (100),agents_mean_waiting_time (delta),agents_cars_present,Ing7_1_stopped,Ing7_1_accumulated_waiting_time,Ing7_1_average_speed,Ing7_2_stopped,Ing7_2_accumulated_waiting_time,Ing7_2_average_speed,Ing7_3_stopped,Ing7_3_accumulated_waiting_time,Ing7_3_average_speed,Ing7_4_stopped,Ing7_4_accumulated_waiting_time,Ing7_4_average_speed,Ing7_5_stopped,Ing7_5_accumulated_waiting_time,Ing7_5_average_speed,Ing7_6_stopped,Ing7_6_accumulated_waiting_time,Ing7_6_average_speed,Ing7_7_stopped,Ing7_7_accumulated_waiting_time,Ing7_7_average_speed
8.0,0,0.0,0.0,7.790490076702793,6,0.0,0.0,0.0,0.0,0,0.0,0.0,2.577262651920319,0.0,0.0,1,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.1830945994601297,0,0.0,1.0
16.0,3,2.0,0.1333333333333333,6.256291727177165,15,2.0,0.1333333333333333,2.0,0.1333333333333333,1,2.0,2.0,7.84456830850273,0.5,0.5,4,0,0.0,1.0,0,0.0,1.0,1,2.0,0.0006441555081676,0,0.0,1.0,0,0.0,0.6432496943295225,0,0.0,0.8240232973990487,0,0.0,1.0
24.0,3,1.0,0.0434782608695652,7.685969674156907,23,7.0,0.3043478260869565,5.0,0.217391304347826,1,1.0,0.0,9.667379596929814,0.2,0.2,5,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,1,1.0,0.6020120125311786,0,0.0,0.8524706699026989,0,0.0,1.0
32.0,4,12.0,0.375,7.294934821920894,32,25.0,0.78125,18.0,0.5625,2,13.0,12.0,7.530102193954345,1.4444444444444444,1.4444444444444444,9,0,0.0,1.0,0,0.0,1.0,1,4.0,2.5407769242828357e-05,0,0.0,1.0,1,6.0,0.7083925183252696,0,3.0,0.3762377330284972,0,0.0,1.0
40.0,6,29.0,0.6744186046511628,7.246057789560324,43,53.0,1.2325581395348837,28.0,0.6511627906976745,2,20.0,7.0,7.09770992023872,1.0526315789473684,1.0526315789473684,19,0,0.0,1.0,0,4.0,0.9482309015777656,1,12.0,0.0,0,0.0,0.9963806899918168,0,0.0,0.5268954912665857,1,4.0,0.4296082905866386,0,0.0,0.6855587738635465
48.0,13,50.0,1.0416666666666667,5.843300438383536,48,108.0,2.25,55.0,1.1458333333333333,11,69.0,49.0,3.785955726624639,2.3793103448275863,2.3793103448275863,29,1,6.0,0.2395095841467655,1,5.0,0.4789477547566163,0,10.0,0.3480863392868293,1,2.0,0.1434216104411304,3,10.0,0.2739020906703189,4,33.0,0.329069297982538,1,3.0,5.474445067535305e-05
56.0,5,20.0,0.3773584905660377,7.387462550675078,53,175.0,3.30188679245283,67.0,1.2641509433962264,3,46.0,0.0,7.532495460932431,1.9166666666666667,1.9166666666666667,24,0,0.0,0.609756311871524,0,3.0,0.945890313616798,1,16.0,0.4884676422618995,0,1.0,0.6431224997337,0,9.0,0.8176904453116123,1,3.0,0.4397805748496484,1,14.0,0.3392954326938783
64.0,10,35.0,0.5645161290322581,7.764682575635409,62,217.0,3.5,42.0,0.6774193548387096,5,53.0,7.0,6.807079962689516,1.7096774193548387,1.7096774193548387,31,1,2.0,0.260946629852515,0,14.0,0.9962705083285394,0,0.0,0.0102040419262717,0,3.0,0.3605356139416065,0,15.0,0.7528549991918172,3,16.0,0.3000008839429697,1,3.0,0.1403453781465462
72.0,19,104.0,1.5757575757575757,6.44111531146955,66,303.0,4.590909090909091,86.0,1.303030303030303,13,113.0,60.0,4.139234834371711,3.896551724137931,3.896551724137931,29,0,0.0,1.0,0,14.0,0.0283923838737746,1,5.0,0.4986262114462056,2,15.0,0.3293701336838053,4,20.0,0.4219117339483398,5,50.0,0.0288519159069784,1,9.0,0.4801127780709808
80.0,11,76.0,1.1014492753623188,6.504689931924162,69,370.0,5.36231884057971,67.0,0.9710144927536232,7,115.0,2.0,4.027027246691889,5.476190476190476,5.476190476190476,21,1,2.0,0.0015744654381428,1,25.0,0.3396189173266644,1,10.0,0.4929284439900914,0,0.0,0.3632545869368514,0,8.0,0.2555291470143864,2,61.0,0.3458775551227502,2,9.0,1.538486112714118e-05
