step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,system_cars_present,system_accumulated_waiting_time (100),system_accumulated_mean_waiting_time (100),system_accumulated_waiting_time (delta),system_accumulated_mean_waiting_time (delta),agents_total_stopped,agents_total_accumulated_waiting_time (100),agents_total_accumulated_waiting_time (delta),agents_mean_speed,agents_mean_waiting_time (100),agents_mean_waiting_time (delta),agents_cars_present,Ing7_1_stopped,Ing7_1_accumulated_waiting_time,Ing7_1_average_speed,Ing7_2_stopped,Ing7_2_accumulated_waiting_time,Ing7_2_average_speed,Ing7_3_stopped,Ing7_3_accumulated_waiting_time,Ing7_3_average_speed,Ing7_4_stopped,Ing7_4_accumulated_waiting_time,Ing7_4_average_speed,Ing7_5_stopped,Ing7_5_accumulated_waiting_time,Ing7_5_average_speed,Ing7_6_stopped,Ing7_6_accumulated_waiting_time,Ing7_6_average_speed,Ing7_7_stopped,Ing7_7_accumulated_waiting_time,Ing7_7_average_speed
8.0,0,0.0,0.0,7.790490076702793,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.577262651920319,0.0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.1830945994601297,0.0,0.0,1.0
16.0,4,3.0,0.2,4.339967325189957,15,3.0,0.2,3.0,0.2,2.0,3.0,3.0,5.588494568332624,0.75,0.75,4.0,0,0.0,1.0,0,0.0,1.0,1.0,2.0,0.0006441555081676,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.5500632846568814,0.0,0.0,1.0
24.0,10,43.0,1.7916666666666667,4.656225526316541,24,43.0,1.7916666666666667,40.0,1.6666666666666667,2.0,19.0,16.0,6.931768465605964,3.8,3.8,5.0,0,0.0,1.0,0,0.0,1.0,1.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.9010732043542496,1.0,9.0,0.5080333926450462,0.0,0.0,1.0
32.0,9,85.0,2.5,5.404716548482819,34,110.0,3.235294117647059,67.0,1.9705882352941175,1.0,19.0,0.0,7.393501392553193,3.1666666666666665,3.1666666666666665,6.0,0,0.0,1.0,0,0.0,1.0,0.0,2.0,0.2880239640657409,0.0,0.0,1.0,0.0,0.0,1.0,1.0,17.0,0.5392364932050195,0.0,0.0,1.0
40.0,6,38.0,0.8837209302325582,7.18617807737549,43,179.0,4.162790697674419,69.0,1.6046511627906976,2.0,26.0,7.0,8.571296486017426,2.363636363636364,2.363636363636364,11.0,0,0.0,1.0,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.9642890539151968,0.0,0.0,0.6427260301037451,2.0,26.0,0.5354141101850253,0.0,0.0,0.805544916906961
48.0,8,11.0,0.2244897959183673,7.923087546542426,49,202.0,4.122448979591836,23.0,0.4693877551020408,5.0,67.0,41.0,6.768733760268188,3.0454545454545454,3.0454545454545454,22.0,1,6.0,0.2210839671259715,0,12.0,0.98702505245696,0.0,0.0,1.0,1.0,2.0,0.310818733069903,0.0,3.0,0.6420841458992218,2.0,41.0,0.5367155112176524,1.0,3.0,5.474445067535305e-05
56.0,4,21.0,0.4038461538461538,7.711827871281374,52,227.0,4.365384615384615,25.0,0.4807692307692308,4.0,89.0,22.0,7.509713306350379,3.423076923076923,3.423076923076923,26.0,0,0.0,0.658435983447754,0,1.0,0.8660792446157524,0.0,0.0,0.9490193107794568,0.0,3.0,0.6508166419230971,1.0,31.0,0.6783980049260154,2.0,43.0,0.3343072685062276,1.0,11.0,0.0
64.0,11,49.0,0.7903225806451613,8.181587671837812,62,277.0,4.467741935483871,50.0,0.8064516129032258,5.0,67.0,0.0,7.447863882624783,2.9130434782608696,2.9130434782608696,23.0,0,0.0,1.0,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.943160484176919,0.0,31.0,0.8587189473671853,4.0,36.0,0.1790771408301844,1.0,0.0,0.0
72.0,14,101.0,1.4852941176470589,6.783271778994019,68,359.0,5.279411764705882,82.0,1.2058823529411764,7.0,94.0,27.0,5.941908923747242,3.032258064516129,3.032258064516129,31.0,1,4.0,0.1707133614847015,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.7320142868357473,0.0,13.0,0.6285895155160909,6.0,77.0,0.3416611553244781,0.0,0.0,0.7523896251292158
80.0,17,186.0,2.657142857142857,5.858962993869832,70,407.0,5.814285714285714,48.0,0.6857142857142857,6.0,98.0,4.0,4.4614691129312805,4.260869565217392,4.260869565217392,23.0,0,2.0,0.2805238094871287,0,0.0,1.0,0.0,0.0,0.9999699789523884,0.0,0.0,0.4669490825653166,2.0,12.0,0.0516487849311463,4.0,84.0,0.3365517741980277,0.0,0.0,1.0
