Type,Score,Model,Position
system_total_waiting_time,52.43394965471152,all3,1
system_total_waiting_time,54.22991319830848,avgwait,2
system_total_waiting_time,56.042037366548044,defandaccumlatedspeed,3
system_total_waiting_time,72.22197359588274,avgwaitavgspeed,4
system_total_waiting_time,106.27989311957248,defandmaxgreen,5
system_total_waiting_time,2171.74376114082,default,6
system_total_waiting_time,2362.2277073604623,defandpress,7
system_total_waiting_time,7139.497546833185,defandspeed,8
system_total_waiting_time,45377.28360545739,speed,9
system_accumulated_waiting_time (100),361.34239251503675,all3,1
system_accumulated_waiting_time (100),390.5185844647229,avgwait,2
system_accumulated_waiting_time (100),422.77068505338076,defandaccumlatedspeed,3
system_accumulated_waiting_time (100),433.9447303647348,avgwaitavgspeed,4
system_accumulated_waiting_time (100),532.0046760187041,defandmaxgreen,5
system_accumulated_waiting_time (100),2091.042917500556,defandpress,6
system_accumulated_waiting_time (100),2388.288770053476,default,7
system_accumulated_waiting_time (100),5517.622435325602,defandspeed,8
system_accumulated_waiting_time (100),32873.440617311564,speed,9
system_total_stopped,8.127422588549788,all3,1
system_total_stopped,8.489205430669932,avgwait,2
system_total_stopped,8.75833519803088,avgwaitavgspeed,3
system_total_stopped,9.073843416370106,defandaccumlatedspeed,4
system_total_stopped,10.277443776441773,defandmaxgreen,5
system_total_stopped,10.881921280853902,defandpress,6
system_total_stopped,14.185383244206774,default,7
system_total_stopped,16.161685994647637,defandspeed,8
system_total_stopped,50.80272869604116,speed,9
system_mean_waiting_time,0.8465421560277109,avgwait,1
system_mean_waiting_time,0.8756759252789131,all3,2
system_mean_waiting_time,0.8869801889367951,defandaccumlatedspeed,3
system_mean_waiting_time,1.1042332636357783,avgwaitavgspeed,4
system_mean_waiting_time,1.6983303092734634,defandmaxgreen,5
system_mean_waiting_time,26.427366874101843,defandpress,6
system_mean_waiting_time,30.40877369624767,default,7
system_mean_waiting_time,80.5236071120214,defandspeed,8
system_mean_waiting_time,313.419367726038,speed,9
system_accumulated_mean_waiting_time (100),5.864369738210782,all3,1
system_accumulated_mean_waiting_time (100),6.145078068288576,avgwait,2
system_accumulated_mean_waiting_time (100),6.55076546347461,defandaccumlatedspeed,3
system_accumulated_mean_waiting_time (100),6.835105417838285,avgwaitavgspeed,4
system_accumulated_mean_waiting_time (100),8.20960472268426,defandmaxgreen,5
system_accumulated_mean_waiting_time (100),24.936871230753923,defandpress,6
