step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,system_cars_present,system_accumulated_waiting_time (100),system_accumulated_mean_waiting_time (100),system_accumulated_waiting_time (delta),system_accumulated_mean_waiting_time (delta),agents_total_stopped,agents_total_accumulated_waiting_time (100),agents_total_accumulated_waiting_time (delta),agents_mean_speed,agents_mean_waiting_time (100),agents_mean_waiting_time (delta),agents_cars_present,Ing7_1_stopped,Ing7_1_accumulated_waiting_time,Ing7_1_average_speed,Ing7_2_stopped,Ing7_2_accumulated_waiting_time,Ing7_2_average_speed,Ing7_3_stopped,Ing7_3_accumulated_waiting_time,Ing7_3_average_speed,Ing7_4_stopped,Ing7_4_accumulated_waiting_time,Ing7_4_average_speed,Ing7_5_stopped,Ing7_5_accumulated_waiting_time,Ing7_5_average_speed,Ing7_6_stopped,Ing7_6_accumulated_waiting_time,Ing7_6_average_speed,Ing7_7_stopped,Ing7_7_accumulated_waiting_time,Ing7_7_average_speed
8.0,0,0.0,0.0,7.772162003756965,6,0.0,0.0,0.0,0.0,0,0.0,0.0,2.5683015804737805,0.0,0.0,1,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.154562335167088,0,0.0,1.0
16.0,3,2.0,0.1333333333333333,6.442354956213752,15,2.0,0.1333333333333333,2.0,0.1333333333333333,1,2.0,2.0,8.911923494005773,0.5,0.5,4,0,0.0,1.0,0,0.0,1.0,1,2.0,0.0020683388137329,0,0.0,1.0,0,0.0,0.7098901214277717,0,0.0,0.878469186261016,0,0.0,1.0
24.0,2,0.0,0.0,8.357651847651395,23,8.0,0.3478260869565217,6.0,0.2608695652173913,0,0.0,0.0,11.232604888750938,0.0,0.0,5,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.8595760438693854,0,0.0,0.7163852074408759,0,0.0,1.0
32.0,3,9.0,0.2727272727272727,9.22260574881931,33,17.0,0.5151515151515151,9.0,0.2727272727272727,1,4.0,4.0,9.9052659630326,0.4,0.4,10,0,0.0,1.0,0,0.0,1.0,1,4.0,0.0,0,0.0,1.0,0,0.0,0.9251240770844936,0,0.0,0.7381418064902545,0,0.0,1.0
40.0,6,10.0,0.238095238095238,7.191108889531095,42,38.0,0.9047619047619048,21.0,0.5,5,16.0,12.0,6.765285111005102,0.7619047619047619,0.7619047619047619,21,0,0.0,1.0,1,8.0,0.5766533988156015,0,0.0,1.0,1,1.0,0.2425210354841405,0,0.0,0.7594601312954711,3,7.0,0.4635340810985711,0,0.0,0.6162979724746444
48.0,11,38.0,0.7916666666666666,6.73198997194477,48,90.0,1.875,52.0,1.0833333333333333,6,32.0,16.0,4.586016879343907,1.8823529411764703,1.8823529411764703,17,0,0.0,1.0,3,19.0,0.0003627591326487,1,6.0,0.0,1,3.0,0.1768441623335434,0,0.0,0.968047944433816,1,4.0,0.4873841454012306,0,0.0,1.0
56.0,5,14.0,0.2857142857142857,8.574623782165082,49,143.0,2.9183673469387754,53.0,1.0816326530612246,4,45.0,13.0,8.251086111990274,2.142857142857143,2.142857142857143,21,0,0.0,0.9851966490117804,0,8.0,0.7139802317697526,0,0.0,1.0,0,4.0,0.605912229225248,0,16.0,0.8870877066997267,4,14.0,0.1619257530896548,0,3.0,0.9855902415828992
64.0,4,9.0,0.1698113207547169,9.336247873925084,53,166.0,3.1320754716981134,23.0,0.4339622641509434,3,41.0,0.0,8.65186977402568,2.1578947368421053,2.1578947368421053,19,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,1,6.0,0.4597216489099429,0,11.0,0.8912337871075713,1,24.0,0.5960367298255687,1,0.0,0.0
72.0,11,41.0,0.6721311475409836,8.632740065713667,61,217.0,3.557377049180328,51.0,0.8360655737704918,5,46.0,5.0,8.83293546068157,1.84,1.84,25,0,0.0,1.0,0,0.0,1.0,1,9.0,0.6606497225039364,0,0.0,0.7365976353803756,0,13.0,0.8193320528200096,4,24.0,0.3374453787927703,0,0.0,0.8234021887691523
80.0,15,79.0,1.2153846153846153,7.053713163764641,65,276.0,4.246153846153846,59.0,0.9076923076923076,9,74.0,28.0,4.910345415059735,3.217391304347826,3.217391304347826,23,0,0.0,0.9369926609663662,0,0.0,1.0,1,10.0,0.0,2,4.0,0.3338460471176446,0,1.0,0.8165508805948958,5,57.0,0.2561064241964924,1,2.0,0.1676814439235271
88.0,5,58.0,0.9666666666666668,7.242779936490672,60,274.0,4.566666666666666,0.0,0.0,4,69.0,0.0,4.68467866694882,3.45,3.45,20,0,0.0,1.0,0,0.0,1.0,0,0.0,0.6410499276815231,0,0.0,0.2893851455786126,0,1.0,0.4188509706931631,4,68.0,0.2540362799419994,0,0.0,1.0
96.0,13,132.0,2.357142857142857,7.460569115539687,56,288.0,5.142857142857143,14.0,0.25,10,137.0,68.0,4.981813655464684,7.2105263157894735,7.2105263157894735,19,0,0.0,1.0,1,6.0,0.6476941665924362,1,5.0,0.0,1,5.0,0.0,2,12.0,5.036579063249743e-05,5,109.0,0.4113259814166006,0,0.0,1.0
104.0,7,89.0,1.78,6.900579582466028,50,329.0,6.58,41.0,0.82,6,153.0,16.0,4.835032538604375,10.2,10.2,15,0,0.0,1.0,1,14.0,0.6381832569788584,0,0.0,1.0,0,0.0,1.0,0,3.0,0.8402672354117084,5,136.0,0.1604881590011574,0,0.0,1.0
112.0,12,44.0,0.9565217391304348,6.477016500022042,46,344.0,7.478260869565218,15.0,0.3260869565217391,11,154.0,1.0,4.743343580772029,7.0,7.0,22,0,0.0,1.0,1,5.0,0.523915900601852,1,6.0,0.4672239992506508,0,0.0,1.0,0,9.0,0.7972434407763305,9,134.0,0.1253436793024122,0,0.0,1.0
120.0,1,0.0,0.0,6.5063200775167775,47,357.0,7.595744680851064,13.0,0.2765957446808511,0,113.0,0.0,7.328810904071516,8.071428571428571,8.071428571428571,14,0,0.0,0.1510482968790449,0,8.0,0.9581487292065042,0,0.0,1.0,0,0.0,1.0,0,6.0,0.8388314121228743,0,96.0,0.3322237681550804,0,3.0,0.8308865451309456
128.0,8,29.0,0.5272727272727272,8.157761651724332,55,359.0,6.527272727272727,2.0,0.0363636363636363,3,47.0,0.0,7.893866449796963,2.473684210526316,2.473684210526316,19,0,0.0,1.0,0,0.0,0.9145913595938846,0,0.0,1.0,2,3.0,0.1838188654873108,0,15.0,0.8253333111576603,1,29.0,0.4606667024006478,0,0.0,1.0
136.0,11,68.0,1.1724137931034482,6.532955804193651,58,377.0,6.5,18.0,0.3103448275862069,8,51.0,4.0,4.879074713889302,1.5,1.5,34,2,9.0,0.1368250812699802,2,11.0,0.3826750453889879,0,0.0,0.1115678921909138,0,1.0,0.6452841337308849,0,8.0,0.4998619498285012,4,22.0,0.2248791958006553,0,0.0,1.0
144.0,11,34.0,0.5151515151515151,6.258679593843076,66,397.0,6.015151515151516,20.0,0.303030303030303,5,68.0,17.0,3.635560784916933,2.5185185185185186,2.5185185185185186,27,0,0.0,0.5251472147307283,0,12.0,0.1700946648219146,0,0.0,1.0,1,4.0,0.0,1,12.0,0.3304488415651316,3,40.0,0.1912448547172841,0,0.0,1.0
152.0,9,51.0,0.7183098591549296,7.434814721331988,71,387.0,5.450704225352113,0.0,0.0,8,103.0,35.0,3.447102593037185,3.3225806451612905,3.3225806451612905,31,0,0.0,0.0126681911501184,2,21.0,0.2611638361295885,0,0.0,1.0,0,0.0,0.0080819147390953,3,31.0,0.1486498565078854,3,51.0,0.3334323556357389,0,0.0,0.5516198500977776
160.0,16,107.0,1.3209876543209875,7.002162545686383,81,475.0,5.864197530864198,88.0,1.0864197530864197,13,123.0,20.0,4.484627792787746,3.6176470588235294,3.6176470588235294,34,0,0.0,0.5290797828511908,3,7.0,0.3812657918434012,1,4.0,0.6257442716108312,0,0.0,1.0,3,45.0,0.3818452249539614,6,67.0,0.1106352165183019,0,0.0,1.0
168.0,12,98.0,1.3424657534246576,6.481802725685346,73,502.0,6.876712328767123,27.0,0.3698630136986301,9,140.0,17.0,4.242918849442987,4.0,4.0,35,0,0.0,0.7366869413547197,0,12.0,0.2060550773612454,2,12.0,0.37806159186092,0,0.0,0.2126100730441114,1,36.0,0.3845324066219912,6,80.0,0.1488832816124735,0,0.0,1.0
176.0,8,46.0,0.6865671641791045,7.913909337699398,67,428.0,6.388059701492537,0.0,0.0,8,121.0,0.0,4.984221112924281,4.172413793103448,4.172413793103448,29,1,2.0,0.650711266566172,1,7.0,0.3153837576705076,0,1.0,0.7675650929879952,1,5.0,8.831103354047838e-06,3,41.0,0.0776903468227384,2,65.0,0.3357419398700743,0,0.0,0.1344439372030889
184.0,7,27.0,0.4576271186440678,8.697965494816245,59,387.0,6.559322033898305,0.0,0.0,7,127.0,6.0,3.807117459313036,6.35,6.35,20,1,7.0,0.2494949252610656,1,3.0,0.0002133536503169,0,3.0,0.9935732684127576,0,0.0,1.0,2,67.0,0.1780495120563404,3,47.0,0.2876161861580349,0,0.0,1.0
192.0,5,21.0,0.375,9.005856333237142,56,386.0,6.892857142857143,0.0,0.0,4,117.0,0.0,6.493197710524477,5.571428571428571,5.571428571428571,21,0,0.0,1.0,1,17.0,0.5617535528785873,0,2.0,0.922792760700624,0,0.0,1.0,1,54.0,0.6476888722392327,2,44.0,0.0932482888026264,0,0.0,1.0
200.0,5,10.0,0.196078431372549,8.116519618199433,51,321.0,6.294117647058823,0.0,0.0,2,45.0,0.0,5.553318605673242,2.8125,2.8125,16,0,0.0,0.0336174943338201,0,0.0,0.4579916107680148,0,3.0,0.4759813397849048,0,0.0,0.5424459770237204,2,17.0,0.3176651858253824,0,22.0,0.3040025933046036,0,3.0,0.9050466877253888
208.0,4,9.0,0.1636363636363636,9.748823981222955,55,320.0,5.818181818181818,0.0,0.0,2,32.0,0.0,6.955434777910765,2.6666666666666665,2.6666666666666665,12,0,0.0,1.0,0,0.0,0.9476468518861212,0,5.0,0.6407802849202971,1,6.0,0.4791066389608835,0,6.0,0.7413337580933214,1,15.0,0.0848069564057523,0,0.0,1.0
216.0,11,36.0,0.7346938775510204,8.31068773356842,49,265.0,5.408163265306122,0.0,0.0,9,38.0,6.0,6.022975488184332,2.0,2.0,19,4,10.0,0.0018752322766217,0,0.0,0.6277645330922298,1,11.0,0.7544733579374038,2,6.0,0.22483019640056,0,0.0,0.7059062076345384,2,11.0,0.3044001427403387,0,0.0,1.0
224.0,5,29.0,0.6041666666666666,8.658530865922678,48,281.0,5.854166666666667,16.0,0.3333333333333333,3,36.0,0.0,8.361972980983062,2.0,2.0,18,0,5.0,0.4420315986578947,1,8.0,0.726212149493179,1,15.0,0.5695823067015248,1,4.0,6.125374911655385e-05,0,3.0,0.6321698930270262,0,1.0,0.7027726364517922,0,0.0,1.0
232.0,4,10.0,0.2127659574468085,9.63301049468804,47,259.0,5.51063829787234,0.0,0.0,3,17.0,0.0,7.464021921317569,0.9444444444444444,0.9444444444444444,18,0,0.0,1.0,0,0.0,0.5936711617500249,1,8.0,0.3131667203250327,0,0.0,1.0,0,3.0,0.6327736206519048,2,6.0,0.537204693001744,0,0.0,0.8378930237143143
240.0,7,41.0,0.8367346938775511,8.556602525249223,49,289.0,5.8979591836734695,30.0,0.6122448979591837,4,32.0,15.0,5.957483913302421,1.7777777777777777,1.7777777777777777,18,0,0.0,1.0,1,2.0,0.1745170287794144,0,0.0,0.1062530365180149,0,0.0,1.0,0,3.0,0.7926066362896791,3,27.0,0.3404895403850472,0,0.0,0.6593340653978021
248.0,6,33.0,0.673469387755102,8.549246318665707,49,273.0,5.571428571428571,0.0,0.0,2,10.0,0.0,6.617150440591701,0.7692307692307693,0.7692307692307693,13,0,0.0,1.0,0,3.0,0.5631546073365107,0,0.0,1.0,0,0.0,1.0,1,1.0,0.3770158048641273,1,3.0,0.4930512073872728,0,3.0,0.6766817751193747
256.0,3,12.0,0.2608695652173913,9.225814096880534,46,264.0,5.739130434782608,0.0,0.0,3,19.0,9.0,6.328085233414504,1.4615384615384617,1.4615384615384617,13,0,0.0,0.7643598882422324,1,7.0,0.4965803399405359,0,0.0,1.0,0,0.0,0.5973191347743876,0,3.0,0.765919734208605,2,6.0,0.1776399514750037,0,3.0,0.9581278634942824
264.0,2,5.0,0.1063829787234042,8.633241114194755,47,182.0,3.872340425531915,0.0,0.0,2,30.0,11.0,8.22226397576675,1.5,1.5,20,0,0.0,0.6701758273626603,1,6.0,0.4831969027359347,0,3.0,0.9424626002730996,1,4.0,0.0127983251295127,0,3.0,0.9554624106641354,0,14.0,0.3307317907950882,0,0.0,0.9189734142699516
272.0,9,39.0,0.9069767441860463,8.06630431965158,43,167.0,3.883720930232558,0.0,0.0,8,42.0,12.0,3.023817416103184,3.230769230769231,3.230769230769231,13,4,17.0,7.050920899891825e-05,0,2.0,0.8298644784556556,1,5.0,4.209202411135495e-05,2,14.0,0.1871312559142723,0,0.0,1.0,1,4.0,0.0367987220022395,0,0.0,0.7936236614819574
280.0,4,15.0,0.3947368421052631,9.282828084447436,38,184.0,4.842105263157895,17.0,0.4473684210526316,3,18.0,0.0,4.0111404419672185,2.0,2.0,9,0,0.0,0.2796161614041043,1,4.0,0.4239909112995902,0,0.0,1.0,1,5.0,0.0054390074666711,0,3.0,0.6408334868908016,0,0.0,0.3686896949070972,1,6.0,0.0
288.0,3,7.0,0.175,9.36262992255433,40,194.0,4.85,10.0,0.25,2,21.0,3.0,9.420408567456908,1.5,1.5,14,0,3.0,0.0192984835774654,2,7.0,0.0005721417093105,0,0.0,0.7353799033004579,0,0.0,0.4413458822635117,0,11.0,0.9132372033445204,0,0.0,0.8645142844141271,0,0.0,1.0
296.0,4,14.0,0.3111111111111111,8.943091163050637,45,201.0,4.466666666666667,7.0,0.1555555555555555,3,19.0,0.0,8.169984301407498,1.4615384615384617,1.4615384615384617,13,0,0.0,0.9620198511199258,0,3.0,0.487234185938419,1,4.0,0.6191742097664922,0,0.0,0.9882419288192,0,2.0,0.6770953506241678,2,10.0,0.346866376626439,0,0.0,1.0
304.0,2,1.0,0.024390243902439,8.690042991010229,41,173.0,4.219512195121951,0.0,0.0,1,12.0,0.0,6.437195319541002,1.0909090909090908,1.0909090909090908,11,0,1.0,0.6971901736466006,0,0.0,0.8111593982349026,0,0.0,0.2315696531526441,0,0.0,0.0388177306814736,1,5.0,0.4045672585001901,0,6.0,0.20048955306778,0,0.0,0.9976955914893216
