step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,system_cars_present,system_accumulated_waiting_time (100),system_accumulated_mean_waiting_time (100),system_accumulated_waiting_time (delta),system_accumulated_mean_waiting_time (delta),agents_total_stopped,agents_total_accumulated_waiting_time (100),agents_total_accumulated_waiting_time (delta),agents_mean_speed,agents_mean_waiting_time (100),agents_mean_waiting_time (delta),agents_cars_present,Ing7_1_stopped,Ing7_1_accumulated_waiting_time,Ing7_1_average_speed,Ing7_2_stopped,Ing7_2_accumulated_waiting_time,Ing7_2_average_speed,Ing7_3_stopped,Ing7_3_accumulated_waiting_time,Ing7_3_average_speed,Ing7_4_stopped,Ing7_4_accumulated_waiting_time,Ing7_4_average_speed,Ing7_5_stopped,Ing7_5_accumulated_waiting_time,Ing7_5_average_speed,Ing7_6_stopped,Ing7_6_accumulated_waiting_time,Ing7_6_average_speed,Ing7_7_stopped,Ing7_7_accumulated_waiting_time,Ing7_7_average_speed
8.0,0,0.0,0.0,7.698267388079937,6,0.0,0.0,0.0,0.0,0,0.0,0.0,1.4665845278883354,0.0,0.0,1,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.1025900108402911,0,0.0,1.0
16.0,2,0.0,0.0,5.7004112377338165,15,0.0,0.0,0.0,0.0,0,0.0,0.0,7.298428385638569,0.0,0.0,4,0,0.0,1.0,0,0.0,1.0,0,0.0,0.0078266134212804,0,0.0,1.0,0,0.0,0.5362335705389737,0,0.0,0.6654412772637839,0,0.0,0.8508724965683135
24.0,2,0.0,0.0,8.525811371893141,23,6.0,0.2608695652173913,6.0,0.2608695652173913,0,0.0,0.0,11.464482111315732,0.0,0.0,7,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.8362199795297807,0,0.0,0.7721708671874601,0,0.0,1.0
32.0,2,8.0,0.25,8.745851811976173,32,14.0,0.4375,8.0,0.25,1,5.0,5.0,10.38355028246613,0.4545454545454545,0.4545454545454545,11,0,0.0,1.0,0,0.0,1.0,1,5.0,5.099294328304194e-05,0,0.0,1.0,0,0.0,0.8700817376860046,0,0.0,0.7487938697149771,0,0.0,1.0
40.0,4,6.0,0.1428571428571428,8.050615515532067,42,33.0,0.7857142857142857,19.0,0.4523809523809524,3,13.0,8.0,7.658149952484453,0.6190476190476191,0.6190476190476191,21,0,0.0,1.0,1,6.0,0.7030803974294451,0,2.0,0.3248022148142531,1,1.0,0.3484288641068727,0,0.0,0.779610888126558,1,4.0,0.4669473784245895,0,0.0,0.5985785279205033
48.0,6,14.0,0.2916666666666667,8.007331165119366,48,58.0,1.2083333333333333,25.0,0.5208333333333334,2,12.0,0.0,7.893261487472942,0.9230769230769232,0.9230769230769232,13,0,0.0,1.0,1,4.0,0.0017226554379431,0,0.0,1.0,0,1.0,0.6916049001338704,0,3.0,0.8315723837964897,1,4.0,0.5479740486264697,0,0.0,1.0
56.0,9,53.0,1.1041666666666667,8.015897863783598,48,109.0,2.270833333333333,51.0,1.0625,4,35.0,23.0,7.694455598811724,1.75,1.75,20,0,0.0,1.0,0,8.0,0.9247834696166444,0,0.0,1.0,0,0.0,0.4651737141874941,0,9.0,0.8794640289098221,4,15.0,0.1144834243640198,0,3.0,0.5386689378605823
64.0,5,9.0,0.1636363636363636,7.917153683235408,55,168.0,3.0545454545454547,59.0,1.0727272727272728,4,30.0,0.0,8.323202978631821,1.6666666666666667,1.6666666666666667,18,0,0.0,1.0,0,0.0,1.0,0,3.0,0.962820347800564,2,7.0,0.4413984167468301,0,3.0,0.9215681171718436,1,17.0,0.5613001436112899,1,0.0,0.0
72.0,11,32.0,0.5079365079365079,7.271478993188646,63,201.0,3.1904761904761907,33.0,0.5238095238095238,3,61.0,31.0,6.411061079389362,3.388888888888889,3.388888888888889,18,0,0.0,1.0,0,0.0,1.0,1,1.0,0.0065049327229697,1,3.0,0.4835875443007643,0,3.0,0.7637553506249335,1,54.0,0.4200300119475443,0,0.0,0.6815441757633803
80.0,16,124.0,2.1379310344827585,6.666471753392794,58,267.0,4.603448275862069,66.0,1.137931034482759,1,30.0,0.0,7.81684421018134,2.142857142857143,2.142857142857143,14,0,0.0,0.9964172772145222,0,0.0,1.0,0,0.0,0.0295802083700587,0,0.0,0.9469912323306152,0,2.0,0.73601116474825,1,25.0,0.4635244726748207,0,3.0,0.8025148744486319
