step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,system_cars_present,system_accumulated_waiting_time (100),system_accumulated_mean_waiting_time (100),system_accumulated_waiting_time (delta),system_accumulated_mean_waiting_time (delta),agents_total_stopped,agents_total_accumulated_waiting_time (100),agents_total_accumulated_waiting_time (delta),agents_mean_speed,agents_mean_waiting_time (100),agents_mean_waiting_time (delta),agents_cars_present,Ing7_1_stopped,Ing7_1_accumulated_waiting_time,Ing7_1_average_speed,Ing7_2_stopped,Ing7_2_accumulated_waiting_time,Ing7_2_average_speed,Ing7_3_stopped,Ing7_3_accumulated_waiting_time,Ing7_3_average_speed,Ing7_4_stopped,Ing7_4_accumulated_waiting_time,Ing7_4_average_speed,Ing7_5_stopped,Ing7_5_accumulated_waiting_time,Ing7_5_average_speed,Ing7_6_stopped,Ing7_6_accumulated_waiting_time,Ing7_6_average_speed,Ing7_7_stopped,Ing7_7_accumulated_waiting_time,Ing7_7_average_speed
8.0,0,0.0,0.0,8.166626277833464,6,0.0,0.0,0.0,0.0,0,0.0,0.0,2.559809904615395,0.0,0.0,1,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.1651210194487267,0,0.0,1.0
16.0,2,0.0,0.0,7.368750153625799,15,0.0,0.0,0.0,0.0,0,0.0,0.0,10.315235719300675,0.0,0.0,4,0,0.0,1.0,0,0.0,1.0,0,0.0,0.6465767623681085,0,0.0,1.0,0,0.0,0.7197639709516874,0,0.0,0.7264366928288528,0,0.0,1.0
24.0,2,0.0,0.0,8.647802918102085,23,1.0,0.0434782608695652,1.0,0.0434782608695652,0,1.0,1.0,10.197042266068824,0.2,0.2,5,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,1.0,0.8098012268982278,0,0.0,0.6062434605231549,0,0.0,1.0
32.0,1,3.0,0.09375,9.769428602403336,32,4.0,0.125,3.0,0.09375,0,1.0,0.0,12.377083196731691,0.0909090909090909,0.0909090909090909,11,0,0.0,1.0,0,0.0,0.9307327354017528,0,0.0,1.0,0,0.0,1.0,0,1.0,0.9105312381497266,0,0.0,0.7164863404547422,0,0.0,1.0
40.0,4,5.0,0.1162790697674418,8.755029429858423,43,11.0,0.2558139534883721,7.0,0.1627906976744186,2,5.0,4.0,7.282793796634713,0.2631578947368421,0.2631578947368421,19,0,0.0,0.6831390993843586,0,0.0,0.5310600921891847,0,0.0,1.0,0,0.0,0.9531237109157348,0,0.0,0.5662294417401926,2,5.0,0.4335718898533406,0,0.0,0.749887741089213
48.0,6,11.0,0.2340425531914893,7.8045440694274975,47,30.0,0.6382978723404256,19.0,0.4042553191489361,2,6.0,1.0,8.405099877087569,0.3333333333333333,0.3333333333333333,18,0,0.0,1.0,0,0.0,0.7521954118455998,0,0.0,1.0,1,1.0,0.1110380411650285,0,0.0,0.9509471449464856,1,5.0,0.6053493237320609,0,0.0,1.0
56.0,7,26.0,0.52,8.368844349923746,50,75.0,1.5,45.0,0.9,5,32.0,26.0,7.250090742429369,1.5238095238095235,1.5238095238095235,21,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,1,4.0,0.4058313926002006,0,10.0,0.8919250543996912,4,15.0,0.3442392537111429,0,3.0,0.926070039181592
64.0,6,32.0,0.5714285714285714,8.601236963600039,56,118.0,2.107142857142857,43.0,0.7678571428571429,4,35.0,3.0,6.558908130170557,1.8421052631578947,1.8421052631578947,19,0,0.0,1.0,0,0.0,1.0,0,3.0,0.9589001230997564,1,9.0,0.3261689526334745,1,6.0,0.683466239472248,1,17.0,0.3274755987556457,1,0.0,0.4726406018339361
72.0,8,23.0,0.3898305084745763,7.495493035461924,59,157.0,2.6610169491525424,39.0,0.6610169491525424,5,41.0,6.0,5.920162680266449,1.7826086956521738,1.7826086956521738,23,0,0.0,1.0,0,0.0,1.0,1,2.0,0.0030362582150364,0,0.0,0.9547992668090788,0,16.0,0.742361122692526,4,23.0,0.1628146875399209,0,0.0,0.6851485172796761
80.0,5,20.0,0.3225806451612903,7.890350625065369,62,152.0,2.4516129032258065,0.0,0.0,3,46.0,5.0,4.849652805375623,2.7058823529411766,2.7058823529411766,17,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,1,1.0,0.002702390184851,0,12.0,0.4091066364222091,1,30.0,0.4125412821506284,1,3.0,0.0003115338794071
88.0,13,63.0,1.125,7.005692294300557,56,186.0,3.321428571428572,34.0,0.6071428571428571,6,49.0,3.0,6.553505070686296,2.45,2.45,20,0,0.0,1.0,0,0.0,0.9439566254029153,1,4.0,0.4484739471529564,0,0.0,0.6844179028228126,0,7.0,0.911658929922174,5,38.0,0.2440150426032601,0,0.0,1.0
96.0,19,158.0,2.771929824561404,4.879449377432852,57,286.0,5.017543859649122,100.0,1.7543859649122806,14,130.0,81.0,3.994814643587074,4.642857142857143,4.642857142857143,28,0,0.0,1.0,1,4.0,0.5030556647364991,1,4.0,0.4509230208852668,1,1.0,0.0546671952542147,1,24.0,0.5203615567856041,10,97.0,0.1230353275401269,0,0.0,1.0
104.0,6,94.0,1.649122807017544,6.571813246370249,57,378.0,6.631578947368421,92.0,1.6140350877192982,6,184.0,54.0,2.193750590877648,8.0,8.0,23,0,0.0,1.0,0,0.0,0.9050622273930208,0,3.0,0.1851508007923576,0,0.0,1.0,0,16.0,0.1648903709565092,6,165.0,0.1005978711675482,0,0.0,1.0
112.0,9,98.0,1.9215686274509804,7.448004111397243,51,332.0,6.509803921568627,0.0,0.0,7,188.0,4.0,5.115137459240115,8.952380952380953,8.952380952380953,21,0,0.0,1.0,0,3.0,0.9673502978362106,1,8.0,0.0,0,0.0,1.0,0,11.0,0.5306693246168805,6,166.0,0.2481047229826734,0,0.0,1.0
120.0,18,194.0,3.730769230769231,6.094441959042801,52,352.0,6.769230769230769,20.0,0.3846153846153846,10,208.0,20.0,5.297952720612471,10.4,10.4,20,0,0.0,0.8590788493727065,0,9.0,0.961367599333092,0,3.0,0.9856328108821448,0,0.0,1.0,3,22.0,0.1111251723286303,7,174.0,0.2491421613405549,0,0.0,1.0
128.0,14,209.0,3.732142857142857,6.77695380072319,56,423.0,7.553571428571429,71.0,1.2678571428571428,8,219.0,11.0,4.958900151402481,12.166666666666666,12.166666666666666,18,1,6.0,0.0,0,0.0,0.8574726862001033,0,0.0,1.0,1,2.0,0.2355879358573444,4,61.0,0.1914088150289947,2,150.0,0.4164781620120075,0,0.0,1.0
136.0,9,163.0,2.76271186440678,7.849957818774351,59,491.0,8.322033898305085,68.0,1.152542372881356,6,216.0,0.0,6.2878059037533225,7.714285714285714,7.714285714285714,28,2,5.0,0.4063039286586385,1,5.0,0.4530246177450654,0,0.0,1.0,0,4.0,0.6263892254303256,0,57.0,0.590183450504046,3,145.0,0.3305702796639967,0,0.0,1.0
144.0,11,20.0,0.2941176470588235,7.519986056053439,68,480.0,7.0588235294117645,0.0,0.0,4,52.0,0.0,5.724613726756087,2.260869565217391,2.260869565217391,23,0,0.0,0.8230837000475691,1,8.0,0.438966944896788,0,0.0,1.0,0,0.0,0.8288034634458499,1,25.0,0.5609375465876899,2,19.0,0.1868831996616525,0,0.0,1.0
152.0,9,43.0,0.6056338028169014,7.684479696697678,71,483.0,6.802816901408451,3.0,0.0422535211267605,7,71.0,19.0,5.154240545132572,2.290322580645161,2.290322580645161,31,1,1.0,0.0030954109909452,1,9.0,0.6609659732355697,0,0.0,1.0,1,1.0,0.0048932692931548,1,39.0,0.2923306048907209,3,18.0,0.3601869920591091,0,3.0,0.7148959571912498
