step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,system_cars_present,system_accumulated_waiting_time (100),system_accumulated_mean_waiting_time (100),system_accumulated_waiting_time (delta),system_accumulated_mean_waiting_time (delta),agents_total_stopped,agents_total_accumulated_waiting_time (100),agents_total_accumulated_waiting_time (delta),agents_mean_speed,agents_mean_waiting_time (100),agents_mean_waiting_time (delta),agents_cars_present,Ing7_1_stopped,Ing7_1_accumulated_waiting_time,Ing7_1_average_speed,Ing7_2_stopped,Ing7_2_accumulated_waiting_time,Ing7_2_average_speed,Ing7_3_stopped,Ing7_3_accumulated_waiting_time,Ing7_3_average_speed,Ing7_4_stopped,Ing7_4_accumulated_waiting_time,Ing7_4_average_speed,Ing7_5_stopped,Ing7_5_accumulated_waiting_time,Ing7_5_average_speed,Ing7_6_stopped,Ing7_6_accumulated_waiting_time,Ing7_6_average_speed,Ing7_7_stopped,Ing7_7_accumulated_waiting_time,Ing7_7_average_speed
8.0,0,0.0,0.0,8.254514340031891,6,0.0,0.0,0.0,0.0,0,0.0,0.0,1.7672078167786822,0.0,0.0,1,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.1420915618777135,0,0.0,1.0
16.0,3,2.0,0.1333333333333333,5.68848513878119,15,2.0,0.1333333333333333,2.0,0.1333333333333333,1,2.0,2.0,7.349373080792297,0.5,0.5,4,0,0.0,1.0,0,0.0,1.0,1,2.0,0.0003839099176518,0,0.0,1.0,0,0.0,0.5548893414918803,0,0.0,0.8379346702649313,0,0.0,1.0
24.0,4,17.0,0.7391304347826086,7.380598282416593,23,17.0,0.7391304347826086,15.0,0.6521739130434783,1,10.0,8.0,9.026796750719615,1.4285714285714286,1.4285714285714286,7,0,0.0,1.0,0,0.0,1.0,1,10.0,0.0,0,0.0,1.0,0,0.0,0.8760177729851085,0,0.0,0.6724720409265226,0,0.0,1.0
32.0,1,4.0,0.125,7.981261418637225,32,30.0,0.9375,13.0,0.40625,0,1.0,0.0,9.878806056565669,0.1,0.1,10,0,0.0,1.0,0,0.0,1.0,0,1.0,0.4084783981729828,0,0.0,1.0,0,0.0,0.8424565344113446,0,0.0,0.6736381022287581,0,0.0,0.9794226571940348
40.0,6,13.0,0.3095238095238095,7.763599530914757,42,45.0,1.0714285714285714,15.0,0.3571428571428571,3,10.0,9.0,7.236057651727902,0.5,0.5,20,0,0.0,1.0,0,0.0,0.743707403937177,1,6.0,0.0,1,1.0,0.3888793222359837,0,0.0,0.6678668434453885,1,3.0,0.4858353954059284,0,0.0,0.7617586839785766
48.0,5,10.0,0.2083333333333333,7.866812124318578,48,79.0,1.6458333333333333,34.0,0.7083333333333334,3,34.0,24.0,7.546102056658687,1.7,1.7,20,0,0.0,0.6970151791461296,0,14.0,0.9124782922287216,0,6.0,0.3039084160522864,1,4.0,0.4076063469339933,0,0.0,0.9862646236770184,1,4.0,0.4971539346090553,1,6.0,0.3725170653761935
56.0,9,36.0,0.72,7.831084582839948,50,130.0,2.6,51.0,1.02,8,61.0,27.0,6.024877334481763,2.44,2.44,25,0,0.0,1.0,0,0.0,1.0,1,11.0,0.4876071944350351,1,6.0,0.4226884102129785,0,15.0,0.8750786910071829,5,18.0,0.1522858961675146,1,11.0,0.0
64.0,5,22.0,0.3928571428571428,8.380639597409466,56,174.0,3.107142857142857,44.0,0.7857142857142857,4,51.0,0.0,8.38354286210017,2.125,2.125,24,0,0.0,0.9791631982233991,0,11.0,0.929522673515148,0,0.0,0.9926553009916088,2,17.0,0.3198026675150415,0,5.0,0.8824953638450772,1,18.0,0.4771088379935264,1,0.0,0.0
72.0,11,60.0,0.967741935483871,7.587962755003986,62,222.0,3.5806451612903225,48.0,0.7741935483870968,5,38.0,0.0,5.976803278201313,1.809523809523809,1.809523809523809,21,0,0.0,1.0,0,0.0,1.0,1,2.0,0.0005081220124158,0,0.0,0.5727182502585354,0,9.0,0.7713356578886224,4,27.0,0.2847091280791596,0,0.0,0.6985628689487753
80.0,11,82.0,1.28125,7.488500454271961,64,277.0,4.328125,55.0,0.859375,9,86.0,48.0,4.721626875986954,4.3,4.3,20,0,0.0,0.9389339348583232,0,3.0,0.922082892381901,1,10.0,0.0,1,3.0,0.3326673346081783,0,1.0,0.5310891156087901,6,66.0,0.2935900297777534,1,3.0,4.14806688073956e-05
