step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,system_cars_present,system_accumulated_waiting_time (100),system_accumulated_mean_waiting_time (100),system_accumulated_waiting_time (delta),system_accumulated_mean_waiting_time (delta),agents_total_stopped,agents_total_accumulated_waiting_time (100),agents_total_accumulated_waiting_time (delta),agents_mean_speed,agents_mean_waiting_time (100),agents_mean_waiting_time (delta),agents_cars_present,Ing7_1_stopped,Ing7_1_accumulated_waiting_time,Ing7_1_average_speed,Ing7_2_stopped,Ing7_2_accumulated_waiting_time,Ing7_2_average_speed,Ing7_3_stopped,Ing7_3_accumulated_waiting_time,Ing7_3_average_speed,Ing7_4_stopped,Ing7_4_accumulated_waiting_time,Ing7_4_average_speed,Ing7_5_stopped,Ing7_5_accumulated_waiting_time,Ing7_5_average_speed,Ing7_6_stopped,Ing7_6_accumulated_waiting_time,Ing7_6_average_speed,Ing7_7_stopped,Ing7_7_accumulated_waiting_time,Ing7_7_average_speed
8.0,0,0.0,0.0,7.75495569482396,6,0.0,0.0,0.0,0.0,0,0.0,0.0,2.281443680520169,0.0,0.0,1,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.1599793561245325,0,0.0,1.0
16.0,2,0.0,0.0,6.199016365391529,15,0.0,0.0,0.0,0.0,0,0.0,0.0,8.723785166771226,0.0,0.0,5,0,0.0,1.0,0,0.0,1.0,0,0.0,0.7854382761162841,0,0.0,1.0,0,0.0,1.0,0,0.0,0.5284947855458187,0,0.0,0.7252105423362111
24.0,4,9.0,0.391304347826087,7.854702478246453,23,9.0,0.391304347826087,9.0,0.391304347826087,2,9.0,9.0,7.302731511647662,1.8,1.8,5,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,1,1.0,0.456960127097831,1,8.0,0.5809840447739004,0,0.0,1.0
32.0,5,25.0,0.78125,6.742238544835754,32,36.0,1.125,27.0,0.84375,2,15.0,6.0,6.64518374925551,1.5,1.5,10,0,0.0,1.0,0,0.0,0.9349942237960838,0,0.0,1.0,0,0.0,1.0,1,12.0,0.5823668572014442,1,3.0,0.1340543108590712,0,0.0,1.0
40.0,5,13.0,0.3095238095238095,7.78496840815557,42,83.0,1.9761904761904765,47.0,1.119047619047619,2,12.0,0.0,8.11738665356112,1.0909090909090908,1.0909090909090908,11,0,0.0,0.9984294100841656,1,5.0,0.3301904836857847,0,0.0,1.0,0,0.0,0.9598604077427412,0,3.0,0.9483081310672742,1,4.0,0.4524550865335789,0,0.0,0.6867266425996039
48.0,8,30.0,0.6,8.597194382067803,50,119.0,2.38,36.0,0.72,5,69.0,57.0,8.233101086236298,2.875,2.875,24,0,0.0,0.0158849625019739,1,2.0,0.7243769305761061,0,0.0,1.0,0,0.0,1.0,1,19.0,0.726014081716971,2,44.0,0.5100252887630952,1,4.0,0.0
56.0,12,50.0,0.9615384615384616,7.071006726168081,52,173.0,3.326923076923077,54.0,1.0384615384615383,8,69.0,0.0,6.4444606945938725,2.4642857142857144,2.4642857142857144,28,0,0.0,1.0,2,3.0,0.1495075068963941,0,0.0,0.9727168447954716,1,4.0,0.4621698839926911,0,0.0,0.6573395904174577,5,62.0,0.4032949716608615,0,0.0,0.912100909929492
64.0,18,135.0,2.327586206896552,6.2877904075271775,58,247.0,4.258620689655173,74.0,1.2758620689655171,13,111.0,42.0,3.5400980784993266,4.826086956521739,4.826086956521739,23,0,0.0,1.0,0,0.0,1.0,0,0.0,0.8468786417399721,2,4.0,0.0016733472340044,3,15.0,0.0049255277407587,6,91.0,0.390813537270751,2,1.0,3.5764728195699654e-05
72.0,19,202.0,3.2580645161290325,6.218596542811252,62,340.0,5.483870967741935,93.0,1.5,6,114.0,3.0,6.046303592283119,6.333333333333333,6.333333333333333,18,0,0.0,1.0,0,0.0,1.0,1,9.0,0.3867009549489307,0,0.0,0.3359609410275005,0,6.0,0.6461845335632437,4,90.0,0.2767086858483238,1,9.0,0.590306128319897
80.0,10,37.0,0.5522388059701493,7.892336727916834,67,453.0,6.7611940298507465,113.0,1.6865671641791045,4,70.0,0.0,7.302467078483189,3.684210526315789,3.684210526315789,19,0,0.0,1.0,0,0.0,1.0,0,3.0,0.9760418863118516,1,8.0,0.2263728072056638,2,25.0,0.5696490184110795,0,30.0,0.5829249029658329,1,4.0,0.5580381776847302
