step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,system_cars_present,system_accumulated_waiting_time (100),system_accumulated_mean_waiting_time (100),system_accumulated_waiting_time (delta),system_accumulated_mean_waiting_time (delta),agents_total_stopped,agents_total_accumulated_waiting_time (100),agents_total_accumulated_waiting_time (delta),agents_mean_speed,agents_mean_waiting_time (100),agents_mean_waiting_time (delta),agents_cars_present,Ing7_1_stopped,Ing7_1_accumulated_waiting_time,Ing7_1_average_speed,Ing7_2_stopped,Ing7_2_accumulated_waiting_time,Ing7_2_average_speed,Ing7_3_stopped,Ing7_3_accumulated_waiting_time,Ing7_3_average_speed,Ing7_4_stopped,Ing7_4_accumulated_waiting_time,Ing7_4_average_speed,Ing7_5_stopped,Ing7_5_accumulated_waiting_time,Ing7_5_average_speed,Ing7_6_stopped,Ing7_6_accumulated_waiting_time,Ing7_6_average_speed,Ing7_7_stopped,Ing7_7_accumulated_waiting_time,Ing7_7_average_speed
8.0,0,0.0,0.0,7.919247247263168,6,0.0,0.0,0.0,0.0,0,0.0,0.0,1.3697773844935,0.0,0.0,1,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.1109666731145946,0,0.0,1.0
16.0,3,1.0,0.0666666666666666,5.169967936816582,15,1.0,0.0666666666666666,1.0,0.0666666666666666,1,1.0,1.0,3.228434114328694,0.3333333333333333,0.3333333333333333,3,0,0.0,1.0,0,0.0,1.0,0,0.0,0.0085351606837933,0,0.0,1.0,0,0.0,1.0,1,1.0,0.3259217591365734,0,0.0,1.0
24.0,5,24.0,1.0434782608695652,7.400167704315277,23,24.0,1.0434782608695652,23.0,1.0,2,17.0,16.0,8.046065931064756,3.4,3.4,5,0,0.0,1.0,0,0.0,1.0,1,8.0,0.0,0,0.0,1.0,0,0.0,0.982894690862891,1,9.0,0.4950016147575484,0,0.0,1.0
32.0,2,3.0,0.0967741935483871,7.699970132342135,31,41.0,1.3225806451612905,17.0,0.5483870967741935,2,8.0,0.0,8.171896972812904,0.7272727272727273,0.7272727272727273,11,0,0.0,1.0,0,0.0,1.0,0,2.0,0.3579000856084121,0,0.0,1.0,0,3.0,0.8528013919291515,2,3.0,0.4697021896161144,0,0.0,1.0
40.0,4,5.0,0.119047619047619,8.236462974366592,42,50.0,1.1904761904761905,9.0,0.2142857142857142,2,9.0,1.0,7.790241022268228,0.5625,0.5625,16,0,0.0,1.0,0,0.0,0.3188966690124444,1,5.0,4.625291989565949e-05,1,1.0,0.4259985695200094,0,3.0,0.8029408197691343,0,0.0,0.6820710021489839,0,0.0,0.7114437478303692
48.0,13,47.0,1.0,6.830390772420388,47,114.0,2.425531914893617,64.0,1.3617021276595744,8,60.0,51.0,6.456537374590799,2.5,2.5,24,0,0.0,1.0,3,27.0,0.3890133638720554,0,5.0,0.2881850882486694,1,2.0,0.2885877649486529,1,10.0,0.8061237256019052,2,12.0,0.288171285613026,1,4.0,0.4574971260932127
56.0,8,19.0,0.38,7.226776473242406,50,167.0,3.34,53.0,1.06,4,54.0,0.0,6.647419249118454,2.4545454545454546,2.4545454545454546,22,0,0.0,1.0,2,18.0,0.0023702488197044,1,10.0,7.08733339001783e-06,0,2.0,0.7153643576507106,0,13.0,0.7546299138287009,0,7.0,0.3752522325892554,1,4.0,3.543899514177035e-05
64.0,9,28.0,0.5,8.367567989276054,56,201.0,3.5892857142857144,34.0,0.6071428571428571,6,34.0,0.0,8.390675626528957,1.7,1.7,20,0,0.0,1.0,0,10.0,0.9386135039979248,0,0.0,1.0,1,3.0,0.4917874605654715,2,12.0,0.5610147791156417,2,9.0,0.6988639256321856,1,0.0,0.0
72.0,8,24.0,0.3934426229508196,7.820808903265602,61,243.0,3.9836065573770494,42.0,0.6885245901639344,3,41.0,7.0,6.728955650487339,1.7083333333333333,1.7083333333333333,24,0,0.0,1.0,0,0.0,1.0,1,10.0,0.6375274957307374,0,0.0,0.7177400587242111,0,18.0,0.4747269199835489,2,13.0,0.3970753271518942,0,0.0,0.7024337577601367
80.0,13,74.0,1.121212121212121,7.121428449651545,66,300.0,4.545454545454546,57.0,0.8636363636363636,4,37.0,0.0,4.902071939848935,2.176470588235294,2.176470588235294,17,0,0.0,1.0,0,3.0,0.963241299756802,0,4.0,0.1605307757763046,1,4.0,0.0,3,4.0,0.3883301161508056,0,19.0,0.2826561681989575,0,3.0,0.8279242865549394
88.0,9,38.0,0.6129032258064516,7.340026727742146,62,343.0,5.532258064516129,43.0,0.6935483870967742,5,42.0,5.0,6.111449792909647,2.0,2.0,21,0,0.0,1.0,0,0.0,1.0,1,1.0,0.621576748133362,0,0.0,0.9973415289401826,3,33.0,0.4764126893437411,1,4.0,0.0380870633223994,0,4.0,0.9513288562968296
96.0,7,22.0,0.3928571428571428,6.823576116355655,56,319.0,5.696428571428571,0.0,0.0,3,65.0,23.0,4.612885399900487,3.611111111111111,3.611111111111111,18,0,0.0,1.0,1,4.0,0.4762874323284309,1,9.0,0.0,0,0.0,0.0106607988541815,0,7.0,0.4602368885168334,1,44.0,0.2990789652351058,0,1.0,0.4296874096855355
104.0,8,46.0,0.8679245283018868,6.619308755908049,53,333.0,6.283018867924528,14.0,0.2641509433962264,3,70.0,5.0,6.281151864078456,4.666666666666667,4.666666666666667,15,0,0.0,1.0,1,12.0,0.6290258754931269,0,0.0,1.0,0,0.0,1.0,2,13.0,0.3231685043655686,0,45.0,0.4748154738217013,0,0.0,1.0
112.0,10,26.0,0.5,7.0638428595439375,52,350.0,6.730769230769231,17.0,0.3269230769230769,4,56.0,0.0,6.1878698751326695,2.6666666666666665,2.6666666666666665,21,0,0.0,1.0,1,4.0,0.361968818304992,1,8.0,0.0001584893024341,0,0.0,1.0,1,26.0,0.6949709879598424,1,18.0,0.2697143699669301,0,0.0,1.0
120.0,10,70.0,1.2280701754385963,7.4283005486169,57,379.0,6.649122807017544,29.0,0.5087719298245614,6,106.0,50.0,7.01903023791727,4.608695652173913,4.608695652173913,23,0,0.0,0.657890778031345,0,14.0,0.9298866862076246,0,6.0,0.6177693757191893,0,0.0,1.0,0,30.0,0.7608937063120462,6,56.0,0.1659028935566382,0,0.0,1.0
128.0,14,121.0,1.9206349206349207,7.162172051489154,63,449.0,7.126984126984127,70.0,1.1111111111111112,13,182.0,76.0,4.228696076072038,6.275862068965517,6.275862068965517,29,1,5.0,0.0,0,0.0,0.8069125929655414,1,10.0,0.0,2,3.0,0.1494292998060761,1,57.0,0.5035646984394144,8,107.0,0.0991180223665741,0,0.0,1.0
136.0,8,39.0,0.65,6.786737248542565,60,404.0,6.733333333333333,0.0,0.0,8,180.0,0.0,4.697610156082437,5.294117647058823,5.294117647058823,34,2,9.0,0.2168555797232361,0,12.0,0.7592221772600608,0,0.0,0.6763085302596159,0,1.0,0.4771518381332704,3,45.0,0.3762822657617659,3,113.0,0.1852506020458814,0,0.0,1.0
144.0,13,42.0,0.6461538461538462,6.956070600654414,65,358.0,5.507692307692308,0.0,0.0,8,106.0,0.0,3.402114508728179,5.047619047619048,5.047619047619048,21,0,1.0,0.2245594179765341,1,5.0,0.0,1,4.0,1.3544488693791224e-05,1,5.0,2.3886929346973965e-05,1,18.0,0.3205566243362046,4,73.0,0.2814643464906353,0,0.0,1.0
152.0,11,92.0,1.373134328358209,8.194799574794082,67,339.0,5.059701492537314,0.0,0.0,10,110.0,4.0,5.2817394808312255,4.230769230769231,4.230769230769231,26,1,1.0,0.289423612675534,0,3.0,0.8761772116332702,0,0.0,1.0,0,0.0,0.0176180599255423,3,31.0,0.1129336186993942,6,75.0,0.3982388415192346,0,0.0,0.4253450637332219
160.0,12,66.0,0.9166666666666666,7.5468747030889745,72,344.0,4.777777777777778,5.0,0.0694444444444444,10,106.0,0.0,3.945740107757793,3.7857142857142856,3.7857142857142856,28,0,0.0,0.4276833610619628,4,12.0,0.3027437452363585,1,3.0,0.4764679047257488,0,0.0,1.0,2,27.0,0.2784655657381968,3,64.0,0.2723370840326906,0,0.0,1.0
168.0,12,48.0,0.75,7.09605382028519,64,327.0,5.109375,0.0,0.0,11,85.0,0.0,4.5627130181099,2.575757575757576,2.575757575757576,33,0,0.0,0.940806174527165,1,6.0,0.4555167955581137,1,7.0,0.2347991871801835,1,1.0,0.2228552915266339,1,10.0,0.6055757866248156,7,61.0,0.1275096399251341,0,0.0,1.0
176.0,9,48.0,0.75,7.8858219349081,64,404.0,6.3125,77.0,1.203125,9,137.0,52.0,4.096040760144384,5.708333333333333,5.708333333333333,24,1,2.0,0.4711348216047572,1,3.0,0.0002015316205037,0,1.0,0.6351458324178222,0,25.0,0.1894813370170321,0,0.0,0.874239219690201,7,106.0,0.1584994885405075,0,0.0,0.1764593464172917
184.0,5,33.0,0.5789473684210527,9.302649827278914,57,384.0,6.7368421052631575,0.0,0.0,5,106.0,0.0,6.60482806860133,5.3,5.3,20,1,3.0,0.4221202429982287,1,2.0,0.0002471489180705,0,10.0,0.9173757735287514,1,2.0,2.528392401636732e-05,0,0.0,1.0,2,89.0,0.3343677512145561,0,0.0,1.0
192.0,4,53.0,1.03921568627451,9.968057565410009,51,343.0,6.725490196078432,0.0,0.0,4,92.0,0.0,7.77948279335086,6.133333333333334,6.133333333333334,15,0,0.0,1.0,0,11.0,0.8500277356788962,0,2.0,0.9305806629349858,0,3.0,0.423035058263204,0,0.0,1.0,4,76.0,0.2786190575976843,0,0.0,1.0
200.0,5,33.0,0.717391304347826,8.837565974387143,46,284.0,6.173913043478261,0.0,0.0,4,49.0,0.0,2.802793400785141,4.454545454545454,4.454545454545454,11,0,0.0,0.2187997762418401,0,0.0,1.0,0,0.0,0.4720143164234295,0,0.0,1.0,0,3.0,0.6701871129835123,4,46.0,0.0540291515255904,0,0.0,1.0
208.0,5,20.0,0.4,10.048334726776442,50,296.0,5.92,12.0,0.24,2,39.0,0.0,10.047488178267852,2.294117647058824,2.294117647058824,17,1,6.0,0.4855872663906878,0,3.0,0.8963451298358893,1,15.0,0.8272825624255623,0,0.0,0.9487830472016714,0,7.0,0.856193521729451,0,5.0,0.1396641078233289,0,3.0,0.7416799783405074
216.0,6,61.0,1.22,9.133432720187615,50,315.0,6.3,19.0,0.38,4,51.0,12.0,6.923445270533332,3.0,3.0,17,1,14.0,0.0,0,0.0,0.6435785140954072,1,16.0,0.5919573713564953,1,5.0,0.3039475025613443,0,6.0,0.926662682543986,1,7.0,0.3520261360871693,0,3.0,0.9484710329117102
