step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,system_cars_present,system_accumulated_waiting_time (100),system_accumulated_mean_waiting_time (100),system_accumulated_waiting_time (delta),system_accumulated_mean_waiting_time (delta),agents_total_stopped,agents_total_accumulated_waiting_time (100),agents_total_accumulated_waiting_time (delta),agents_mean_speed,agents_mean_waiting_time (100),agents_mean_waiting_time (delta),agents_cars_present,Ing7_1_stopped,Ing7_1_accumulated_waiting_time,Ing7_1_average_speed,Ing7_2_stopped,Ing7_2_accumulated_waiting_time,Ing7_2_average_speed,Ing7_3_stopped,Ing7_3_accumulated_waiting_time,Ing7_3_average_speed,Ing7_4_stopped,Ing7_4_accumulated_waiting_time,Ing7_4_average_speed,Ing7_5_stopped,Ing7_5_accumulated_waiting_time,Ing7_5_average_speed,Ing7_6_stopped,Ing7_6_accumulated_waiting_time,Ing7_6_average_speed,Ing7_7_stopped,Ing7_7_accumulated_waiting_time,Ing7_7_average_speed
8.0,0,0.0,0.0,7.373959952237016,6,0.0,0.0,0.0,0.0,0,0.0,0.0,2.136705729691312,0.0,0.0,1,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.1588665765747048,0,0.0,1.0
16.0,3,1.0,0.0666666666666666,5.1997925747046585,15,1.0,0.0666666666666666,1.0,0.0666666666666666,1,1.0,1.0,5.0813636623750975,0.25,0.25,4,0,0.0,1.0,0,0.0,1.0,1,1.0,0.0062050546985866,0,0.0,1.0,0,0.0,1.0,0,0.0,0.4691829649137695,0,0.0,1.0
24.0,2,0.0,0.0,7.6276555037638145,23,8.0,0.3478260869565217,7.0,0.3043478260869565,0,3.0,2.0,8.701778366446097,0.5,0.5,6,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,3.0,0.8501951100792866,0,0.0,0.566982739463118,0,0.0,1.0
32.0,1,3.0,0.09375,8.119095977995888,32,14.0,0.4375,6.0,0.1875,1,6.0,3.0,7.825357634939559,0.75,0.75,8,0,0.0,1.0,0,0.0,1.0,1,3.0,1.711192453639778e-05,0,0.0,1.0,0,3.0,0.9480180496408246,0,0.0,0.6300965994281057,0,0.0,1.0
40.0,4,8.0,0.1904761904761904,8.618107752433108,42,30.0,0.7142857142857143,16.0,0.3809523809523809,2,8.0,2.0,9.461046457167823,0.3333333333333333,0.3333333333333333,24,0,0.0,1.0,1,4.0,0.5827491584466503,0,0.0,1.0,1,1.0,0.3311498140266554,0,3.0,0.8607143575171897,0,0.0,0.7281946346026716,0,0.0,0.7768250496197299
48.0,11,26.0,0.5306122448979592,6.749267622528111,49,63.0,1.2857142857142858,33.0,0.673469387755102,7,24.0,16.0,5.6801300134852415,1.263157894736842,1.263157894736842,19,0,0.0,1.0,1,6.0,0.1068201247108238,1,6.0,0.0,0,0.0,0.7110623971337762,0,1.0,0.7944559005324716,5,11.0,0.2855743071267695,0,0.0,0.3606309474641266
56.0,3,2.0,0.04,8.543156778561656,50,100.0,2.0,37.0,0.74,1,14.0,0.0,7.66442510609022,1.0,1.0,14,0,0.0,1.0,0,8.0,0.9560329365423768,0,0.0,1.0,0,0.0,0.469695072409074,0,1.0,0.949472026020524,1,5.0,0.2943785134528327,0,0.0,1.0
64.0,6,21.0,0.3888888888888889,8.710162462658912,54,118.0,2.185185185185185,18.0,0.3333333333333333,5,48.0,34.0,7.581809542683738,2.1818181818181817,2.1818181818181817,22,0,0.0,1.0,0,0.0,1.0,0,3.0,0.9590405686655168,1,3.0,0.0001742817452,0,12.0,0.8086893376238279,3,30.0,0.4214827064993711,1,0.0,0.3607640817629833
72.0,7,15.0,0.25,7.661945758223822,60,161.0,2.683333333333333,43.0,0.7166666666666667,4,42.0,0.0,6.880667731517076,1.68,1.68,25,0,0.0,0.9053184269659008,0,3.0,0.9356429801803792,1,3.0,3.263175461140421e-05,1,1.0,0.460977622909509,0,6.0,0.5864593634178084,2,29.0,0.2758798396303717,0,0.0,0.8116546947159085
80.0,12,54.0,0.84375,7.318767626717215,64,208.0,3.25,47.0,0.734375,2,17.0,0.0,6.944477325732141,0.8947368421052632,0.8947368421052632,19,0,0.0,0.9630549428710424,0,0.0,1.0,0,0.0,0.0153742392476198,0,0.0,1.0,0,3.0,0.9058844472542232,2,14.0,0.3672010378726619,0,0.0,0.1933167156758582
