step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,system_cars_present,system_accumulated_waiting_time (100),system_accumulated_mean_waiting_time (100),system_accumulated_waiting_time (delta),system_accumulated_mean_waiting_time (delta),agents_total_stopped,agents_total_accumulated_waiting_time (100),agents_total_accumulated_waiting_time (delta),agents_mean_speed,agents_mean_waiting_time (100),agents_mean_waiting_time (delta),agents_cars_present,Ing7_1_stopped,Ing7_1_accumulated_waiting_time,Ing7_1_average_speed,Ing7_2_stopped,Ing7_2_accumulated_waiting_time,Ing7_2_average_speed,Ing7_3_stopped,Ing7_3_accumulated_waiting_time,Ing7_3_average_speed,Ing7_4_stopped,Ing7_4_accumulated_waiting_time,Ing7_4_average_speed,Ing7_5_stopped,Ing7_5_accumulated_waiting_time,Ing7_5_average_speed,Ing7_6_stopped,Ing7_6_accumulated_waiting_time,Ing7_6_average_speed,Ing7_7_stopped,Ing7_7_accumulated_waiting_time,Ing7_7_average_speed
8.0,0,0.0,0.0,6.326983098802157,6,0.0,0.0,0.0,0.0,0,0.0,0.0,1.4909465490374714,0.0,0.0,1,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.0930958927715079,0,0.0,1.0
16.0,2,0.0,0.0,5.718603193228628,15,0.0,0.0,0.0,0.0,0,0.0,0.0,5.155393382188311,0.0,0.0,3,0,0.0,1.0,0,0.0,1.0,0,0.0,0.0711066937396698,0,0.0,1.0,0,0.0,0.4879852383107685,0,0.0,0.4830289105054418,0,0.0,1.0
24.0,4,10.0,0.4347826086956521,7.642914789504497,23,11.0,0.4782608695652174,11.0,0.4782608695652174,1,6.0,6.0,9.85888836469581,1.0,1.0,6,0,0.0,1.0,0,0.0,1.0,1,6.0,0.0,0,0.0,1.0,0,0.0,0.892127903832824,0,0.0,0.6884217483921702,0,0.0,1.0
32.0,0,0.0,0.0,8.753330477864923,33,21.0,0.6363636363636364,10.0,0.303030303030303,0,2.0,0.0,10.279370576584062,0.1818181818181818,0.1818181818181818,11,0,0.0,1.0,0,0.0,1.0,0,2.0,0.2557317098456012,0,0.0,1.0,0,0.0,0.7733119224853707,0,0.0,0.7013102282909591,0,0.0,1.0
40.0,9,20.0,0.4761904761904761,6.957959947029097,42,41.0,0.9761904761904762,20.0,0.4761904761904761,5,19.0,17.0,6.344348638429338,1.0555555555555556,1.0555555555555556,18,0,0.0,0.7112224935865363,0,0.0,0.9617510933007734,1,7.0,5.502609959622829e-05,0,0.0,0.8183917285875467,0,0.0,0.3820456214880011,4,12.0,0.3547559133436031,0,0.0,0.5744126930713619
48.0,6,4.0,0.0816326530612244,7.950000462400991,49,69.0,1.4081632653061225,28.0,0.5714285714285714,1,12.0,0.0,8.655551929828093,1.0,1.0,12,0,0.0,1.0,0,11.0,0.9162433491768762,0,0.0,1.0,0,0.0,0.8527332880429712,0,0.0,0.9352873463337366,1,1.0,0.4745685434519177,0,0.0,1.0
56.0,6,31.0,0.6326530612244898,8.97198048389405,49,108.0,2.204081632653061,39.0,0.7959183673469388,5,38.0,26.0,8.348779160567405,1.5833333333333333,1.5833333333333333,24,0,0.0,0.8547458870253221,0,0.0,1.0,1,11.0,0.4574530918843141,0,0.0,0.9551527770972192,0,10.0,0.8886756123993289,4,17.0,0.3341040110907069,0,0.0,1.0
64.0,6,25.0,0.4464285714285714,8.409766682186172,56,143.0,2.5535714285714284,35.0,0.625,5,38.0,0.0,7.301826446655898,1.7272727272727273,1.7272727272727273,22,0,0.0,1.0,0,11.0,0.7826283424156236,1,2.0,0.4485997279022347,1,2.0,0.3500306742868527,0,7.0,0.778670140646309,2,16.0,0.4605825518513297,1,0.0,0.0
72.0,10,39.0,0.6290322580645161,7.347525114583414,62,192.0,3.096774193548387,49.0,0.7903225806451613,4,43.0,5.0,6.996812600381663,1.72,1.72,25,1,3.0,0.0558859276738238,0,0.0,1.0,1,2.0,0.0006203631498696,0,0.0,0.6270951356266696,0,16.0,0.7985431528599235,2,22.0,0.2127096554684979,0,0.0,0.7599287148700229
80.0,8,18.0,0.2686567164179104,7.317020177827516,67,232.0,3.462686567164179,40.0,0.5970149253731343,6,55.0,12.0,4.745708369735764,2.391304347826087,2.391304347826087,23,0,0.0,1.0,0,3.0,0.971148506560044,0,0.0,0.607910154930292,1,2.0,0.2563510827555949,0,5.0,0.422104753344153,4,43.0,0.2534156906903483,1,2.0,0.0005804704660825
88.0,13,37.0,0.5692307692307692,5.721785504155549,65,259.0,3.9846153846153847,27.0,0.4153846153846154,5,52.0,0.0,2.9702377321723423,2.0,2.0,26,1,3.0,0.0130022823929181,1,7.0,3.838454954119277e-05,0,0.0,0.5210251626003662,0,0.0,1.0,2,5.0,0.1354265799949626,1,34.0,0.2026792674600712,0,3.0,0.9054436377581834
