step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,system_cars_present,system_accumulated_waiting_time (100),system_accumulated_mean_waiting_time (100),system_accumulated_waiting_time (delta),system_accumulated_mean_waiting_time (delta),agents_total_stopped,agents_total_accumulated_waiting_time (100),agents_total_accumulated_waiting_time (delta),agents_mean_speed,agents_mean_waiting_time (100),agents_mean_waiting_time (delta),agents_cars_present,Ing7_1_stopped,Ing7_1_accumulated_waiting_time,Ing7_1_average_speed,Ing7_2_stopped,Ing7_2_accumulated_waiting_time,Ing7_2_average_speed,Ing7_3_stopped,Ing7_3_accumulated_waiting_time,Ing7_3_average_speed,Ing7_4_stopped,Ing7_4_accumulated_waiting_time,Ing7_4_average_speed,Ing7_5_stopped,Ing7_5_accumulated_waiting_time,Ing7_5_average_speed,Ing7_6_stopped,Ing7_6_accumulated_waiting_time,Ing7_6_average_speed,Ing7_7_stopped,Ing7_7_accumulated_waiting_time,Ing7_7_average_speed
8.0,0,0.0,0.0,7.029971105415218,6,0.0,0.0,0.0,0.0,0,0.0,0.0,1.5144242414040492,0.0,0.0,1,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.1261189392657627,0,0.0,1.0
16.0,2,0.0,0.0,5.659868029895715,15,0.0,0.0,0.0,0.0,0,0.0,0.0,4.882348234915249,0.0,0.0,3,0,0.0,1.0,0,0.0,1.0,0,0.0,0.0130418367262832,0,0.0,1.0,0,0.0,0.4668303289711277,0,0.0,0.6148466554661799,0,0.0,1.0
24.0,2,0.0,0.0,8.219511129903475,23,5.0,0.217391304347826,5.0,0.217391304347826,0,0.0,0.0,12.609190514673127,0.0,0.0,4,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9688048096827362,0,0.0,0.9749711711791874,0,0.0,1.0
32.0,3,9.0,0.28125,8.257685161866522,32,14.0,0.4375,9.0,0.28125,1,5.0,5.0,9.05264322852486,0.4545454545454545,0.4545454545454545,11,0,0.0,1.0,0,0.0,1.0,1,5.0,0.0,0,0.0,1.0,0,0.0,0.8759067467277998,0,0.0,0.642453023663769,0,0.0,1.0
40.0,3,6.0,0.1395348837209302,7.9469331703896575,43,31.0,0.7209302325581395,17.0,0.3953488372093023,2,9.0,4.0,7.149467307742417,0.4285714285714285,0.4285714285714285,21,0,0.0,1.0,0,1.0,0.4860663721231404,0,2.0,0.3338108011765362,1,2.0,0.3009596009765956,0,0.0,0.7603038214510478,1,4.0,0.5274498989937348,0,0.0,0.601024901140118
48.0,4,7.0,0.1458333333333333,8.11245928141219,48,50.0,1.0416666666666667,19.0,0.3958333333333333,1,12.0,3.0,8.206499598828628,0.8571428571428571,0.8571428571428571,14,0,0.0,1.0,0,1.0,0.0534959794760621,0,0.0,1.0,0,0.0,0.6413221971375173,0,6.0,0.8415249702684218,1,5.0,0.5717818430149519,0,0.0,1.0
56.0,5,18.0,0.375,9.054829343990646,48,80.0,1.6666666666666667,30.0,0.625,5,43.0,31.0,7.815419860929199,1.9545454545454544,1.9545454545454544,22,0,0.0,1.0,0,9.0,0.9569277757390336,0,0.0,1.0,0,0.0,0.4387224811364611,0,16.0,0.875134584758162,5,18.0,0.1535067763638607,0,0.0,0.9987091859895042
64.0,7,11.0,0.1964285714285714,8.810038315345121,56,118.0,2.107142857142857,38.0,0.6785714285714286,4,30.0,0.0,8.244751641442196,1.5789473684210529,1.5789473684210529,19,0,0.0,1.0,0,0.0,1.0,0,2.0,0.9677682409277502,2,6.0,0.3182076399830718,0,6.0,0.865779735044276,1,16.0,0.5614091746675438,1,0.0,0.0
72.0,11,43.0,0.7166666666666667,7.910495960050962,60,173.0,2.8833333333333333,55.0,0.9166666666666666,5,32.0,2.0,8.033355062229505,1.3333333333333333,1.3333333333333333,24,0,0.0,1.0,0,0.0,1.0,1,1.0,0.4742823081756967,1,1.0,0.0278071113030422,0,9.0,0.8260838906709952,3,21.0,0.2438194348511471,0,0.0,0.7996380660548755
80.0,17,96.0,1.5,6.284266237234929,64,260.0,4.0625,87.0,1.359375,9,64.0,32.0,4.843271536361526,2.6666666666666665,2.6666666666666665,24,0,0.0,0.9331172734660448,0,0.0,1.0,1,3.0,0.0,0,0.0,0.6525251322366612,0,1.0,0.4659462049057317,7,59.0,0.2377716373661529,1,1.0,0.0508692702864869
