step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,system_cars_present,system_accumulated_waiting_time (100),system_accumulated_mean_waiting_time (100),system_accumulated_waiting_time (delta),system_accumulated_mean_waiting_time (delta),agents_total_stopped,agents_total_accumulated_waiting_time (100),agents_total_accumulated_waiting_time (delta),agents_mean_speed,agents_mean_waiting_time (100),agents_mean_waiting_time (delta),agents_cars_present,Col1_1_stopped,Col1_1_accumulated_waiting_time,Col1_1_average_speed
8.0,1,0.0,0.0,5.4636110218474645,2,0.0,0.0,0.0,0.0,0,0.0,0.0,10.927222043694929,0.0,0.0,1,0,0.0,0.6897221211484519
16.0,0,0.0,0.0,10.908752060376164,3,0.0,0.0,0.0,0.0,0,0.0,0.0,8.857113367598505,0.0,0.0,1,0,0.0,0.6838189271583124
24.0,2,2.0,0.2857142857142857,6.180505759310063,7,2.0,0.2857142857142857,2.0,0.2857142857142857,2,2.0,2.0,4.841001876454377,0.3333333333333333,0.3333333333333333,6,2,2.0,0.32145931437528125
32.0,0,0.0,0.0,10.291334180296317,7,5.0,0.7142857142857143,3.0,0.42857142857142855,0,0.0,0.0,11.900809747498167,0.0,0.0,5,0,0.0,0.7478821471939894
40.0,1,5.0,0.625,11.842425022206974,8,5.0,0.625,0.0,0.0,1,5.0,5.0,10.915396415842427,1.0,1.0,5,1,5.0,0.747920177547123
48.0,0,0.0,0.0,8.5679342115829,10,8.0,0.8,3.0,0.3,0,0.0,0.0,9.148755154705086,0.0,0.0,7,0,0.0,0.6050118576483072
56.0,0,0.0,0.0,10.379426680948585,11,11.0,1.0,3.0,0.2727272727272727,0,0.0,0.0,8.460025323704278,0.0,0.0,6,0,0.0,0.5195116417767318
64.0,1,7.0,0.7777777777777778,7.621453244847714,9,10.0,1.1111111111111112,0.0,0.0,1,7.0,7.0,6.346178778862836,1.1666666666666667,1.1666666666666667,6,1,7.0,0.3701949216443166
72.0,3,21.0,2.1,9.222324671587225,10,24.0,2.4,14.0,1.4,3,21.0,14.0,5.86913480860012,3.0,3.0,7,3,21.0,0.2997909575545758
80.0,2,3.0,0.23076923076923078,8.070465566841992,13,35.0,2.6923076923076925,11.0,0.8461538461538461,2,4.0,0.0,6.990867811004788,0.4,0.4,10,2,4.0,0.4550301218874761
