step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,system_cars_present,system_accumulated_waiting_time (100),system_accumulated_mean_waiting_time (100),system_accumulated_waiting_time (delta),system_accumulated_mean_waiting_time (delta),agents_total_stopped,agents_total_accumulated_waiting_time (100),agents_total_accumulated_waiting_time (delta),agents_mean_speed,agents_mean_waiting_time (100),agents_mean_waiting_time (delta),agents_cars_present,Col3_1_stopped,Col3_1_accumulated_waiting_time,Col3_1_average_speed,Col3_2_stopped,Col3_2_accumulated_waiting_time,Col3_2_average_speed,Col3_3_stopped,Col3_3_accumulated_waiting_time,Col3_3_average_speed
8.0,1,0.0,0.0,5.116047790343873,4,0.0,0.0,0.0,0.0,1,0.0,0.0,4.505369043862447,0.0,0.0,2,0,0.0,1.0,0,0.0,1.0,1,0.0,0.32681171013431887
16.0,0,0.0,0.0,6.987425676666406,11,0.0,0.0,0.0,0.0,0,0.0,0.0,5.534605874123309,0.0,0.0,4,0,0.0,1.0,0,0.0,0.5441151954828871,0,0.0,0.5254995988816908
24.0,1,0.0,0.0,8.268227267385333,17,2.0,0.11764705882352941,2.0,0.11764705882352941,0,0.0,0.0,5.957537269423502,0.0,0.0,3,0,0.0,0.09166500145497665,0,0.0,0.9368409172931258,0,0.0,1.0
32.0,3,1.0,0.041666666666666664,8.870191751883025,24,3.0,0.125,1.0,0.041666666666666664,0,0.0,0.0,6.597195025063873,0.0,0.0,3,0,0.0,0.44825236085965625,0,0.0,0.7206093170193927,0,0.0,1.0
40.0,6,11.0,0.36666666666666664,8.233932561356191,30,18.0,0.6,15.0,0.5,4,3.0,3.0,4.288266789460461,0.42857142857142855,0.42857142857142855,7,3,3.0,0.23079916620982088,1,0.0,0.4782278733287056,0,0.0,0.7573274355119258
48.0,8,30.0,0.75,8.081626385637355,40,43.0,1.075,25.0,0.625,4,5.0,2.0,6.777612329379963,0.38461538461538464,0.38461538461538464,13,1,0.0,0.6006798375941748,2,5.0,0.49555830932521294,1,0.0,0.0037573654018968994
56.0,8,66.0,1.5714285714285714,8.698323409801857,42,90.0,2.142857142857143,47.0,1.119047619047619,3,8.0,3.0,3.5142446107836753,1.1428571428571428,1.1428571428571428,7,2,7.0,0.1626178452099093,1,1.0,0.4445815598348503,0,0.0,0.9229935211051468
64.0,5,62.0,1.2916666666666667,9.3759868205844,48,141.0,2.9375,51.0,1.0625,0,0.0,0.0,11.693532250328497,0.0,0.0,11,0,0.0,0.8719477110130938,0,0.0,0.9043386659387534,0,0.0,0.8952938909132417
72.0,7,35.0,0.6481481481481481,9.389564133048152,54,162.0,3.0,21.0,0.3888888888888889,2,37.0,37.0,7.399955839372036,2.8461538461538463,2.8461538461538463,13,0,28.0,0.579042659983127,1,9.0,0.5125667967629599,1,0.0,0.6404032932936501
80.0,7,67.0,1.1964285714285714,8.976464168627468,56,209.0,3.732142857142857,47.0,0.8392857142857143,4,56.0,19.0,7.2992024382084155,3.5,3.5,16,1,11.0,0.5628855201080963,3,45.0,0.4870253635962848,0,0.0,0.7534194484547406
88.0,7,76.0,1.3571428571428572,7.918907438961862,56,261.0,4.660714285714286,52.0,0.9285714285714286,4,37.0,0.0,5.4730886136893115,1.9473684210526316,1.9473684210526316,19,2,13.0,0.011311034882375311,2,24.0,0.5059488557509467,0,0.0,0.6657529008600166
96.0,6,80.0,1.4035087719298245,8.064969914975801,57,270.0,4.7368421052631575,9.0,0.15789473684210525,1,19.0,0.0,6.87731501851925,1.3571428571428572,1.3571428571428572,14,0,10.0,0.7396280305860528,1,9.0,0.4562654971965782,0,0.0,0.36770574976135467
104.0,8,26.0,0.4727272727272727,8.417707897179344,55,304.0,5.527272727272727,34.0,0.6181818181818182,5,41.0,22.0,4.697311078379127,3.4166666666666665,3.4166666666666665,12,1,23.0,0.4169536423811139,4,18.0,0.21023381236226715,0,0.0,0.927824132879223
112.0,11,57.0,0.9661016949152542,8.652600144071785,59,310.0,5.254237288135593,6.0,0.1016949152542373,2,54.0,13.0,6.659049677931069,4.909090909090909,4.909090909090909,11,1,7.0,0.3958430759215662,1,47.0,0.40459063981887894,0,0.0,0.9633779984743187
120.0,10,117.0,1.8870967741935485,8.64753192336387,62,355.0,5.725806451612903,45.0,0.7258064516129032,3,68.0,14.0,7.179338016622053,4.0,4.0,17,1,7.0,0.5778132164527263,2,61.0,0.5108366830918759,0,0.0,0.586749513490837
128.0,6,88.0,1.4666666666666666,8.274458411140065,60,365.0,6.083333333333333,10.0,0.16666666666666666,2,17.0,0.0,7.524034395454218,1.2142857142857142,1.2142857142857142,14,1,14.0,0.5907592669865067,1,3.0,0.607114909776324,0,0.0,0.5519129285804543
136.0,13,143.0,2.1666666666666665,7.704807533207671,66,427.0,6.46969696969697,62.0,0.9393939393939394,4,94.0,77.0,5.907552063972746,5.222222222222222,5.222222222222222,18,2,66.0,0.5019567496946123,2,28.0,0.4361561893442614,0,0.0,0.2738061225363791
144.0,14,193.0,3.015625,7.706657285566973,64,476.0,7.4375,49.0,0.765625,5,36.0,0.0,4.979813341964632,3.0,3.0,12,3,31.0,0.3694734617995455,2,5.0,0.29869507970447223,0,0.0,0.8927904739825546
152.0,13,122.0,1.8484848484848484,6.7311179742231895,66,546.0,8.272727272727273,70.0,1.0606060606060606,2,24.0,0.0,5.77066528778014,1.3333333333333333,1.3333333333333333,18,0,9.0,0.3237198839448397,1,12.0,0.4579294698748739,1,3.0,0.5952649451531955
160.0,11,63.0,0.9130434782608695,8.79212159366403,69,582.0,8.434782608695652,36.0,0.5217391304347826,5,89.0,65.0,6.8708824781082205,5.235294117647059,5.235294117647059,17,4,67.0,0.3230134027637287,1,19.0,0.551224913048514,0,3.0,0.9418887998636957
168.0,11,106.0,1.6825396825396826,8.205208557232497,63,503.0,7.984126984126984,0.0,0.0,3,178.0,89.0,6.673305247041423,11.866666666666667,11.866666666666667,15,1,64.0,0.409011989641527,2,92.0,0.433687558660158,0,22.0,0.8203839460940759
176.0,14,150.0,2.34375,7.893176861461613,64,575.0,8.984375,72.0,1.125,7,41.0,0.0,6.365443143915288,2.411764705882353,2.411764705882353,17,4,30.0,0.33658741455581564,1,4.0,0.7004297212340947,2,7.0,0.6373657294129667
184.0,10,180.0,3.0,7.584919119890752,60,568.0,9.466666666666667,0.0,0.0,4,66.0,25.0,6.020113071359827,3.473684210526316,3.473684210526316,19,0,13.0,0.3030308791849059,2,40.0,0.6367041438841756,2,13.0,0.602345042424983
192.0,10,133.0,2.418181818181818,8.137135000697276,55,579.0,10.527272727272727,11.0,0.2,5,96.0,30.0,6.084949713735016,6.4,6.4,15,2,59.0,0.5110039614139974,2,31.0,0.5181870791898174,1,6.0,0.005966992103092371
200.0,5,11.0,0.2,8.372240875859383,55,544.0,9.89090909090909,0.0,0.0,3,120.0,24.0,4.530809513016269,15.0,15.0,8,1,53.0,0.35770198409118814,2,67.0,0.3367589187379009,0,0.0,1.0
208.0,9,42.0,0.8235294117647058,8.519034209926673,51,497.0,9.745098039215685,0.0,0.0,3,78.0,0.0,7.868080880147548,7.090909090909091,7.090909090909091,11,2,63.0,0.5413345040222605,1,15.0,0.6304907345837896,0,0.0,0.8445869058968742
216.0,8,76.0,1.52,7.9117343860119345,50,515.0,10.3,18.0,0.36,3,78.0,0.0,7.044482496538313,5.2,5.2,15,1,54.0,0.45782319682379047,2,21.0,0.46510156042543954,0,3.0,0.7845209534151726
224.0,16,135.0,2.4107142857142856,6.729480056627589,56,505.0,9.017857142857142,0.0,0.0,9,54.0,0.0,4.224696698287969,2.7,2.7,20,4,13.0,0.20955199240581512,4,35.0,0.38340108390832034,1,6.0,0.45918862186673504
232.0,10,67.0,1.2181818181818183,7.586243664514248,55,464.0,8.436363636363636,0.0,0.0,4,21.0,0.0,6.0958236901333205,1.4,1.4,15,2,6.0,0.32630535302910507,1,8.0,0.6420792462284486,1,7.0,0.25380790431745176
240.0,11,84.0,1.4736842105263157,8.109828592108606,57,492.0,8.631578947368421,28.0,0.49122807017543857,4,83.0,62.0,6.097072296547102,8.3,8.3,10,2,7.0,0.30560795553766856,2,76.0,0.6093798208800477,0,0.0,0.4993208623895401
248.0,14,147.0,2.672727272727273,7.721295255324142,55,541.0,9.836363636363636,49.0,0.8909090909090909,5,17.0,0.0,6.28140750275642,1.4166666666666667,1.4166666666666667,12,2,8.0,0.5127424738559185,3,9.0,0.4078872433656873,0,0.0,1.0
256.0,10,138.0,2.76,8.14589034421854,50,572.0,11.44,31.0,0.62,2,32.0,15.0,7.3651200168958635,3.2,3.2,10,2,7.0,0.2660204684687348,0,25.0,0.7386745845285381,0,0.0,0.90060164455657
264.0,12,57.0,1.1176470588235294,6.713350786985283,51,636.0,12.470588235294118,64.0,1.2549019607843137,4,136.0,104.0,7.036178641092882,9.066666666666666,9.066666666666666,15,2,93.0,0.4518357411724758,2,39.0,0.31356901024804623,0,4.0,0.9604831715394477
272.0,14,141.0,2.517857142857143,7.285368694928141,56,726.0,12.964285714285714,90.0,1.6071428571428572,4,37.0,0.0,6.204940972741886,2.466666666666667,2.466666666666667,15,2,15.0,0.432455121175796,2,19.0,0.5506986293929577,0,3.0,0.44109690199819546
280.0,13,144.0,2.3225806451612905,8.157756177019468,62,803.0,12.951612903225806,77.0,1.2419354838709677,4,101.0,64.0,7.163115359942577,5.315789473684211,5.315789473684211,19,1,26.0,0.4646779973829542,3,72.0,0.46227549156754066,0,3.0,0.8045024451459017
288.0,7,65.0,1.1016949152542372,8.47150166266193,59,787.0,13.338983050847459,0.0,0.0,2,108.0,7.0,6.8212796502453035,8.307692307692308,8.307692307692308,13,1,9.0,0.5747069159399375,1,87.0,0.5987328742990558,0,12.0,0.5227719543265021
296.0,10,47.0,0.8245614035087719,8.067461439385033,57,704.0,12.350877192982455,0.0,0.0,7,291.0,183.0,5.680066389530888,17.11764705882353,17.11764705882353,17,3,54.0,0.3964528625868518,3,228.0,0.4779531433425953,1,9.0,0.6397094335826005
304.0,8,71.0,1.3396226415094339,8.14941962321333,53,600.0,11.320754716981131,0.0,0.0,1,141.0,0.0,7.239915706230783,10.071428571428571,10.071428571428571,14,0,0.0,0.5141407749131593,0,134.0,0.5326520518401219,1,7.0,0.6284698136543504
312.0,12,139.0,2.3559322033898304,7.686433763092478,59,666.0,11.288135593220339,66.0,1.11864406779661,5,199.0,58.0,5.552269405829679,9.95,9.95,20,2,47.0,0.34341281018300684,3,146.0,0.3131470365918053,0,6.0,0.6539334794048555
320.0,11,201.0,3.140625,8.062161089965937,64,723.0,11.296875,57.0,0.890625,2,19.0,0.0,7.2780074494250755,1.0555555555555556,1.0555555555555556,18,2,9.0,0.17123733149234877,0,7.0,0.42140354396628416,0,3.0,0.8579664736615542
328.0,14,283.0,4.796610169491525,7.376455459969111,59,780.0,13.220338983050848,57.0,0.9661016949152542,4,19.0,0.0,5.581694762597942,1.3571428571428572,1.3571428571428572,14,0,0.0,0.5962819009246705,4,19.0,0.23240053535678593,0,0.0,0.6449443880526158
336.0,14,350.0,6.363636363636363,7.950372284891954,55,764.0,13.89090909090909,0.0,0.0,3,22.0,3.0,8.578749717538319,1.8333333333333333,1.8333333333333333,12,3,12.0,0.3807083810889089,0,0.0,0.6210172848030189,0,10.0,0.928460015146204
344.0,9,176.0,3.2,7.498082958539317,55,809.0,14.709090909090909,45.0,0.8181818181818182,3,18.0,0.0,5.665739034663949,1.3846153846153846,1.3846153846153846,13,1,10.0,0.3405418644491439,2,4.0,0.422564187115201,0,4.0,0.9141824005879402
352.0,13,81.0,1.5,7.435375634495398,54,723.0,13.38888888888889,0.0,0.0,1,83.0,65.0,6.5978266448069505,6.916666666666667,6.916666666666667,12,0,0.0,0.4914764547370993,0,71.0,0.6336959170922433,1,12.0,0.38118039570988643
360.0,14,134.0,2.310344827586207,7.474033098372493,58,801.0,13.810344827586206,78.0,1.3448275862068966,4,77.0,0.0,5.638503770186681,6.416666666666667,6.416666666666667,12,0,0.0,0.2504349050666716,3,77.0,0.4924403117401101,1,0.0,0.49693432204554316
368.0,14,190.0,3.1147540983606556,7.871796923454999,61,901.0,14.770491803278688,100.0,1.639344262295082,3,134.0,57.0,7.896585243951599,7.444444444444445,7.444444444444445,18,0,9.0,0.8514354572327167,2,40.0,0.5517668521237662,1,85.0,0.4694451419730552
376.0,15,162.0,2.53125,7.032530861451198,64,959.0,14.984375,58.0,0.90625,5,143.0,9.0,5.137899718763189,7.15,7.15,20,2,9.0,0.40635842792142823,3,130.0,0.2571650891501506,0,4.0,0.7135009942380025
384.0,16,225.0,3.409090909090909,7.463772710586009,66,1071.0,16.227272727272727,112.0,1.696969696969697,0,177.0,34.0,8.906270894747157,12.642857142857142,12.642857142857142,14,0,94.0,0.506233440809868,0,80.0,0.7292735283831707,0,3.0,0.8153710047646123
392.0,14,224.0,3.2,7.691447690148865,70,1048.0,14.971428571428572,0.0,0.0,3,118.0,0.0,7.99875498292537,8.428571428571429,8.428571428571429,14,1,9.0,0.630081154111346,2,109.0,0.47965757599071046,0,0.0,0.5494917552807166
400.0,12,122.0,1.6486486486486487,7.811012592959881,74,1124.0,15.18918918918919,76.0,1.027027027027027,2,16.0,0.0,6.643660817002031,1.2307692307692308,1.2307692307692308,13,0,9.0,0.5068740885770294,2,5.0,0.5192832389709413,0,2.0,0.5547384179257474
408.0,12,150.0,1.9230769230769231,7.772232049850749,78,1100.0,14.102564102564102,0.0,0.0,1,86.0,70.0,7.730767460891985,5.0588235294117645,5.0588235294117645,17,1,15.0,0.5646545221359544,0,71.0,0.5522134440973012,0,0.0,0.7609817117020926
416.0,23,153.0,2.013157894736842,6.562400705013427,76,1032.0,13.578947368421053,0.0,0.0,9,140.0,54.0,4.030129819199673,7.777777777777778,7.777777777777778,18,4,23.0,0.23391341735341778,5,114.0,0.24761218636169546,0,3.0,0.6280315044868227
424.0,19,157.0,2.211267605633803,6.378297940795229,71,1045.0,14.71830985915493,13.0,0.18309859154929578,5,103.0,0.0,5.617722058825081,6.0588235294117645,6.0588235294117645,17,3,79.0,0.43045668285343436,2,24.0,0.3813356868513862,0,0.0,0.03507811244844272
432.0,16,146.0,2.1159420289855073,7.306074115293571,69,999.0,14.478260869565217,0.0,0.0,5,117.0,14.0,6.301444714528577,7.3125,7.3125,16,4,85.0,0.4231768522675372,1,32.0,0.5221075455433549,0,0.0,0.9596581034429436
440.0,22,254.0,3.3421052631578947,6.664913023872633,76,1083.0,14.25,84.0,1.105263157894737,7,183.0,66.0,5.277449282518158,9.631578947368421,9.631578947368421,19,3,18.0,0.30752085887202035,4,165.0,0.5470763620563553,0,0.0,1.0
448.0,23,391.0,5.283783783783784,6.4450148526767,74,1227.0,16.58108108108108,144.0,1.945945945945946,3,63.0,0.0,7.039873818517671,3.7058823529411766,3.7058823529411766,17,2,29.0,0.4122571620866668,1,31.0,0.5731145193686092,0,3.0,0.5613400586222586
456.0,22,407.0,5.732394366197183,5.754604376605579,71,1214.0,17.098591549295776,0.0,0.0,5,112.0,49.0,4.060148753047665,7.466666666666667,7.466666666666667,15,0,77.0,0.4994244564470478,3,31.0,0.21735637491706553,2,4.0,0.39301696561714944
464.0,14,224.0,3.2,7.203689932773043,70,1276.0,18.228571428571428,62.0,0.8857142857142857,6,164.0,52.0,6.47395429688472,9.647058823529411,9.647058823529411,17,2,86.0,0.5896493991768095,4,78.0,0.22520624017782728,0,0.0,0.9652293782937492
472.0,14,84.0,1.2923076923076924,6.799792520737245,65,1276.0,19.630769230769232,0.0,0.0,3,351.0,187.0,4.659952914013856,21.9375,21.9375,16,2,86.0,0.2676914277612987,1,265.0,0.39629286181429924,0,0.0,0.8750945589021761
480.0,18,154.0,2.3333333333333335,6.782858767112365,66,1299.0,19.681818181818183,23.0,0.3484848484848485,5,86.0,0.0,6.127305876278981,5.0588235294117645,5.0588235294117645,17,3,57.0,0.41662809427548786,1,26.0,0.5850008077936889,1,3.0,0.04942016206492356
488.0,14,193.0,2.6805555555555554,7.442561527403718,72,1391.0,19.319444444444443,92.0,1.2777777777777777,5,324.0,238.0,6.105232684228378,20.25,20.25,16,5,187.0,0.126779555313769,0,134.0,0.9434946405793376,0,3.0,0.7271133354906476
496.0,17,264.0,3.7714285714285714,7.776575886078239,70,1348.0,19.257142857142856,0.0,0.0,5,309.0,0.0,6.852134893576439,19.3125,19.3125,16,3,218.0,0.28716511975052483,2,88.0,0.44075337691764743,0,3.0,0.9447009623916844
504.0,16,202.0,2.8857142857142857,7.345052358227865,70,1443.0,20.614285714285714,95.0,1.3571428571428572,4,274.0,0.0,7.327834845393545,21.076923076923077,21.076923076923077,13,3,268.0,0.4533054271628043,1,6.0,0.6097881790156775,0,0.0,0.8702393138952658
512.0,12,207.0,3.2857142857142856,7.442764171705504,63,1444.0,22.92063492063492,1.0,0.015873015873015872,2,23.0,0.0,8.740093982882671,1.7692307692307692,1.7692307692307692,13,1,9.0,0.46157650385908705,1,14.0,0.7564323254891653,0,0.0,0.95842560126513
520.0,17,282.0,4.862068965517241,6.793084731898554,58,1276.0,22.0,0.0,0.0,6,96.0,73.0,5.061011370625439,8.0,8.0,12,3,20.0,0.1535741949008338,2,69.0,0.47271715156035704,1,7.0,0.6375165749085481
528.0,18,365.0,6.186440677966102,7.283031370167261,59,1205.0,20.423728813559322,0.0,0.0,4,80.0,0.0,6.8915861997504155,5.714285714285714,5.714285714285714,14,1,11.0,0.44913685659558394,2,66.0,0.5452765204860067,1,3.0,0.6469301319705206
