step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,system_cars_present,system_accumulated_waiting_time (100),system_accumulated_mean_waiting_time (100),system_accumulated_waiting_time (delta),system_accumulated_mean_waiting_time (delta),agents_total_stopped,agents_total_accumulated_waiting_time (100),agents_total_accumulated_waiting_time (delta),agents_mean_speed,agents_mean_waiting_time (100),agents_mean_waiting_time (delta),agents_cars_present,Col3_1_stopped,Col3_1_accumulated_waiting_time,Col3_1_average_speed,Col3_2_stopped,Col3_2_accumulated_waiting_time,Col3_2_average_speed,Col3_3_stopped,Col3_3_accumulated_waiting_time,Col3_3_average_speed
8.0,1,0.0,0.0,5.116047790343873,4,0.0,0.0,0.0,0.0,1,0.0,0.0,4.505369043862447,0.0,0.0,2,0,0.0,1.0,0,0.0,1.0,1,0.0,0.32681171013431887
16.0,0,0.0,0.0,8.017034282029307,11,0.0,0.0,0.0,0.0,0,0.0,0.0,6.96958059854878,0.0,0.0,3,0,0.0,1.0,0,0.0,0.5441151954828871,0,0.0,0.9594212207408197
24.0,1,0.0,0.0,8.40157945284859,17,0.0,0.0,0.0,0.0,0,0.0,0.0,5.957537269423502,0.0,0.0,3,0,0.0,0.09166500145497665,0,0.0,0.9368409172931258,0,0.0,1.0
32.0,2,0.0,0.0,8.897025708004614,24,0.0,0.0,0.0,0.0,0,0.0,0.0,6.597195025063873,0.0,0.0,3,0,0.0,0.44825236085965625,0,0.0,0.7206093170193927,0,0.0,1.0
40.0,6,17.0,0.5666666666666667,8.20509311887081,30,18.0,0.6,18.0,0.6,4,9.0,9.0,4.640862475518486,1.0,1.0,9,3,9.0,0.18621288652893417,1,0.0,0.6358847536388273,0,0.0,0.7297166648345194
48.0,7,32.0,0.8648648648648649,8.344692165406721,37,52.0,1.4054054054054055,34.0,0.918918918918919,3,3.0,0.0,7.71241077391096,0.25,0.25,12,1,3.0,0.44503110168154675,1,0.0,0.6648421908040557,1,0.0,0.0
56.0,10,74.0,1.8048780487804879,8.550010003212012,41,94.0,2.292682926829268,42.0,1.024390243902439,5,19.0,16.0,4.815303193480647,1.9,1.9,10,3,10.0,0.2987514777848837,2,9.0,0.4455154963206932,0,0.0,0.9416679143289868
64.0,10,130.0,2.6530612244897958,9.22245331401229,49,165.0,3.36734693877551,71.0,1.4489795918367347,3,30.0,11.0,7.295922550263365,3.0,3.0,10,2,24.0,0.4238306150900809,1,6.0,0.7006066380262777,0,0.0,0.9561452155849925
72.0,10,144.0,2.5714285714285716,8.296961479456044,56,228.0,4.071428571428571,63.0,1.125,2,13.0,0.0,7.951412496876159,1.0,1.0,13,0,1.0,0.6990642900554098,1,12.0,0.520280291393357,1,0.0,0.5297324132549038
80.0,13,198.0,3.6,7.703056067971419,55,275.0,5.0,47.0,0.8545454545454545,4,21.0,8.0,5.048915582543609,1.75,1.75,12,1,5.0,0.2328250280100775,3,13.0,0.26647139050307705,0,3.0,0.8106714154401561
88.0,6,212.0,3.719298245614035,7.95932845531666,57,359.0,6.298245614035087,84.0,1.4736842105263157,0,13.0,0.0,7.968383473919156,1.3,1.3,10,0,0.0,0.0239602001750193,0,3.0,0.8531912454450664,0,10.0,0.4691485796960923
96.0,8,89.0,1.5614035087719298,8.706656376897353,57,417.0,7.315789473684211,58.0,1.0175438596491229,3,45.0,32.0,7.164686580796904,3.2142857142857144,3.2142857142857144,14,0,6.0,0.7640332673999952,2,35.0,0.42368565256525037,1,4.0,0.34014603185112907
104.0,11,138.0,2.3793103448275863,8.445954412034236,58,469.0,8.086206896551724,52.0,0.896551724137931,2,66.0,21.0,6.6519569069439095,5.5,5.5,12,2,63.0,0.3620338467612299,0,0.0,0.6888806824105709,0,3.0,0.6298175440442977
112.0,13,209.0,3.4262295081967213,8.197852002225469,61,538.0,8.819672131147541,69.0,1.1311475409836065,4,65.0,0.0,6.489939910523831,5.0,5.0,13,3,13.0,0.25827719734751775,1,52.0,0.6512325030357108,0,0.0,0.8987516132727147
120.0,6,57.0,0.9047619047619048,8.15650282984507,63,516.0,8.19047619047619,0.0,0.0,3,115.0,50.0,7.137548457626071,6.052631578947368,6.052631578947368,19,0,15.0,0.535034471527288,3,98.0,0.4796903836243918,0,2.0,0.7132209456146815
128.0,7,36.0,0.5714285714285714,7.4944563887248785,63,527.0,8.365079365079366,11.0,0.1746031746031746,2,83.0,0.0,5.716390320689113,5.928571428571429,5.928571428571429,14,2,18.0,0.3928255497969218,0,65.0,0.5380798752827293,0,0.0,0.6387137894653845
136.0,14,86.0,1.2835820895522387,7.75070216551894,67,530.0,7.91044776119403,3.0,0.04477611940298507,5,131.0,48.0,5.602349404817222,7.277777777777778,7.277777777777778,18,3,79.0,0.36129067430787154,1,51.0,0.4781160590182463,1,1.0,0.2709153425847379
144.0,10,79.0,1.2741935483870968,7.58727647710305,62,504.0,8.129032258064516,0.0,0.0,4,49.0,0.0,5.8554686185856815,3.5,3.5,14,1,29.0,0.4655918680413982,3,20.0,0.378346925138438,0,0.0,0.8336457446323843
152.0,9,15.0,0.23076923076923078,7.055012705903204,65,513.0,7.892307692307693,9.0,0.13846153846153847,4,83.0,34.0,4.94054432413893,3.772727272727273,3.772727272727273,22,0,3.0,0.371943205857727,3,80.0,0.3207945800119885,1,0.0,0.5061030164354114
160.0,9,34.0,0.4857142857142857,9.058509728381145,70,528.0,7.542857142857143,15.0,0.21428571428571427,5,38.0,0.0,6.509423101510399,2.0,2.0,19,4,17.0,0.4167449404013075,1,18.0,0.4608571493895815,0,3.0,0.924867764202892
168.0,14,87.0,1.2985074626865671,7.950992238692635,67,493.0,7.358208955223881,0.0,0.0,8,67.0,29.0,4.2340836587932005,3.35,3.35,20,3,14.0,0.46125666120919284,5,50.0,0.09925885829514908,0,3.0,0.807886101187256
176.0,9,118.0,1.8153846153846154,8.323358021817679,65,555.0,8.538461538461538,62.0,0.9538461538461539,3,27.0,0.0,6.396769295917549,1.6875,1.6875,16,0,3.0,0.27406074160565996,2,16.0,0.48038614476802977,1,8.0,0.6943421571840867
184.0,10,91.0,1.467741935483871,8.173514455280756,62,562.0,9.064516129032258,7.0,0.11290322580645161,7,93.0,66.0,6.128704368045183,4.043478260869565,4.043478260869565,23,2,59.0,0.4214003685196482,2,14.0,0.604834666149813,3,20.0,0.4844394163189563
192.0,6,19.0,0.3275862068965517,8.87779884830845,58,539.0,9.293103448275861,0.0,0.0,5,104.0,11.0,5.780600870868362,6.5,6.5,16,2,57.0,0.393808877112556,1,36.0,0.5627408142269974,2,11.0,0.3236205817078056
200.0,6,28.0,0.5185185185185185,8.253804689304584,54,486.0,9.0,0.0,0.0,5,118.0,14.0,4.291089655491613,11.8,11.8,10,2,36.0,0.2429642574019426,3,82.0,0.39357560395926156,0,0.0,1.0
208.0,5,30.0,0.5660377358490566,8.378769983486483,53,401.0,7.566037735849057,0.0,0.0,0,39.0,0.0,6.0470860074013375,4.333333333333333,4.333333333333333,9,0,29.0,0.29841313862272206,0,6.0,0.38499550962025686,0,4.0,0.8886665982921808
216.0,8,49.0,1.0208333333333333,7.61223807409798,48,322.0,6.708333333333333,0.0,0.0,5,33.0,0.0,5.786978226754769,2.2,2.2,15,1,6.0,0.5234047149199912,4,25.0,0.2792336761341651,0,2.0,0.8035940985591323
224.0,9,50.0,0.9090909090909091,8.362135278152781,55,349.0,6.345454545454546,27.0,0.4909090909090909,5,31.0,0.0,6.798582624855087,1.9375,1.9375,16,2,5.0,0.38589278182087,3,23.0,0.47545791610073795,0,3.0,0.9742032208623631
232.0,11,98.0,1.849056603773585,8.282286202965278,53,327.0,6.169811320754717,0.0,0.0,5,47.0,16.0,5.185832810927055,3.357142857142857,3.357142857142857,14,1,16.0,0.4893723651942059,3,25.0,0.4813387633602694,1,6.0,0.25780764920948696
240.0,13,182.0,3.3703703703703702,7.536168775701206,54,417.0,7.722222222222222,90.0,1.6666666666666667,5,72.0,25.0,4.316686237629282,5.538461538461538,5.538461538461538,13,0,10.0,0.046513847185199235,5,62.0,0.38141641212545685,0,0.0,0.5144512425828826
248.0,8,124.0,2.2962962962962963,8.280150930457204,54,408.0,7.555555555555555,0.0,0.0,2,28.0,0.0,6.573964572241271,2.8,2.8,10,0,3.0,0.5903627110653233,2,25.0,0.43472291013851666,0,0.0,1.0
256.0,13,173.0,3.46,7.575007796949881,50,452.0,9.04,44.0,0.88,4,59.0,31.0,6.070127086373912,4.916666666666667,4.916666666666667,12,1,4.0,0.09451793919513636,3,55.0,0.4976379218797381,0,0.0,0.9373517153742813
264.0,12,94.0,1.9183673469387754,7.346073794873429,49,503.0,10.26530612244898,51.0,1.0408163265306123,4,54.0,0.0,6.835663137052875,4.909090909090909,4.909090909090909,11,2,17.0,0.5444574407848127,2,34.0,0.43222297030107537,0,3.0,0.8867507243944172
272.0,12,128.0,2.3703703703703702,7.487491647074376,54,554.0,10.25925925925926,51.0,0.9444444444444444,5,186.0,132.0,6.342993508690939,10.941176470588236,10.941176470588236,17,1,39.0,0.6204396287655382,4,137.0,0.3041433288560908,0,10.0,0.6864798264486703
280.0,8,165.0,2.7049180327868854,8.153219180745625,61,592.0,9.704918032786885,38.0,0.6229508196721312,1,49.0,0.0,8.226500015820791,2.8823529411764706,2.8823529411764706,17,1,4.0,0.24865001028635467,0,44.0,0.7012790900240401,0,1.0,0.7930380783701508
288.0,12,231.0,3.9152542372881354,7.818958556325703,59,629.0,10.661016949152541,37.0,0.6271186440677966,4,73.0,24.0,5.7451286888679505,5.214285714285714,5.214285714285714,14,1,6.0,0.5705135653042984,3,66.0,0.46908495409786827,0,1.0,0.6561674048541609
296.0,13,181.0,3.290909090909091,7.339947491895797,55,634.0,11.527272727272727,5.0,0.09090909090909091,4,45.0,0.0,6.97525429820602,3.4615384615384617,3.4615384615384617,13,1,18.0,0.6605753146167596,2,23.0,0.5417572827224489,1,4.0,0.4618966988533073
304.0,10,117.0,2.1666666666666665,7.633776155931861,54,673.0,12.462962962962964,39.0,0.7222222222222222,2,21.0,0.0,6.012556412467504,1.9090909090909092,1.9090909090909092,11,0,0.0,0.5357018902658217,2,20.0,0.3661000493715821,0,1.0,0.993625295248126
312.0,8,104.0,1.8245614035087718,8.277899917856674,57,655.0,11.491228070175438,0.0,0.0,3,16.0,0.0,8.147527360295216,1.0666666666666667,1.0666666666666667,15,1,0.0,0.41515948191491975,2,10.0,0.5673183377423153,0,6.0,0.709876568313648
320.0,11,158.0,2.5901639344262297,8.614463366439981,61,594.0,9.737704918032787,0.0,0.0,5,222.0,206.0,6.8195464384334,10.090909090909092,10.090909090909092,22,2,96.0,0.4959036567957397,3,77.0,0.22107368326043875,0,49.0,0.8294980013015175
328.0,9,111.0,1.88135593220339,7.7024896782033245,59,575.0,9.745762711864407,0.0,0.0,4,119.0,0.0,7.247964249677229,7.933333333333334,7.933333333333334,15,4,97.0,0.40404261606123476,0,16.0,0.7791887009214676,0,6.0,0.7245541745321653
336.0,12,135.0,2.3684210526315788,7.716800273144052,57,553.0,9.701754385964913,0.0,0.0,4,66.0,0.0,6.034610839116393,5.5,5.5,12,3,10.0,0.23505995874998903,0,44.0,0.6239907919101364,1,12.0,0.6013663590695554
344.0,10,182.0,3.309090909090909,8.172576254572276,55,636.0,11.563636363636364,83.0,1.509090909090909,3,23.0,0.0,6.78225688299507,1.9166666666666667,1.9166666666666667,12,2,14.0,0.3573000228868507,1,2.0,0.6241134838866188,0,7.0,0.7329834540627983
352.0,10,232.0,4.142857142857143,7.984040824428637,56,654.0,11.678571428571429,18.0,0.32142857142857145,1,14.0,0.0,7.5794479440163265,0.9333333333333333,0.9333333333333333,15,0,6.0,0.6279272214997216,1,8.0,0.5208458565560572,0,0.0,0.7347025534892827
360.0,7,96.0,1.6271186440677967,8.206300998865068,59,644.0,10.915254237288135,0.0,0.0,2,82.0,68.0,6.972488037724656,6.3076923076923075,6.3076923076923075,13,1,8.0,0.2579281091967253,0,74.0,0.705202201592371,1,0.0,0.48869958979513645
368.0,9,132.0,2.357142857142857,9.06683110083153,56,492.0,8.785714285714286,0.0,0.0,3,126.0,44.0,7.956497836379049,9.0,9.0,14,0,10.0,0.8772300623742003,3,116.0,0.4983511489050478,0,0.0,0.6297608881849807
376.0,7,120.0,2.1052631578947367,8.628081701118465,57,511.0,8.964912280701755,19.0,0.3333333333333333,1,41.0,0.0,8.027412358531723,2.5625,2.5625,16,1,11.0,0.3204626925231386,0,27.0,0.6476133526352822,0,3.0,0.7622830394550973
384.0,12,76.0,1.2666666666666666,7.683307753029699,60,560.0,9.333333333333334,49.0,0.8166666666666667,3,99.0,58.0,6.5304409366268334,7.071428571428571,7.071428571428571,14,1,5.0,0.5163266466129925,2,94.0,0.46839753670577117,0,0.0,0.6909573946399594
392.0,13,80.0,1.2307692307692308,7.496773216948068,65,619.0,9.523076923076923,59.0,0.9076923076923077,4,15.0,0.0,7.446265438990433,0.8823529411764706,0.8823529411764706,17,1,2.0,0.6091059976926376,2,7.0,0.3465307073290375,1,6.0,0.5748087789348054
400.0,14,132.0,1.9411764705882353,8.522392694281825,68,655.0,9.632352941176471,36.0,0.5294117647058824,7,55.0,40.0,5.599633996769338,3.4375,3.4375,16,2,24.0,0.4703304874317016,5,31.0,0.3786637799717376,0,0.0,0.9155740222976941
408.0,11,177.0,2.492957746478873,7.845287138926531,71,640.0,9.014084507042254,0.0,0.0,2,33.0,0.0,6.105089699047901,2.357142857142857,2.357142857142857,14,1,21.0,0.22876915334207276,0,9.0,0.6983868508724155,1,3.0,0.5080080831218828
416.0,9,27.0,0.375,7.692659193391738,72,702.0,9.75,62.0,0.8611111111111112,6,46.0,13.0,4.610483704886814,2.875,2.875,16,2,27.0,0.32244417531618913,4,16.0,0.24237985538294185,0,3.0,0.8957273764180913
424.0,17,76.0,1.1014492753623188,7.086474184222891,69,672.0,9.73913043478261,0.0,0.0,4,229.0,183.0,6.000671154773058,19.083333333333332,19.083333333333332,12,4,11.0,0.1849064225721471,0,214.0,0.5477257360704123,0,4.0,0.9195981595045899
432.0,16,153.0,2.25,8.139699220859582,68,735.0,10.808823529411764,63.0,0.9264705882352942,4,34.0,0.0,7.005148208819229,3.4,3.4,10,3,32.0,0.4722027722202042,1,2.0,0.6001110027944091,0,0.0,0.9537584359259221
440.0,11,134.0,1.9705882352941178,7.618113358046693,68,770.0,11.323529411764707,35.0,0.5147058823529411,4,64.0,30.0,6.148653466520106,4.0,4.0,16,3,13.0,0.2156345177320631,0,47.0,0.8972489819149901,1,4.0,0.4784825601446447
448.0,16,131.0,1.955223880597015,7.113148047343317,67,845.0,12.611940298507463,75.0,1.1194029850746268,3,27.0,0.0,6.602743806176742,1.8,1.8,15,2,17.0,0.5505982292926833,1,10.0,0.4289958746163825,0,0.0,0.5867881417029935
456.0,15,91.0,1.421875,6.434087180122562,64,859.0,13.421875,14.0,0.21875,4,135.0,108.0,6.165037218985103,7.9411764705882355,7.9411764705882355,17,0,122.0,0.6171173001181088,3,13.0,0.28658215556882516,1,0.0,0.6321683405140773
464.0,6,76.0,1.2258064516129032,7.794372112368179,62,887.0,14.306451612903226,28.0,0.45161290322580644,3,221.0,86.0,7.269662644004262,13.0,13.0,17,2,135.0,0.47894982781762685,1,86.0,0.42844892952587843,0,0.0,0.9791038626452306
472.0,16,148.0,2.4262295081967213,6.800869633643717,61,964.0,15.80327868852459,77.0,1.2622950819672132,5,287.0,66.0,5.374444298276193,22.076923076923077,22.076923076923077,13,2,188.0,0.249946978772804,3,99.0,0.4727821493669851,0,0.0,0.9258605519905218
480.0,15,106.0,1.7377049180327868,6.207230854711832,61,937.0,15.360655737704919,0.0,0.0,6,175.0,0.0,3.681480369097151,14.583333333333334,14.583333333333334,12,2,84.0,0.3352679267279479,3,88.0,0.36828473986955224,1,3.0,0.045402085295194586
488.0,9,88.0,1.375,8.343112294361518,64,859.0,13.421875,0.0,0.0,2,130.0,0.0,6.880857031255487,11.818181818181818,11.818181818181818,11,2,130.0,0.32117140627403096,0,0.0,0.9209719232150531,0,0.0,0.711678596630322
496.0,12,146.0,2.3934426229508197,9.02319913117467,61,846.0,13.868852459016393,0.0,0.0,3,96.0,0.0,9.16665639681975,8.0,8.0,12,3,88.0,0.4790644330927678,0,8.0,0.830857174823211,0,0.0,0.9284864955265932
504.0,9,199.0,3.618181818181818,8.638136649497921,55,753.0,13.690909090909091,0.0,0.0,1,22.0,0.0,8.095542338142124,2.0,2.0,11,0,14.0,0.4979677594214216,1,8.0,0.6680881908504265,0,0.0,0.9910469414196107
512.0,9,100.0,1.9230769230769231,8.262687627010676,52,668.0,12.846153846153847,0.0,0.0,3,46.0,24.0,8.442355923521804,3.5384615384615383,3.5384615384615383,13,2,24.0,0.3656592285850701,1,19.0,0.7740635887607566,0,3.0,0.9081004691248568
