step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,system_cars_present,system_accumulated_waiting_time (100),system_accumulated_mean_waiting_time (100),system_accumulated_waiting_time (delta),system_accumulated_mean_waiting_time (delta),agents_total_stopped,agents_total_accumulated_waiting_time (100),agents_total_accumulated_waiting_time (delta),agents_mean_speed,agents_mean_waiting_time (100),agents_mean_waiting_time (delta),agents_cars_present,Col8_1_stopped,Col8_1_accumulated_waiting_time,Col8_1_average_speed,Col8_2_stopped,Col8_2_accumulated_waiting_time,Col8_2_average_speed,Col8_3_stopped,Col8_3_accumulated_waiting_time,Col8_3_average_speed,Col8_4_stopped,Col8_4_accumulated_waiting_time,Col8_4_average_speed,Col8_5_stopped,Col8_5_accumulated_waiting_time,Col8_5_average_speed,Col8_6_stopped,Col8_6_accumulated_waiting_time,Col8_6_average_speed,Col8_7_stopped,Col8_7_accumulated_waiting_time,Col8_7_average_speed,Col8_8_stopped,Col8_8_accumulated_waiting_time,Col8_8_average_speed
8.0,1,1.0,0.14285714285714285,6.935291671477079,7,1.0,0.14285714285714285,1.0,0.14285714285714285,0,0.0,0.0,9.583498321392053,0.0,0.0,4,0,0.0,1.0,0,0.0,0.9747360396112684,0,0.0,0.5613195195938587,0,0.0,0.9730821999611606,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
16.0,0,0.0,0.0,9.954036904188637,14,1.0,0.07142857142857142,0.0,0.0,0,1.0,1.0,10.847649743490194,0.125,0.125,8,0,0.0,0.6780684056257036,0,0.0,0.806195523322681,0,0.0,0.6975528441680842,0,1.0,0.9604016610255112,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
24.0,2,5.0,0.25,8.587662575553567,20,6.0,0.3,5.0,0.25,2,6.0,5.0,8.409329605749253,0.42857142857142855,0.42857142857142855,14,0,0.0,0.5829715342653415,0,0.0,0.6805844597485885,0,0.0,0.7336806811719933,2,6.0,0.19474622152802226,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
32.0,0,0.0,0.0,9.70471615854798,25,16.0,0.64,10.0,0.4,0,3.0,0.0,9.557030245260934,0.2,0.2,15,0,0.0,0.6688096421166873,0,0.0,0.6139220223777072,0,0.0,0.813666624432079,0,3.0,0.34883602234400807,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9037555602187827,0,0.0,1.0
40.0,3,10.0,0.3125,9.171872819504514,32,26.0,0.8125,10.0,0.3125,3,13.0,10.0,8.833547833421175,0.5652173913043478,0.5652173913043478,23,0,0.0,0.9131155198685109,1,0.0,0.7188046591195427,0,0.0,0.8113188812665987,1,8.0,0.0,0,0.0,1.0,0,0.0,1.0,1,5.0,8.246281797530432e-06,0,0.0,1.0
48.0,4,9.0,0.25,8.720222069307432,36,41.0,1.1388888888888888,15.0,0.4166666666666667,4,9.0,0.0,7.590949119073799,0.4090909090909091,0.4090909090909091,22,2,5.0,0.49159929923880985,2,4.0,0.5868157628142908,0,0.0,0.7429090816741175,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
56.0,3,3.0,0.07317073170731707,8.00807970130925,41,62.0,1.5121951219512195,21.0,0.5121951219512195,2,7.0,0.0,7.683646563171211,0.2916666666666667,0.2916666666666667,24,0,0.0,0.7464740288572904,2,7.0,0.5052069501104899,0,0.0,0.9438145577865695,0,0.0,0.946629734303944,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0
64.0,5,35.0,0.7777777777777778,8.304688180054818,45,94.0,2.088888888888889,32.0,0.7111111111111111,5,35.0,28.0,7.279844507769162,1.4583333333333333,1.4583333333333333,24,1,6.0,0.5311398331020732,4,29.0,0.5855287403295661,0,0.0,0.9497210783064782,0,0.0,0.7627312420818075,0,0.0,1.0,0,0.0,0.8993084204795356,0,0.0,1.0,0,0.0,1.0
72.0,3,22.0,0.46808510638297873,8.291966220897757,47,114.0,2.425531914893617,20.0,0.425531914893617,3,31.0,0.0,6.750933618196702,1.55,1.55,20,1,19.0,0.6720480862876491,0,1.0,0.6092174386113305,1,2.0,0.460745230950807,1,6.0,0.47017479374430365,0,0.0,1.0,0,3.0,0.864934918947755,0,0.0,1.0,0,0.0,1.0
80.0,3,28.0,0.6086956521739131,8.809676614788561,46,122.0,2.652173913043478,8.0,0.17391304347826086,3,46.0,15.0,7.350777016567441,2.0,2.0,23,1,33.0,0.7227300777365145,2,6.0,0.6324114705038606,0,0.0,0.8467253169898606,0,0.0,0.5911833169451242,0,0.0,1.0,0,7.0,0.4292843406848457,0,0.0,1.0,0,0.0,1.0
